sample,cellID,trueBrlen,method,estBrlen
s20c6/k10_r1,b'_1',0.0,spalin,0.005000000000326291
s20c6/k10_r1,b'_1',0.0,problin,0.004999997894506625
s20c6/k10_r1,b'7_1',0.276,spalin,0.11519764522720256
s20c6/k10_r1,b'7_1',0.276,problin,0.09707487059124768
s20c6/k10_r1,b'56_1',0.654,spalin,0.7745408592565597
s20c6/k10_r1,b'56_1',0.654,problin,0.6474287732199346
s20c6/k10_r1,b'10_3',0.324,spalin,0.16557814778096097
s20c6/k10_r1,b'10_3',0.324,problin,0.23834531094471345
s20c6/k10_r1,b'16_4',0.036000000000000004,spalin,0.07803799028875581
s20c6/k10_r1,b'16_4',0.036000000000000004,problin,0.08872208650482995
s20c6/k10_r1,b'16_3',0.036000000000000004,spalin,0.07803799028875581
s20c6/k10_r1,b'16_3',0.036000000000000004,problin,0.08872208650482995
s20c6/k10_r1,b'01_1',0.27,spalin,0.016037354904953824
s20c6/k10_r1,b'01_1',0.27,problin,0.0050008309731726965
s20c6/k10_r1,b'16_2',0.09,spalin,0.22757878316476296
s20c6/k10_r1,b'16_2',0.09,problin,0.3220665664763707
s20c6/k10_r1,b'16_1',0.09,spalin,0.22757878316476296
s20c6/k10_r1,b'16_1',0.09,problin,0.3220665664763707
s20c6/k10_r1,b'04_3',0.342,spalin,0.555568043737892
s20c6/k10_r1,b'04_3',0.342,problin,0.4087085340694342
s20c6/k10_r1,b'66_5',0.372,spalin,0.15441835218798886
s20c6/k10_r1,b'66_5',0.372,problin,0.15495812523456054
s20c6/k10_r1,b'16_9',0.3,spalin,0.30817060140039537
s20c6/k10_r1,b'16_9',0.3,problin,0.4108295113654832
s20c6/k10_r1,b'16_8',0.3,spalin,0.30817060140039537
s20c6/k10_r1,b'16_8',0.3,problin,0.4108295113654832
s20c6/k10_r1,b'57_6',0.318,spalin,0.36381166846034263
s20c6/k10_r1,b'57_6',0.318,problin,0.4249832495215771
s20c6/k10_r1,b'16_11',0.354,spalin,0.0987772851280416
s20c6/k10_r1,b'16_11',0.354,problin,0.1408043870784666
s20c6/k10_r1,b'16_10',0.354,spalin,0.0987772851280416
s20c6/k10_r1,b'16_10',0.354,problin,0.1408043870784666
s20c6/k10_r1,b'6_2',0.27,spalin,0.14965356074844716
s20c6/k10_r1,b'6_2',0.27,problin,0.18593588285021045
