experiment,cell_name,method,trueBrlen,estBrlen
s20c7_,b'1_1',problin,0.0,0.2328583325085391
s20c7_,b'177_5',problin,0.8186046511627907,0.005962078000463751
s20c7_,b'216_5',problin,0.1813953488372093,0.7611795894909971
s20c7_,b'216_4',problin,0.1813953488372093,0.7611795894909971
s20c7_,b'216_1',problin,1.0,0.7671416674914608
s20c7_,b'1_1',spalin,0.0,0.23295726921132337
s20c7_,b'177_5',spalin,0.8186046511627907,0.0059634365599715
s20c7_,b'216_5',spalin,0.1813953488372093,0.761079294228705
s20c7_,b'216_4',spalin,0.1813953488372093,0.761079294228705
s20c7_,b'216_1',spalin,1.0,0.7670427307886766
s20c7_,b'1_1',spalin-divide-beta3,0.0,0.23296860971788916
s20c7_,b'177_5',spalin-divide-beta3,0.8186046511627907,0.005963570563774372
s20c7_,b'216_5',spalin-divide-beta3,0.1813953488372093,0.7610678197183364
s20c7_,b'216_4',spalin-divide-beta3,0.1813953488372093,0.7610678197183364
s20c7_,b'216_1',spalin-divide-beta3,1.0,0.7670313902815452
s20c7_,b'1_1',spalin-divide-beta5,0.0,0.23297661005119352
s20c7_,b'177_5',spalin-divide-beta5,0.8186046511627907,0.005963783899306277
s20c7_,b'216_5',spalin-divide-beta5,0.1813953488372093,0.7610596060495001
s20c7_,b'216_4',spalin-divide-beta5,0.1813953488372093,0.7610596060495001
s20c7_,b'216_1',spalin-divide-beta5,1.0,0.7670233899468534
s20c7_,b'1_1',spalin-divide-beta7,0.0,0.23299177502715634
s20c7_,b'177_5',spalin-divide-beta7,0.8186046511627907,0.005964086818450096
s20c7_,b'216_5',spalin-divide-beta7,0.1813953488372093,0.7610441381543936
s20c7_,b'216_4',spalin-divide-beta7,0.1813953488372093,0.7610441381543936
s20c7_,b'216_1',spalin-divide-beta7,1.0,0.7670082249727785
s20c7_,b'1_1',spalin-divide-beta10,0.0,0.23303077065864744
s20c7_,b'177_5',spalin-divide-beta10,0.8186046511627907,0.005964655496474649
s20c7_,b'216_5',spalin-divide-beta10,0.1813953488372093,0.761004573844878
s20c7_,b'216_4',spalin-divide-beta10,0.1813953488372093,0.761004573844878
s20c7_,b'216_1',spalin-divide-beta10,1.0,0.7669692293408207
s20c1_,b'103_1',problin,0.4744186046511628,0.10116792011882496
s20c1_,b'147_3',problin,0.20465116279069767,0.27139775983243786
s20c1_,b'190_5',problin,0.2,0.6225150086848241
s20c1_,b'216_9',problin,0.12093023255813953,0.004919311363912989
s20c1_,b'216_8',problin,0.12093023255813953,0.004919311363912989
s20c1_,b'185_6',problin,0.17674418604651163,0.0049193154559229
s20c1_,b'216_11',problin,0.14418604651162792,0.6225150045928142
s20c1_,b'216_10',problin,0.14418604651162792,0.6225150045928142
s20c1_,b'136_1',problin,0.15348837209302324,0.00491931108089988
s20c1_,b'216_7',problin,0.37209302325581395,0.893912768800275
s20c1_,b'174_1',problin,0.17674418604651163,0.004919311253408132
s20c1_,b'210_2',problin,0.16744186046511628,0.004919320657161339
s20c1_,b'216_4',problin,0.027906976744186046,0.8840741368897056
s20c1_,b'216_3',problin,0.027906976744186046,0.8840741368897056
s20c1_,b'210_1',problin,0.16744186046511628,0.620224367819439
s20c1_,b'216_2',problin,0.027906976744186046,0.26876908972742786
s20c1_,b'216_1',problin,0.027906976744186046,0.26876908972742786
s20c1_,b'103_1',spalin,0.4744186046511628,0.10158320244115092
s20c1_,b'147_3',spalin,0.20465116279069767,0.27574369975073376
s20c1_,b'190_5',spalin,0.2,0.5145649751729013
s20c1_,b'216_9',spalin,0.12093023255813953,0.1081081226208463
s20c1_,b'216_8',spalin,0.12093023255813953,0.1081081226208463
s20c1_,b'185_6',spalin,0.17674418604651163,0.00494114611605139
s20c1_,b'216_11',spalin,0.14418604651162792,0.6177319516787739
s20c1_,b'216_10',spalin,0.14418604651162792,0.6177319516787739
s20c1_,b'136_1',spalin,0.15348837209302324,0.004941146119885402
s20c1_,b'216_7',spalin,0.37209302325581395,0.8934756514245961
s20c1_,b'174_1',spalin,0.17674418604651163,0.004941146117167903
s20c1_,b'210_2',spalin,0.16744186046511628,0.00494114611605139
