sample,parentID,child1ID,child2ID,frameDiff,angle
s11c2,55_1,56_1,56_2,1,177.87890360333856
s11c2,114_1,115_1,115_2,1,146.52372170389734
s11c2,177_1,178_1,178_2,1,147.52880770915152
s11c2,183_3,184_3,184_4,1,148.79948539601938
s2c4,11_1,12_1,12_2,1,36.86989764584402
s2c4,67_2,68_2,68_3,1,150.25511870305778
s2c4,75_1,76_1,76_2,1,139.63546342690262
s2c4,119_4,120_4,120_5,1,14.036243467926484
s2c4,126_1,127_1,127_2,1,157.16634582208246
s2c4,126_3,127_4,127_5,1,175.36453657309733
s2c4,167_6,168_6,168_7,1,113.19859051364818
s2c4,168_5,169_5,169_6,1,103.86102756302115
s2c4,178_2,179_2,179_3,1,152.31893843151474
s2c4,182_1,183_1,183_2,1,146.3099324740202
s2c4,188_5,189_5,189_6,1,116.56505117707799
s2c4,192_7,193_7,193_8,1,156.5014343240479
s2c4,215_12,216_12,216_13,1,155.22485943116808
s8c4,32_1,33_1,33_2,1,149.03624346792648
s8c4,73_2,74_2,74_3,1,135.0
s8c4,75_1,76_1,76_2,1,159.44395478041653
s8c4,128_1,129_1,129_2,1,175.6012946450045
s8c4,129_5,130_5,130_6,1,5.710593137499633
s8c4,131_4,132_4,132_5,1,140.71059313749964
s8c4,140_3,141_3,141_4,1,180.0
s8c4,173_6,174_6,174_7,1,147.0947570770121
s8c4,176_8,177_8,177_9,1,153.434948822922
s8c4,177_5,178_5,178_6,1,176.82016988013575
s8c4,183_2,184_2,184_3,1,167.47119229084848
s8c4,185_1,186_1,186_2,1,158.19859051364818
s8c4,189_6,190_6,190_7,1,139.3987053549955
s8c4,190_5,191_5,191_6,1,151.69924423399362
s8c4,200_15,201_15,201_16,1,156.1247191460725
s8c4,210_12,211_12,211_13,1,166.2930389959202
s8c4,214_10,215_10,215_11,1,173.0887728809753
s8c4,214_11,215_12,215_13,1,145.4914770123316
s8c4,215_16,216_16,216_17,1,143.13010235415598
s14c1,42_1,43_1,43_2,1,172.87498365109818
s14c1,92_2,93_2,93_3,1,149.03624346792648
s14c1,96_1,97_1,97_2,1,168.69006752597977
s14c1,154_1,155_1,155_2,1,153.434948822922
s14c1,155_3,156_3,156_4,1,156.03751102542182
s14c1,156_5,157_5,157_6,1,173.8844964337146
s14c1,156_6,157_7,157_8,1,162.89727103094762
s7c7,26_1,27_1,27_2,1,136.84761026599458
s7c7,87_1,88_1,88_2,1,167.27564431457762
s7c7,92_3,93_3,93_4,1,171.86989764584402
s7c7,141_1,142_1,142_2,1,168.17851165939274
s7c7,144_3,145_3,145_4,1,93.81407483429035
s7c7,150_5,151_5,151_6,1,180.0
s7c7,152_7,153_7,153_8,1,85.23635830927383
s7c7,200_1,201_1,201_2,1,178.21008939175394
s7c7,205_4,206_4,206_5,1,175.42607874009914
s7c7,214_7,215_7,215_8,1,153.434948822922
s7c7,215_6,216_6,216_7,1,163.3007557660064
s20c2,16_1,17_1,17_2,1,135.0
s20c2,59_1,60_1,60_2,1,150.25511870305778
s20c2,73_3,74_3,74_4,1,162.01266534793854
s20c2,106_1,107_1,107_2,1,180.0
s20c2,106_2,107_3,107_4,1,138.0664855011259
s20c2,126_6,127_6,127_7,1,170.75388725443676
s20c2,130_5,131_5,131_6,1,159.95475057457898
s20c2,155_3,156_3,156_4,1,108.434948822922
s20c2,155_4,156_5,156_6,1,169.69515353123398
s20c2,159_2,160_2,160_3,1,165.96375653207352
s20c2,161_1,162_1,162_2,1,146.09372301155784
s20c2,175_12,176_12,176_13,1,163.393019421383
s20c2,177_10,178_10,178_11,1,131.24827092947402
s20c2,179_12,180_12,180_13,1,175.3893506813394
s20c2,180_9,181_9,181_10,1,168.6900675259798
s20c2,201_8,202_8,202_9,1,158.19859051364818
s20c2,203_7,204_7,204_8,1,161.565051177078
s20c2,207_5,208_5,208_6,1,180.0
s20c2,209_7,210_7,210_8,1,142.1250163489018
s20c2,212_3,213_3,213_4,1,125.53767779197437
s10c4,57_1,58_1,58_2,1,175.42607874009914
s10c4,124_2,125_2,125_3,1,142.05784664988107
s10c4,126_1,127_1,127_2,1,126.40408856307901
s10c4,171_2,172_2,172_3,1,180.0
s10c4,173_4,174_4,174_5,1,177.04922089099364
s10c4,176_1,177_1,177_2,1,166.42956561483854
s10c4,176_6,177_7,177_8,1,150.25511870305778
s10c4,211_5,212_5,212_6,1,162.89727103094762
s10c4,211_6,212_7,212_8,1,129.0938588862295
s20c3,34_1,35_1,35_2,1,173.65980825409008
s20c3,78_1,79_1,79_2,1,171.86989764584402
s20c3,78_2,79_3,79_4,1,176.82016988013575
s20c3,129_2,130_2,130_3,1,154.4400348281762
s20c3,131_1,132_1,132_2,1,178.7811247648687
s20c3,182_4,183_4,183_5,1,124.50852298766839
s20c3,184_3,185_3,185_4,1,161.2502423696889
s20c3,193_2,194_2,194_3,1,177.06432655357884
s20c3,201_1,202_1,202_2,1,155.6589100633075
s13c3,41_1,42_1,42_2,1,137.72631099390622
s13c3,85_1,86_1,86_2,1,173.65980825409008
s13c3,105_3,106_3,106_4,1,174.8055710922652
s13c3,131_2,132_2,132_3,1,163.36119432957375
s13c3,137_1,138_1,138_2,1,174.80557109226518
s13c3,149_6,150_6,150_7,1,148.91249467652003
s13c3,175_5,176_5,176_6,1,155.1706534118504
s13c3,176_3,177_3,177_4,1,172.0565281894096
s13c3,181_5,182_5,182_6,1,180.0
s13c3,184_1,185_1,185_2,1,147.52880770915152
s13c3,190_3,191_3,191_4,1,157.16634582208246
s7c2,35_1,36_1,36_2,1,116.56505117707799
s7c2,75_1,76_1,76_2,1,155.77225468204585
s7c2,80_3,81_3,81_4,1,162.5972958686437
s7c2,124_1,125_1,125_2,1,127.05652818940956
s7c2,125_3,126_3,126_4,1,112.16634582208246
s7c2,137_6,138_6,138_7,1,144.24611274556324
s7c2,150_5,151_5,151_6,1,126.2538377374448
s7c2,164_2,165_2,165_3,1,157.24902365721235
s7c2,168_1,169_1,169_2,1,135.0
s7c2,175_5,176_5,176_6,1,175.42607874009914
s7c2,179_7,180_7,180_8,1,96.48307369289724
s7c2,185_12,186_12,186_13,1,140.19442890773482
s7c2,193_11,194_11,194_12,1,117.59729586864371
s7c2,203_4,204_4,204_5,1,165.96375653207352
s7c2,211_3,212_3,212_4,1,95.1944289077348
s7c2,213_1,214_1,214_2,1,164.9315118405078
s7c2,213_2,214_3,214_4,1,153.8689994550614
s14c2,58_1,59_1,59_2,1,130.2363583092738
s14c2,107_1,108_1,108_2,1,176.05481377096245
s14c2,115_3,116_3,116_4,1,161.565051177078
s14c2,152_2,153_2,153_3,1,161.565051177078
s14c2,156_1,157_1,157_2,1,175.42607874009914
s14c2,160_6,161_6,161_7,1,149.03624346792648
s14c2,166_5,167_5,167_6,1,167.9052429229879
s14c2,195_4,196_4,196_5,1,165.96375653207352
s14c2,197_3,198_3,198_4,1,167.47119229084848
s14c2,198_10,199_10,199_11,1,147.31944525663658
s14c2,201_1,202_1,202_2,1,136.33221985386965
s14c2,201_2,202_3,202_4,1,163.92642583525364
s14c2,205_10,206_10,206_11,1,168.6900675259798
s14c2,206_9,207_9,207_10,1,151.92751306414704
s14c2,209_13,210_13,210_14,1,155.3764352138364
s2c7,29_1,30_1,30_2,1,164.9315118405078
s2c7,78_2,79_2,79_3,1,170.53767779197437
s2c7,88_1,89_1,89_2,1,136.7357045889284
s2c7,131_4,132_4,132_5,1,135.0
s2c7,139_2,140_2,140_3,1,169.77783136636387
s2c7,141_1,142_1,142_2,1,175.2363583092738
s2c7,185_5,186_5,186_6,1,174.47245984834385
s2c7,191_7,192_7,192_8,1,113.19859051364818
s2c7,197_3,198_3,198_4,1,98.13010235415601
s5c2,45_1,46_1,46_2,1,130.42607874009914
s5c2,93_1,94_1,94_2,1,131.8778695378843
s5c2,93_2,94_3,94_4,1,175.81508387488157
s5c2,146_2,147_2,147_3,1,113.86017519134235
s5c2,150_1,151_1,151_2,1,170.53767779197437
s5c2,150_5,151_6,151_7,1,180.0
s5c2,154_5,155_5,155_6,1,156.80140948635182
s5c2,187_7,188_7,188_8,1,177.3974377975002
s5c2,188_4,189_4,189_5,1,180.0
s5c2,188_9,189_10,189_11,1,139.7636416907262
s5c2,189_3,190_3,190_4,1,154.59228189105153
s5c2,193_2,194_2,194_3,1,144.60520415501293
s5c2,193_7,194_8,194_9,1,135.0
s5c2,194_1,195_1,195_2,1,165.96375653207352
s5c2,195_11,196_11,196_12,1,164.19748604606445
s9c3,38_2,39_2,39_3,1,173.65980825409008
s9c3,40_1,41_1,41_2,1,129.40066066347944
s9c3,81_4,82_4,82_5,1,138.70462744207714
s9c3,83_3,84_3,84_4,1,149.03624346792648
s9c3,89_2,90_2,90_3,1,130.6012946450045
s9c3,97_1,98_1,98_2,1,150.2551187030578
s9c3,130_7,131_7,131_8,1,152.10272896905238
s9c3,132_5,133_5,133_6,1,180.0
s9c3,134_10,135_10,135_11,1,178.75463573323165
s9c3,135_3,136_3,136_4,1,158.19859051364818
