sample,cellID,true_x,true_y,method,est_x,est_y,error
s20c6/k10_r1,89_4,201.0,187.0,spalin,183.21779748170724,186.07618843002706,17.806183033384595
s20c6/k10_r1,89_4,201.0,187.0,problin,183.8907315180677,186.53952006162103,17.115464053320075
s20c6/k10_r1,176_10,160.0,181.0,spalin,166.53078670219176,174.58677117200077,9.153178625472421
s20c6/k10_r1,176_10,160.0,181.0,problin,163.55739760127705,172.5395196598969,9.17795212881624
s20c6/k10_r1,46_2,186.0,185.0,spalin,182.62570790804708,185.66852019898226,3.4398788319159337
s20c6/k10_r1,46_2,186.0,185.0,problin,183.7759354403337,186.46048013924684,2.6607264802489703
s20c6/k10_r1,157_6,214.0,188.0,spalin,220.49065247923429,192.93839078945894,8.155750927756623
s20c6/k10_r1,157_6,214.0,188.0,problin,219.87825157028556,192.9216485267265,7.6665810987815
s20c6/k10_r1,166_5,241.0,186.0,spalin,223.87702041774855,199.58754289236055,21.85904278841911
s20c6/k10_r1,166_5,241.0,186.0,problin,220.8007721744662,198.70610514160012,23.863233490397224
s20c6/k10_r1,104_3,210.0,190.0,spalin,216.73864469493998,196.16770984482588,9.1350958973951
s20c6/k10_r1,104_3,210.0,190.0,problin,213.10681066993808,195.46693230320972,6.2880538600364275
s20c6/k10_r1,201_1,147.0,204.0,spalin,158.0012201317664,199.84342073711798,11.760271916762932
s20c6/k10_r1,201_1,147.0,204.0,problin,160.24163707327597,199.21505541959482,14.079653654046517
s20c6/k10_r1,210_3,170.0,196.0,spalin,171.67607221137644,198.6982396249738,3.1764311942063372
s20c6/k10_r1,210_3,170.0,196.0,problin,172.33203902656606,198.59863244627354,3.4916037307020975
s20c6/k10_r1,156_1,165.0,203.0,spalin,159.69265923579104,199.5394747669485,6.335858337748743
s20c6/k10_r1,156_1,165.0,203.0,problin,160.68390601515298,199.12856996245083,5.797985669322631
s20c6/k10_r1,47_1,192.0,198.0,spalin,185.32651731174633,188.79521235617483,11.369410132383209
s20c6/k10_r1,47_1,192.0,198.0,problin,186.30153665972068,189.3712907554842,10.340556448610469
s20c6/k10_r1,1_1,176.0,195.0,spalin,182.62570790804443,185.66852019897937,11.44449739217842
s20c6/k10_r1,1_1,176.0,195.0,problin,183.77593544033488,186.46048013924792,11.549397015620995
s20c6,89_4,201.0,187.0,unit,188.9166666666668,190.00000000000017,12.450178490465198
s20c6,89_4,201.0,187.0,random brlen,186.8699247519159,191.07923487409408,14.7071133698814
s20c6,89_4,201.0,187.0,given true brlen,186.44931773878412,188.30116959063753,14.608743839579853
s20c6,89_4,201.0,187.0,gaussian (no topology info),183.15179499721074,170.43275418024191,24.352249503359708
s20c6,176_10,160.0,181.0,unit,168.58333333333354,176.00000000000023,9.933459171462498
s20c6,176_10,160.0,181.0,random brlen,165.84407785403192,176.34102599894896,7.4739069238555444
s20c6,176_10,160.0,181.0,given true brlen,165.87816764132538,174.13742690058479,9.035915247740103
s20c6,176_10,160.0,181.0,gaussian (no topology info),214.48545743046685,188.11645159140767,54.94823886768405
s20c6,46_2,186.0,185.0,unit,178.75000000000023,183.00000000000023,7.520804478245383
s20c6,46_2,186.0,185.0,random brlen,175.4565721256817,183.07896854531728,10.717006727199179
s20c6,46_2,186.0,185.0,given true brlen,181.3362573099352,184.78070175438134,4.668895758063594
s20c6,46_2,186.0,185.0,gaussian (no topology info),225.70150489764475,207.72694862777095,45.746296954694046
s20c6,157_6,214.0,188.0,unit,217.01190476190487,193.36190476190467,6.149926257323839
s20c6,157_6,214.0,188.0,random brlen,223.00638554127772,190.88005496129568,9.455670103076795
s20c6,157_6,214.0,188.0,given true brlen,217.079724669261,193.3187844338488,6.146069629625678
s20c6,157_6,214.0,188.0,gaussian (no topology info),165.29572207098875,179.0876708005419,49.51299122801899
s20c6,166_5,241.0,186.0,unit,223.67857142857144,200.36190476190498,22.50102655758467
s20c6,166_5,241.0,186.0,random brlen,224.40147696937157,200.87896061471145,22.291129082494603
s20c6,166_5,241.0,186.0,given true brlen,224.9760109605895,200.64075312480617,21.705296054112456
s20c6,166_5,241.0,186.0,gaussian (no topology info),166.99471933735697,194.2953836078316,74.46875153483943
s20c6,104_3,210.0,190.0,unit,209.03571428571456,195.0857142857146,5.176324635752336
s20c6,104_3,210.0,190.0,random brlen,209.67693022656306,194.40018888081502,4.412033121516288
s20c6,104_3,210.0,190.0,given true brlen,210.0365181428482,194.78982087432243,4.789960081550991
s20c6,104_3,210.0,190.0,gaussian (no topology info),160.10067235025946,198.42255638337048,50.60516135659697
s20c6,201_1,147.0,204.0,unit,154.488095238095,200.17142857142832,8.410084986399163
s20c6,201_1,147.0,204.0,random brlen,148.40001420285262,202.05653721925887,2.395221774348899
s20c6,201_1,147.0,204.0,given true brlen,148.78433584678731,201.4931116234326,3.077067393915655
s20c6,201_1,147.0,204.0,gaussian (no topology info),164.4525665734257,202.55854974421672,17.5119918581455
s20c6,210_3,170.0,196.0,unit,173.48809523809544,197.8380952380955,3.942765843203652
s20c6,210_3,170.0,196.0,random brlen,167.74118302416198,198.66842483935847,3.4961042967336162
s20c6,210_3,170.0,196.0,given true brlen,174.02580794355268,198.49746217705365,4.737557062894904
s20c6,210_3,170.0,196.0,gaussian (no topology info),199.04276935798762,200.2591475955977,29.353411900873642
