experiment,cell_name,numSites,simulation_paramstrueBrlen,estBrlen,simulation_params,trueBrlen
s20c6,b'1_1',k10,,0.0049999956867093805,problin,0.0
s20c6,b'47_1',k10,,0.4463802488379914,problin,0.276
s20c6,b'156_1',k10,,0.5910039243119879,problin,0.654
s20c6,b'210_3',k10,,0.23084134239880608,problin,0.324
s20c6,b'216_4',k10,,0.0049999992435556025,problin,0.036000000000000004
s20c6,b'216_3',k10,,0.0049999992435556025,problin,0.036000000000000004
s20c6,b'201_1',k10,,0.005000012084912436,problin,0.27
s20c6,b'216_2',k10,,0.23084132955744924,problin,0.09
s20c6,b'216_1',k10,,0.23084132955744924,problin,0.09
s20c6,b'104_3',k10,,0.004999999905982563,problin,0.342
s20c6,b'166_5',k10,,0.08854243827237265,problin,0.372
s20c6,b'216_9',k10,,0.7333028277759944,problin,0.3
s20c6,b'216_8',k10,,0.7333028277759944,problin,0.3
s20c6,b'157_6',k10,,0.6396445069748269,problin,0.318
s20c6,b'216_11',k10,,0.1822007590735402,problin,0.354
s20c6,b'216_10',k10,,0.1822007590735402,problin,0.354
s20c6,b'46_2',k10,,0.0787175433571809,problin,0.27
s20c6,b'176_10',k10,,1.041065382587624,problin,0.78
s20c6,b'216_13',k10,,0.15344258884753634,problin,0.24
s20c6,b'216_12',k10,,0.15344258884753634,problin,0.24
s20c6,b'89_4',k10,,0.5209265486995331,problin,0.258
s20c6,b'216_16',k10,,0.673581422735627,problin,0.762
s20c6,b'216_19',k10,,0.673581422735627,problin,0.762
s20c6,b'1_1',k50,,0.005000000165326047,problin,0.0
s20c6,b'47_1',k50,,0.2529942803613635,problin,0.276
s20c6,b'156_1',k50,,0.6412120660170701,problin,0.654
s20c6,b'210_3',k50,,0.391672093444595,problin,0.324
s20c6,b'216_4',k50,,0.03398052564779245,problin,0.036000000000000004
s20c6,b'216_3',k50,,0.03398052564779245,problin,0.036000000000000004
s20c6,b'201_1',k50,,0.3154356062596861,problin,0.27
s20c6,b'216_2',k50,,0.11021701283270141,problin,0.09
s20c6,b'216_1',k50,,0.11021701283270141,problin,0.09
s20c6,b'104_3',k50,,0.24527408582532356,problin,0.342
s20c6,b'166_5',k50,,0.3233624292986385,problin,0.372
s20c6,b'216_9',k50,,0.4982281699854955,problin,0.3
s20c6,b'216_8',k50,,0.4982281699854955,problin,0.3
s20c6,b'157_6',k50,,0.3365774607648166,problin,0.318
s20c6,b'216_11',k50,,0.48501313851931743,problin,0.354
s20c6,b'216_10',k50,,0.48501313851931743,problin,0.354
s20c6,b'46_2',k50,,0.41633939670900405,problin,0.27
s20c6,b'176_10',k50,,0.7368201897891746,problin,0.78
s20c6,b'216_13',k50,,0.16669937897264248,problin,0.24
s20c6,b'216_12',k50,,0.16669937897264248,problin,0.24
s20c6,b'89_4',k50,,0.15790754713239408,problin,0.258
s20c6,b'216_16',k50,,0.745612021629423,problin,0.762
s20c6,b'216_19',k50,,0.745612021629423,problin,0.762
s20c6,b'1_1',k200,,0.004999997429391367,problin,0.0
s20c6,b'47_1',k200,,0.22645588103567096,problin,0.276
s20c6,b'156_1',k200,,0.6323086721503626,problin,0.654
s20c6,b'210_3',k200,,0.3965220127203892,problin,0.324
s20c6,b'216_4',k200,,0.03609371309500195,problin,0.036000000000000004
s20c6,b'216_3',k200,,0.03609371309500195,problin,0.036000000000000004
s20c6,b'201_1',k200,,0.29610369943676473,problin,0.27
s20c6,b'216_2',k200,,0.1365120263786265,problin,0.09
s20c6,b'216_1',k200,,0.1365120263786265,problin,0.09
s20c6,b'104_3',k200,,0.3778708689214202,problin,0.342
s20c6,b'166_5',k200,,0.29426998671957116,problin,0.372
s20c6,b'216_9',k200,,0.3927835423247625,problin,0.3
s20c6,b'216_8',k200,,0.3927835423247625,problin,0.3
s20c6,b'157_6',k200,,0.36154394666722023,problin,0.318
s20c6,b'216_11',k200,,0.3255095823771134,problin,0.354
s20c6,b'216_10',k200,,0.3255095823771134,problin,0.354
s20c6,b'46_2',k200,,0.2901315437845615,problin,0.27
s20c6,b'176_10',k200,,0.7999162023807578,problin,0.78
s20c6,b'216_13',k200,,0.2013325328361056,problin,0.24
s20c6,b'216_12',k200,,0.2013325328361056,problin,0.24
s20c6,b'89_4',k200,,0.18527543457260745,problin,0.258
s20c6,b'216_16',k200,,0.8159733006442559,problin,0.762
s20c6,b'216_19',k200,,0.8159733006442559,problin,0.762
s20c6,b'1_1',k10,,0.005,sigma05_spalin,0.0
s20c6,b'47_1',k10,,0.49582215455087636,sigma05_spalin,0.276
s20c6,b'156_1',k10,,0.45320443643362196,sigma05_spalin,0.654
s20c6,b'210_3',k10,,0.3518450178479431,sigma05_spalin,0.324
s20c6,b'216_4',k10,,0.008068911594408265,sigma05_spalin,0.036000000000000004
s20c6,b'216_3',k10,,0.008068911594408265,sigma05_spalin,0.036000000000000004
s20c6,b'201_1',k10,,0.35491392908202685,sigma05_spalin,0.27
s20c6,b'216_2',k10,,0.005000000360324518,sigma05_spalin,0.09
s20c6,b'216_1',k10,,0.005000000360324518,sigma05_spalin,0.09
s20c6,b'104_3',k10,,0.005,sigma05_spalin,0.342
s20c6,b'166_5',k10,,0.1290617826631358,sigma05_spalin,0.372
s20c6,b'216_9',k10,,0.6790565832397538,sigma05_spalin,0.3
s20c6,b'216_8',k10,,0.6790565832397538,sigma05_spalin,0.3
s20c6,b'157_6',k10,,0.6815892916201685,sigma05_spalin,0.318
s20c6,b'216_11',k10,,0.12652907428272114,sigma05_spalin,0.354
s20c6,b'216_10',k10,,0.12652907428272114,sigma05_spalin,0.354
s20c6,b'46_2',k10,,0.10413348197109794,sigma05_spalin,0.27
s20c6,b'176_10',k10,,1.0635177039903947,sigma05_spalin,0.78
s20c6,b'216_13',k10,,0.141289334465357,sigma05_spalin,0.24
s20c6,b'216_12',k10,,0.141289334465357,sigma05_spalin,0.24
s20c6,b'89_4',k10,,0.6148103720560796,sigma05_spalin,0.258
s20c6,b'216_16',k10,,0.5899966663996721,sigma05_spalin,0.762
s20c6,b'216_19',k10,,0.5899966663996721,sigma05_spalin,0.762
s20c6,b'1_1',k10,,0.005000000007832724,sigma15_spalin,0.0
s20c6,b'47_1',k10,,0.3841054091608449,sigma15_spalin,0.276
s20c6,b'156_1',k10,,0.41267839649484056,sigma15_spalin,0.654
s20c6,b'210_3',k10,,0.39032074668901345,sigma15_spalin,0.324
s20c6,b'216_4',k10,,0.03200787707257235,sigma15_spalin,0.036000000000000004
s20c6,b'216_3',k10,,0.03200787707257235,sigma15_spalin,0.036000000000000004
s20c6,b'201_1',k10,,0.23009274661849735,sigma15_spalin,0.27
