experiment,character,cell_name,method,trueBrlen,estBrlen
s20c6,k10_,b'1_1',problin,0.0,1.000000008036798
s20c6,k10_,b'47_1',problin,46.0,74.79012186629309
s20c6,k10_,b'156_1',problin,109.0,99.35031620294777
s20c6,k10_,b'210_3',problin,54.0,38.86956199777887
s20c6,k10_,b'216_4',problin,6.0,1.0000000073798276
s20c6,k10_,b'216_3',problin,6.0,1.0000000073798276
s20c6,k10_,b'201_1',problin,45.0,1.0000000092067889
s20c6,k10_,b'216_2',problin,15.0,38.86956199595191
s20c6,k10_,b'216_1',problin,15.0,38.86956199595191
s20c6,k10_,b'104_3',problin,57.0,1.000000007881079
s20c6,k10_,b'166_5',problin,62.0,14.897615247398775
s20c6,k10_,b'216_9',problin,50.0,123.3222629528266
s20c6,k10_,b'216_8',problin,50.0,123.3222629528266
s20c6,k10_,b'157_6',problin,53.0,107.50511425219916
s20c6,k10_,b'216_11',problin,59.0,30.714763948026228
s20c6,k10_,b'216_10',problin,59.0,30.714763948026228
s20c6,k10_,b'46_2',problin,45.0,13.168461110095073
s20c6,k10_,b'176_10',problin,130.0,175.0056149011427
s20c6,k10_,b'216_13',problin,40.0,25.835924063161777
s20c6,k10_,b'216_12',problin,40.0,25.835924063161777
s20c6,k10_,b'89_4',problin,43.0,87.64372345347216
s20c6,k10_,b'216_16',problin,127.0,113.19781551083233
s20c6,k10_,b'216_19',problin,127.0,113.19781551083233
s20c6,k10_,b'1_1',sigma05_spalin,0.0,1.0000000005504133
s20c6,k10_,b'47_1',sigma05_spalin,46.0,65.59588483587183
s20c6,k10_,b'156_1',sigma05_spalin,109.0,77.61501786327952
s20c6,k10_,b'210_3',sigma05_spalin,54.0,69.05764194603813
s20c6,k10_,b'216_4',sigma05_spalin,6.0,1.7414553542713578
s20c6,k10_,b'216_3',sigma05_spalin,6.0,1.7414553542713578
s20c6,k10_,b'201_1',sigma05_spalin,45.0,69.79909730030933
s20c6,k10_,b'216_2',sigma05_spalin,15.0,1.000000000000157
s20c6,k10_,b'216_1',sigma05_spalin,15.0,1.000000000000157
s20c6,k10_,b'104_3',sigma05_spalin,57.0,1.0000000000350298
s20c6,k10_,b'166_5',sigma05_spalin,62.0,25.58779640871704
s20c6,k10_,b'216_9',sigma05_spalin,50.0,121.82631875483693
s20c6,k10_,b'216_8',sigma05_spalin,50.0,121.82631875483693
s20c6,k10_,b'157_6',sigma05_spalin,53.0,122.96952064894116
s20c6,k10_,b'216_11',sigma05_spalin,59.0,24.444594514612817
s20c6,k10_,b'216_10',sigma05_spalin,59.0,24.444594514612817
