experiment,character,method,est_sigma
s20c6,k10_,sigma05_spalin,0.542933688293783
s20c6,k10_,sigma15_spalin,1.195292640777912
s20c6,k10_,sigma3_spalin,3.09510805475151
s20c6,k10_,sigma05_spalin_spatialonly,0.4840347261835178
s20c6,k10_,sigma15_spalin_spatialonly,1.443882114945717
s20c6,k10_,sigma3_spalin_spatialonly,4.83784954587573
s20c6,k50_,sigma05_spalin,0.53786093794975
s20c6,k50_,sigma15_spalin,1.158726933809699
s20c6,k50_,sigma3_spalin,3.008862830948371
s20c6,k200_,sigma05_spalin,0.542949732413609
s20c6,k200_,sigma15_spalin,1.22647967571086
s20c6,k200_,sigma3_spalin,2.95201974851413
s7c5,k10_,sigma05_spalin,0.490258107569817
s7c5,k10_,sigma15_spalin,1.521457099249682
s7c5,k10_,sigma3_spalin,2.491272716559375
s7c5,k10_,sigma05_spalin_spatialonly,0.394770636127661
s7c5,k10_,sigma15_spalin_spatialonly,1.298677172202315
s7c5,k10_,sigma3_spalin_spatialonly,1.881596093915417
s7c5,k50_,sigma05_spalin,0.4994068076271312
s7c5,k50_,sigma15_spalin,1.596877048550252
s7c5,k50_,sigma3_spalin,2.6365804833147
s7c5,k200_,sigma05_spalin,0.4803984510371847
s7c5,k200_,sigma15_spalin,1.431185645597459
s7c5,k200_,sigma3_spalin,2.566846791660127
s13c4,k10_,sigma05_spalin,0.4607636104600051
s13c4,k10_,sigma15_spalin,1.672965990197468
s13c4,k10_,sigma3_spalin,3.246742362278103
s13c4,k10_,sigma05_spalin_spatialonly,0.353931640859597
s13c4,k10_,sigma15_spalin_spatialonly,1.632884622544049
s13c4,k10_,sigma3_spalin_spatialonly,3.172549523331493
s13c4,k50_,sigma05_spalin,0.4391496661651902
s13c4,k50_,sigma15_spalin,1.592856999595328
s13c4,k50_,sigma3_spalin,3.109357555287776
s13c4,k200_,sigma05_spalin,0.4321688886958947
s13c4,k200_,sigma15_spalin,1.55977336554574
s13c4,k200_,sigma3_spalin,2.95743554651554
s5c12,k10_,sigma05_spalin,0.532140391333296
s5c12,k10_,sigma15_spalin,1.60211082206147
s5c12,k10_,sigma3_spalin,4.00503515454086
s5c12,k10_,sigma05_spalin_spatialonly,0.40136203688751
s5c12,k10_,sigma15_spalin_spatialonly,1.071304672499063
s5c12,k10_,sigma3_spalin_spatialonly,3.272732685858351
s5c12,k50_,sigma05_spalin,0.403687067904174
s5c12,k50_,sigma15_spalin,1.252816711151386
s5c12,k50_,sigma3_spalin,2.879059366657649
s5c12,k200_,sigma05_spalin,0.4531780021828727
s5c12,k200_,sigma15_spalin,1.40119957065946
s5c12,k200_,sigma3_spalin,3.191835150373727
s19c4,k10_,sigma05_spalin,0.4704478156374791
s19c4,k10_,sigma15_spalin,1.151411161241428
s19c4,k10_,sigma3_spalin,2.88929374866492
s19c4,k10_,sigma05_spalin_spatialonly,0.4863728905832742
s19c4,k10_,sigma15_spalin_spatialonly,1.100422035018164
s19c4,k10_,sigma3_spalin_spatialonly,3.09617878414085
s19c4,k50_,sigma05_spalin,0.4268851267393919
s19c4,k50_,sigma15_spalin,1.068965890888593
s19c4,k50_,sigma3_spalin,2.89531425396375
s19c4,k200_,sigma05_spalin,0.4874342253774738
s19c4,k200_,sigma15_spalin,1.236513737506449
s19c4,k200_,sigma3_spalin,3.400005144079574
s15c8,k10_,sigma05_spalin,0.342278210348124
s15c8,k10_,sigma15_spalin,1.651564271300694
s15c8,k10_,sigma3_spalin,2.43786598723584
s15c8,k10_,sigma05_spalin_spatialonly,0.298422808086681
s15c8,k10_,sigma15_spalin_spatialonly,1.738775120455995
s15c8,k10_,sigma3_spalin_spatialonly,1.68862570405785
s15c8,k50_,sigma05_spalin,0.328224032977372
s15c8,k50_,sigma15_spalin,1.4901134694352
s15c8,k50_,sigma3_spalin,2.161199149487081
s15c8,k200_,sigma05_spalin,0.348741242024924
s15c8,k200_,sigma15_spalin,1.516056538208632
s15c8,k200_,sigma3_spalin,2.342938257937852
s3c3,k10_,sigma05_spalin,0.533738303551297
s3c3,k10_,sigma15_spalin,1.59141536916733
s3c3,k10_,sigma3_spalin,4.744014627229244
s3c3,k10_,sigma05_spalin_spatialonly,0.431757628066619
s3c3,k10_,sigma15_spalin_spatialonly,1.47927888202204
s3c3,k10_,sigma3_spalin_spatialonly,3.82384458921538
s3c3,k50_,sigma05_spalin,0.477376775481809
s3c3,k50_,sigma15_spalin,1.298913139489493
s3c3,k50_,sigma3_spalin,4.04520583723861
s3c3,k200_,sigma05_spalin,0.487673463371462
s3c3,k200_,sigma15_spalin,1.38127935931882
s3c3,k200_,sigma3_spalin,4.4733715837514
s9c4,k10_,sigma05_spalin,0.51115778872845
s9c4,k10_,sigma15_spalin,1.50958615018541
s9c4,k10_,sigma3_spalin,2.46681831541937
s9c4,k10_,sigma05_spalin_spatialonly,0.46160692867117
s9c4,k10_,sigma15_spalin_spatialonly,1.527812345511097
s9c4,k10_,sigma3_spalin_spatialonly,2.14609016932043
