experiment,cell_name,method,trueBrlen,estBrlen
s20c7_,b'1_1',problin,0.0,50.112579090403266
s20c7_,b'177_5',problin,176.0,1.0
s20c7_,b'216_5',problin,39.0,163.8974209094475
s20c7_,b'216_4',problin,39.0,163.8974209094475
s20c7_,b'216_1',problin,215.0,164.89742090941877
s20c7_,b'1_1',spalin,0.0,50.131671078037044
s20c7_,b'177_5',spalin,176.0,1.0
s20c7_,b'216_5',spalin,39.0,163.87832892197113
s20c7_,b'216_4',spalin,39.0,163.87832892197113
s20c7_,b'216_1',spalin,215.0,164.8783289219635
s20c7_,b'1_1',spalin-divide-beta1,0.0,50.132285759231095
s20c7_,b'177_5',spalin-divide-beta1,176.0,1.0
s20c7_,b'216_5',spalin-divide-beta1,39.0,163.87771424078937
s20c7_,b'216_4',spalin-divide-beta1,39.0,163.87771424078937
s20c7_,b'216_1',spalin-divide-beta1,215.0,164.87771424077008
s20c7_,b'1_1',spalin-divide-beta3,0.0,50.13451884552753
s20c7_,b'177_5',spalin-divide-beta3,176.0,1.0000000002182001
s20c7_,b'216_5',spalin-divide-beta3,39.0,163.87517244291624
s20c7_,b'216_4',spalin-divide-beta3,39.0,163.87517244291624
s20c7_,b'216_1',spalin-divide-beta3,215.0,164.87517244313443
s20c7_,b'1_1',spalin-divide-beta5,0.0,50.127651100899186
s20c7_,b'177_5',spalin-divide-beta5,176.0,1.0
s20c7_,b'216_5',spalin-divide-beta5,39.0,163.87346193383362
s20c7_,b'216_4',spalin-divide-beta5,39.0,163.87346193383362
s20c7_,b'216_1',spalin-divide-beta5,215.0,164.87346193382842
s20c7_,b'1_1',spalin-divide-beta7,0.0,50.13684127941909
s20c7_,b'177_5',spalin-divide-beta7,176.0,1.0
s20c7_,b'216_5',spalin-divide-beta7,39.0,163.8731587215753
s20c7_,b'216_4',spalin-divide-beta7,39.0,163.8731587215753
s20c7_,b'216_1',spalin-divide-beta7,215.0,164.873158720581
s20c7_,b'1_1',spalin-divide-beta10,0.0,50.1400662950712
s20c7_,b'177_5',spalin-divide-beta10,176.0,1.0
s20c7_,b'216_5',spalin-divide-beta10,39.0,163.86993370496816
s20c7_,b'216_4',spalin-divide-beta10,39.0,163.86993370496816
s20c7_,b'216_1',spalin-divide-beta10,215.0,164.86993370492897
s20c7_,b'1_1',spalin_spatialonly,0.0,121.99503689594646
s20c7_,b'177_5',spalin_spatialonly,176.0,42.45406137093168
s20c7_,b'216_5',spalin_spatialonly,39.0,50.54092820834043
s20c7_,b'216_4',spalin_spatialonly,39.0,50.54092820834043
s20c7_,b'216_1',spalin_spatialonly,215.0,92.99498957927212
s20c7_,b'1_1',spalin-divide-beta5_spatialonly,0.0,134.66652613613851
s20c7_,b'177_5',spalin-divide-beta5_spatialonly,176.0,44.47112849684056
s20c7_,b'216_5',spalin-divide-beta5_spatialonly,39.0,35.85600498027596
s20c7_,b'216_4',spalin-divide-beta5_spatialonly,39.0,35.85600498027596
s20c7_,b'216_1',spalin-divide-beta5_spatialonly,215.0,80.32713347711652
s20c1_,b'103_1',problin,102.0,21.561685840230965
s20c1_,b'147_3',problin,44.0,58.268332419268326
s20c1_,b'190_5',problin,43.0,134.17998176716023
s20c1_,b'216_9',problin,26.0,1.0000000028551048
s20c1_,b'216_8',problin,26.0,1.0000000028551048
s20c1_,b'185_6',problin,38.0,1.0000000038723584
s20c1_,b'216_11',problin,31.0,134.17998176614296
s20c1_,b'216_10',problin,31.0,134.17998176614296
s20c1_,b'136_1',problin,33.0,1.0000000040671948
s20c1_,b'216_7',problin,80.0,192.44831418521647
s20c1_,b'174_1',problin,38.0,1.000000003252785
s20c1_,b'210_2',problin,36.0,1.0
s20c1_,b'216_4',problin,6.0,190.44831418623264
s20c1_,b'216_3',problin,6.0,190.44831418623264
s20c1_,b'210_1',problin,36.0,133.54427538071263
s20c1_,b'216_2',problin,6.0,57.90403880125106
s20c1_,b'216_1',problin,6.0,57.90403880125106
s20c1_,b'103_1',spalin,102.0,21.749180400527955
s20c1_,b'147_3',spalin,44.0,59.26726932418053
s20c1_,b'190_5',spalin,43.0,110.73338246607089
s20c1_,b'216_9',spalin,26.0,23.26016786417156
s20c1_,b'216_8',spalin,26.0,23.26016786417156
s20c1_,b'185_6',spalin,38.0,1.0
s20c1_,b'216_11',spalin,31.0,132.99355033121418
s20c1_,b'216_10',spalin,31.0,132.99355033121418
s20c1_,b'136_1',spalin,33.0,1.0
s20c1_,b'216_7',spalin,80.0,192.26081969159046
s20c1_,b'174_1',spalin,38.0,1.0
s20c1_,b'210_2',spalin,36.0,1.0
s20c1_,b'216_4',spalin,6.0,190.26081974886873
s20c1_,b'216_3',spalin,6.0,190.26081974886873
s20c1_,b'210_1',spalin,36.0,140.83393050625332
s20c1_,b'216_2',spalin,6.0,50.42688919269884
s20c1_,b'216_1',spalin,6.0,50.42688919269884
s20c1_,b'103_1',spalin-divide-beta1,102.0,21.746326381582765
s20c1_,b'147_3',spalin-divide-beta1,44.0,59.359319075294714
s20c1_,b'190_5',spalin-divide-beta1,43.0,111.24942596505741
s20c1_,b'216_9',spalin-divide-beta1,26.0,22.654928578064148
s20c1_,b'216_8',spalin-divide-beta1,26.0,22.654928578064148
s20c1_,b'185_6',spalin-divide-beta1,38.0,1.0000000001526317
s20c1_,b'216_11',spalin-divide-beta1,31.0,132.90435454296895
s20c1_,b'216_10',spalin-divide-beta1,31.0,132.90435454296895
s20c1_,b'136_1',spalin-divide-beta1,33.0,1.0000000000208578
s20c1_,b'216_7',spalin-divide-beta1,80.0,192.26367361839544
s20c1_,b'174_1',spalin-divide-beta1,38.0,1.0000000002606377
s20c1_,b'210_2',spalin-divide-beta1,36.0,1.0000000007491117
s20c1_,b'216_4',spalin-divide-beta1,6.0,190.26367361738568
s20c1_,b'216_3',spalin-divide-beta1,6.0,190.26367361738568
s20c1_,b'210_1',spalin-divide-beta1,36.0,141.713851048376
s20c1_,b'216_2',spalin-divide-beta1,6.0,49.54982256975879
s20c1_,b'216_1',spalin-divide-beta1,6.0,49.54982256975879
s20c1_,b'103_1',spalin-divide-beta3,102.0,21.727457221161853
s20c1_,b'147_3',spalin-divide-beta3,44.0,59.615175425530644
s20c1_,b'190_5',spalin-divide-beta3,43.0,112.48132264270754
s20c1_,b'216_9',spalin-divide-beta3,26.0,21.18604471508288
s20c1_,b'216_8',spalin-divide-beta3,26.0,21.18604471508288
s20c1_,b'185_6',spalin-divide-beta3,38.0,1.0
s20c1_,b'216_11',spalin-divide-beta3,31.0,132.66736737113723
s20c1_,b'216_10',spalin-divide-beta3,31.0,132.66736737113723
s20c1_,b'136_1',spalin-divide-beta3,33.0,1.0
s20c1_,b'216_7',spalin-divide-beta3,80.0,192.2825428294385
s20c1_,b'174_1',spalin-divide-beta3,38.0,1.0000000005669551
s20c1_,b'210_2',spalin-divide-beta3,36.0,1.0
s20c1_,b'216_4',spalin-divide-beta3,6.0,190.2825428495377
s20c1_,b'216_3',spalin-divide-beta3,6.0,190.2825428495377
s20c1_,b'210_1',spalin-divide-beta3,36.0,143.81961469896598
s20c1_,b'216_2',spalin-divide-beta3,6.0,47.46292812990558
s20c1_,b'216_1',spalin-divide-beta3,6.0,47.46292812990558
s20c1_,b'103_1',spalin-divide-beta5,102.0,21.70682931931303
s20c1_,b'147_3',spalin-divide-beta5,44.0,60.00031162730432
s20c1_,b'190_5',spalin-divide-beta5,43.0,114.06112740215875
s20c1_,b'216_9',spalin-divide-beta5,26.0,19.241731651224157
s20c1_,b'216_8',spalin-divide-beta5,26.0,19.241731651224157
s20c1_,b'185_6',spalin-divide-beta5,38.0,1.000000022717795
s20c1_,b'216_11',spalin-divide-beta5,31.0,132.3028590306651
s20c1_,b'216_10',spalin-divide-beta5,31.0,132.3028590306651
s20c1_,b'136_1',spalin-divide-beta5,33.0,1.0000000017796165
s20c1_,b'216_7',spalin-divide-beta5,80.0,192.3031706789076
s20c1_,b'174_1',spalin-divide-beta5,38.0,1.0000000005956435
s20c1_,b'210_2',spalin-divide-beta5,36.0,1.0000000134764544
s20c1_,b'216_4',spalin-divide-beta5,6.0,190.3031706648355
s20c1_,b'216_3',spalin-divide-beta5,6.0,190.3031706648355
