experiment,method,est_sigma
s20c7_,spalin,1.32743600754221
s20c7_,spalin-divide-beta1,1.115240675142522
s20c7_,spalin-divide-beta3,1.037674189652293
s20c7_,spalin-divide-beta5,0.954062074253321
s20c7_,spalin-divide-beta7,0.862967886572721
s20c7_,spalin-divide-beta10,0.706914912705556
s20c7_,spalin_spatialonly,1.918774184631099
s20c7_,spalin-divide-beta5_spatialonly,1.201711333997779
s20c1_,spalin,1.985867584856309
s20c1_,spalin-divide-beta1,1.369104388661491
s20c1_,spalin-divide-beta3,1.285736622380229
s20c1_,spalin-divide-beta5,1.19763663939726
s20c1_,spalin-divide-beta7,1.104132785304356
s20c1_,spalin-divide-beta10,0.953078548287812
s20c1_,spalin_spatialonly,3.039149949065642
s20c1_,spalin-divide-beta5_spatialonly,1.551246142745684
s20c6_,spalin,1.696062568799978
s20c6_,spalin-divide-beta1,1.26435603049679
s20c6_,spalin-divide-beta3,1.185998545420365
s20c6_,spalin-divide-beta5,1.10758128321028
s20c6_,spalin-divide-beta7,1.033690174028901
s20c6_,spalin-divide-beta10,0.96822059503126
s20c6_,spalin_spatialonly,2.630545670294701
s20c6_,spalin-divide-beta5_spatialonly,1.16231366522016
s13c3_,spalin,3.927243525648465
s13c3_,spalin-divide-beta1,1.949648393264339
s13c3_,spalin-divide-beta3,1.884491969471161
s13c3_,spalin-divide-beta5,1.818290840830126
s13c3_,spalin-divide-beta7,1.751239194491828
s13c3_,spalin-divide-beta10,1.650116401084
s13c3_,spalin_spatialonly,3.946104596552866
s13c3_,spalin-divide-beta5_spatialonly,1.463084436996943
s7c2_,spalin,3.0332251717083
s7c2_,spalin-divide-beta1,1.685663186508453
s7c2_,spalin-divide-beta3,1.56870804134229
s7c2_,spalin-divide-beta5,1.442362510701514
s7c2_,spalin-divide-beta7,1.30760755683864
s7c2_,spalin-divide-beta10,1.09218584485639
s7c2_,spalin_spatialonly,2.996579313833413
s7c2_,spalin-divide-beta5_spatialonly,1.5258270123301
s7c5_,spalin,2.602211940629491
s7c5_,spalin-divide-beta1,1.574135031123204
s7c5_,spalin-divide-beta3,1.49342541167756
s7c5_,spalin-divide-beta5,1.408902471392239
s7c5_,spalin-divide-beta7,1.32019616925292
s7c5_,spalin-divide-beta10,1.178469145172526
s7c5_,spalin_spatialonly,4.12360213437594
s7c5_,spalin-divide-beta5_spatialonly,1.855150745829806
s13c4_,spalin,3.2845233155962
s13c4_,spalin-divide-beta1,1.767596810078006
s13c4_,spalin-divide-beta3,1.675662658680855
s13c4_,spalin-divide-beta5,1.57960169128355
s13c4_,spalin-divide-beta7,1.449347128315355
s13c4_,spalin-divide-beta10,1.300442818144634
s13c4_,spalin_spatialonly,3.70210277636646
s13c4_,spalin-divide-beta5_spatialonly,1.471643584750653
s5c1_,spalin,2.321693494806004
s5c1_,spalin-divide-beta1,1.481579242729636
s5c1_,spalin-divide-beta3,1.39406522540148
s5c1_,spalin-divide-beta5,1.30144364921558
s5c1_,spalin-divide-beta7,1.203200477798163
s5c1_,spalin-divide-beta10,1.04454850300534
s5c1_,spalin_spatialonly,2.64645596209016
s5c1_,spalin-divide-beta5_spatialonly,1.496152886645664
s19c3_,spalin,2.38712698685948
s19c3_,spalin-divide-beta1,1.515879563153803
s19c3_,spalin-divide-beta3,1.456377251358979
s19c3_,spalin-divide-beta5,1.39529659491249
s19c3_,spalin-divide-beta7,1.332755487771638
s19c3_,spalin-divide-beta10,1.23659737327652
s19c3_,spalin_spatialonly,4.88929108408153
s19c3_,spalin-divide-beta5_spatialonly,2.06785786703832
s5c12_,spalin,3.20405040878705
s5c12_,spalin-divide-beta1,1.732655211100644
s5c12_,spalin-divide-beta3,1.613584105008353
s5c12_,spalin-divide-beta5,1.42131126408556
s5c12_,spalin-divide-beta7,1.27896004095744
s5c12_,spalin-divide-beta10,1.130273288900317
s5c12_,spalin_spatialonly,1.832367840997366
s5c12_,spalin-divide-beta5_spatialonly,1.1305202372642
s5c6_,spalin,2.30468073546108
s5c6_,spalin-divide-beta1,1.472508205616512
s5c6_,spalin-divide-beta3,1.378573275825915
s5c6_,spalin-divide-beta5,1.282346378889526
s5c6_,spalin-divide-beta7,1.18805000817268
s5c6_,spalin-divide-beta10,1.063439457651803
s5c6_,spalin_spatialonly,3.026122385819389
s5c6_,spalin-divide-beta5_spatialonly,1.56363671446406
s19c4_,spalin,2.84364616477964
s19c4_,spalin-divide-beta1,1.650332717215688
s19c4_,spalin-divide-beta3,1.57614102077222
s19c4_,spalin-divide-beta5,1.49914788321224
s19c4_,spalin-divide-beta7,1.418944473860223
s19c4_,spalin-divide-beta10,1.29257321310333
s19c4_,spalin_spatialonly,3.748121645709878
s19c4_,spalin-divide-beta5_spatialonly,1.721112575302111
s15c8_,spalin,2.02259147059829
s15c8_,spalin-divide-beta1,1.374239668659754
s15c8_,spalin-divide-beta3,1.2754395122486
s15c8_,spalin-divide-beta5,1.157020182263302
s15c8_,spalin-divide-beta7,1.043172613792716
s15c8_,spalin-divide-beta10,0.939616103329339
s15c8_,spalin_spatialonly,2.772870683528453
s15c8_,spalin-divide-beta5_spatialonly,1.197342999379618
s3c3_,spalin,1.63566252521735
s3c3_,spalin-divide-beta1,1.22154259733182
s3c3_,spalin-divide-beta3,1.101667187315268
s3c3_,spalin-divide-beta5,0.97287725579139
s3c3_,spalin-divide-beta7,0.839965181077413
s3c3_,spalin-divide-beta10,0.646394586120722
s3c3_,spalin_spatialonly,1.930515262078584
s3c3_,spalin-divide-beta5_spatialonly,1.11741586977743
s9c4_,spalin,3.2394680531786
s9c4_,spalin-divide-beta1,1.76695088391141
s9c4_,spalin-divide-beta3,1.699971922593488
s9c4_,spalin-divide-beta5,1.631824496816848
s9c4_,spalin-divide-beta7,1.537039776341606
s9c4_,spalin-divide-beta10,1.432827856068039
s9c4_,spalin_spatialonly,4.50439353865105
s9c4_,spalin-divide-beta5_spatialonly,1.859189845365672
s15c6_,spalin,2.96978768349327
s15c6_,spalin-divide-beta1,1.6804303157389
s15c6_,spalin-divide-beta3,1.593570882580541
s15c6_,spalin-divide-beta5,1.492438069250513
s15c6_,spalin-divide-beta7,1.29864780189381
s15c6_,spalin-divide-beta10,1.306483766127994
s15c6_,spalin_spatialonly,3.575615457879646
s15c6_,spalin-divide-beta5_spatialonly,1.625075045008457
s9c3_,spalin,3.1437596129278
s9c3_,spalin-divide-beta1,1.734535415729857
s9c3_,spalin-divide-beta3,1.654819334607831
s9c3_,spalin-divide-beta5,1.571954003021301
s9c3_,spalin-divide-beta7,1.465301959058265
s9c3_,spalin-divide-beta10,1.35314414310404
s9c3_,spalin_spatialonly,2.65637921183113
s9c3_,spalin-divide-beta5_spatialonly,1.487711803216033
s15c1_,spalin,2.189516272354485
s15c1_,spalin-divide-beta1,1.44085291386944
s15c1_,spalin-divide-beta3,1.361033067530697
s15c1_,spalin-divide-beta5,1.278524118049285
s15c1_,spalin-divide-beta7,1.19437437436197
s15c1_,spalin-divide-beta10,1.05018851493318
