experiment,cell_name,method,trueBrlen,estBrlen,character
s20c6,b'1_1',problin,0.0,1.0000000006737615,k10_r1_
s20c6,b'47_1',problin,46.0,19.271387550080977,k10_r1_
s20c6,b'156_1',problin,109.0,129.29071808216136,k10_r1_
s20c6,b'210_3',problin,54.0,47.69083270947562,k10_r1_
s20c6,b'216_4',problin,6.0,17.7570616594473,k10_r1_
s20c6,b'216_3',problin,6.0,17.7570616594473,k10_r1_
s20c6,b'201_1',problin,45.0,1.0000000010011212,k10_r1_
s20c6,b'216_2',problin,15.0,64.4478943679218,k10_r1_
s20c6,b'216_1',problin,15.0,64.4478943679218,k10_r1_
s20c6,b'104_3',problin,57.0,81.63471918988088,k10_r1_
s20c6,b'166_5',problin,62.0,30.958190789951125,k10_r1_
s20c6,b'216_9',problin,50.0,82.14570247125229,k10_r1_
s20c6,b'216_8',problin,50.0,82.14570247125229,k10_r1_
s20c6,b'157_6',problin,53.0,84.94096734391155,k10_r1_
s20c6,b'216_11',problin,59.0,28.162925917291847,k10_r1_
s20c6,b'216_10',problin,59.0,28.162925917291847,k10_r1_
s20c6,b'46_2',problin,45.0,37.12882518512177,k10_r1_
s20c6,b'176_10',problin,130.0,175.88117481584615,k10_r1_
s20c6,b'216_13',problin,40.0,1.0000000001973297,k10_r1_
s20c6,b'216_12',problin,40.0,1.0000000001973297,k10_r1_
s20c6,b'89_4',problin,43.0,1.0,k10_r1_
s20c6,b'216_16',problin,127.0,175.88117481618286,k10_r1_
s20c6,b'216_19',problin,127.0,175.88117481618286,k10_r1_
s20c6,b'1_1',spalin-spatialonly,0.0,113.53424395480721,k10_r1_
s20c6,b'47_1',spalin-spatialonly,46.0,1.0000000000000027,k10_r1_
s20c6,b'156_1',spalin-spatialonly,109.0,65.1513292517361,k10_r1_
s20c6,b'210_3',spalin-spatialonly,54.0,24.109685081683676,k10_r1_
s20c6,b'216_4',spalin-spatialonly,6.0,11.209809612362509,k10_r1_
s20c6,b'216_3',spalin-spatialonly,6.0,11.209809612362509,k10_r1_
s20c6,b'201_1',spalin-spatialonly,45.0,30.091836276847065,k10_r1_
s20c6,b'216_2',spalin-spatialonly,15.0,5.227658417199121,k10_r1_
s20c6,b'216_1',spalin-spatialonly,15.0,5.227658417199121,k10_r1_
s20c6,b'104_3',spalin-spatialonly,57.0,89.11522657902698,k10_r1_
s20c6,b'166_5',spalin-spatialonly,62.0,4.524249056021923,k10_r1_
s20c6,b'216_9',spalin-spatialonly,50.0,6.831348310733376,k10_r1_
s20c6,b'216_8',spalin-spatialonly,50.0,6.831348310733376,k10_r1_
s20c6,b'157_6',spalin-spatialonly,53.0,1.3307797782976247,k10_r1_
s20c6,b'216_11',spalin-spatialonly,59.0,10.024817588457674,k10_r1_
s20c6,b'216_10',spalin-spatialonly,59.0,10.024817588457674,k10_r1_
s20c6,b'46_2',spalin-spatialonly,45.0,1.0000000000000142,k10_r1_
s20c6,b'176_10',spalin-spatialonly,130.0,14.027058367753312,k10_r1_
s20c6,b'216_13',spalin-spatialonly,40.0,86.44376557802897,k10_r1_
s20c6,b'216_12',spalin-spatialonly,40.0,86.44376557802897,k10_r1_
s20c6,b'89_4',spalin-spatialonly,43.0,1.0000000000000044,k10_r1_
s20c6,b'216_16',spalin-spatialonly,127.0,99.47082394578227,k10_r1_
s20c6,b'216_19',spalin-spatialonly,127.0,99.47082394578227,k10_r1_
s20c6,b'1_1',spalin-divide-beta5-spatialonly,0.0,1.000000000004459,k10_r1_
s20c6,b'47_1',spalin-divide-beta5-spatialonly,46.0,1.0,k10_r1_
s20c6,b'156_1',spalin-divide-beta5-spatialonly,109.0,163.64486508272086,k10_r1_
s20c6,b'210_3',spalin-divide-beta5-spatialonly,54.0,42.43673420768257,k10_r1_
s20c6,b'216_4',spalin-divide-beta5-spatialonly,6.0,6.928400709607269,k10_r1_
s20c6,b'216_3',spalin-divide-beta5-spatialonly,6.0,6.928400709607269,k10_r1_
s20c6,b'201_1',spalin-divide-beta5-spatialonly,45.0,48.36513491729004,k10_r1_
s20c6,b'216_2',spalin-divide-beta5-spatialonly,15.0,1.0,k10_r1_
s20c6,b'216_1',spalin-divide-beta5-spatialonly,15.0,1.0,k10_r1_
s20c6,b'104_3',spalin-divide-beta5-spatialonly,57.0,208.07856759168905,k10_r1_
s20c6,b'166_5',spalin-divide-beta5-spatialonly,62.0,2.246842504223855,k10_r1_
s20c6,b'216_9',spalin-divide-beta5-spatialonly,50.0,2.684589904097773,k10_r1_
s20c6,b'216_8',spalin-divide-beta5-spatialonly,50.0,2.684589904097773,k10_r1_
s20c6,b'157_6',spalin-divide-beta5-spatialonly,53.0,1.0000000000023694,k10_r1_
s20c6,b'216_11',spalin-divide-beta5-spatialonly,59.0,3.9314324083192584,k10_r1_
s20c6,b'216_10',spalin-divide-beta5-spatialonly,59.0,3.9314324083192584,k10_r1_
s20c6,b'46_2',spalin-divide-beta5-spatialonly,45.0,1.0,k10_r1_
s20c6,b'176_10',spalin-divide-beta5-spatialonly,130.0,1.0000000000071367,k10_r1_
s20c6,b'216_13',spalin-divide-beta5-spatialonly,40.0,212.00999999999993,k10_r1_
s20c6,b'216_12',spalin-divide-beta5-spatialonly,40.0,212.00999999999993,k10_r1_
s20c6,b'89_4',spalin-divide-beta5-spatialonly,43.0,1.0,k10_r1_
s20c6,b'216_16',spalin-divide-beta5-spatialonly,127.0,212.01000000001437,k10_r1_
s20c6,b'216_19',spalin-divide-beta5-spatialonly,127.0,212.01000000001437,k10_r1_
s20c6,b'1_1',spalin,0.0,1.0,k10_r1_
s20c6,b'47_1',spalin,46.0,12.77036655886918,k10_r1_
s20c6,b'156_1',spalin,109.0,132.41113013384933,k10_r1_
s20c6,b'210_3',spalin,54.0,49.078025594275864,k10_r1_
s20c6,b'216_4',spalin,6.0,19.75047771655772,k10_r1_
s20c6,b'216_3',spalin,6.0,19.75047771655772,k10_r1_
s20c6,b'201_1',spalin,45.0,33.12515292916978,k10_r1_
s20c6,b'216_2',spalin,15.0,35.70335038166382,k10_r1_
s20c6,b'216_1',spalin,15.0,35.70335038166382,k10_r1_
s20c6,b'104_3',spalin,57.0,110.1381168434173,k10_r1_
s20c6,b'166_5',spalin,62.0,32.1894190747655,k10_r1_
s20c6,b'216_9',spalin,50.0,58.91209752650011,k10_r1_
s20c6,b'216_8',spalin,50.0,58.91209752650011,k10_r1_
s20c6,b'157_6',spalin,53.0,69.3786275908134,k10_r1_
s20c6,b'216_11',spalin,59.0,21.722889010452207,k10_r1_
s20c6,b'216_10',spalin,59.0,21.722889010452207,k10_r1_
s20c6,b'46_2',spalin,45.0,31.58541337900351,k10_r1_
s20c6,b'176_10',spalin,130.0,122.00884079194812,k10_r1_
s20c6,b'216_13',spalin,40.0,60.41574583260048,k10_r1_
s20c6,b'216_12',spalin,40.0,60.41574583260048,k10_r1_
s20c6,b'89_4',spalin,43.0,1.0,k10_r1_
s20c6,b'216_16',spalin,127.0,181.4245866250794,k10_r1_
s20c6,b'216_19',spalin,127.0,181.4245866250794,k10_r1_
s20c6,b'1_1',spalin-divide-beta1,0.0,1.0000000063838872,k10_r1_
s20c6,b'47_1',spalin-divide-beta1,46.0,12.171364683980384,k10_r1_
s20c6,b'156_1',spalin-divide-beta1,109.0,134.33094840677842,k10_r1_
s20c6,b'210_3',spalin-divide-beta1,54.0,48.965371850879755,k10_r1_
s20c6,b'216_4',spalin-divide-beta1,6.0,18.542315057685364,k10_r1_
s20c6,b'216_3',spalin-divide-beta1,6.0,18.542315057685364,k10_r1_
s20c6,b'201_1',spalin-divide-beta1,45.0,33.43310609945508,k10_r1_
s20c6,b'216_2',spalin-divide-beta1,15.0,34.07458080911004,k10_r1_
s20c6,b'216_1',spalin-divide-beta1,15.0,34.07458080911004,k10_r1_
s20c6,b'104_3',spalin-divide-beta1,57.0,112.32558104401652,k10_r1_
s20c6,b'166_5',spalin-divide-beta1,62.0,31.804980061702377,k10_r1_
s20c6,b'216_9',spalin-divide-beta1,50.0,57.70807420962466,k10_r1_
s20c6,b'216_8',spalin-divide-beta1,50.0,57.70807420962466,k10_r1_
s20c6,b'157_6',spalin-divide-beta1,53.0,69.3548688370807,k10_r1_
s20c6,b'216_11',spalin-divide-beta1,59.0,20.158185434246338,k10_r1_
s20c6,b'216_10',spalin-divide-beta1,59.0,20.158185434246338,k10_r1_
s20c6,b'46_2',spalin-divide-beta1,45.0,31.22344435258275,k10_r1_
s20c6,b'176_10',spalin-divide-beta1,130.0,120.6780926048962,k10_r1_
s20c6,b'216_13',spalin-divide-beta1,40.0,62.10846304184501,k10_r1_
