experiment,method,est_sigma
s20c6_k10_r1_,spalin-spatialonly,2.630545670294701
s20c6_k10_r1_,spalin-divide-beta5-spatialonly,1.162310704351849
s20c6_k10_r1_,spalin,1.871252324470099
s20c6_k10_r1_,spalin-divide-beta1,1.324352574762368
s20c6_k10_r1_,spalin-divide-beta3,1.234321133887
s20c6_k10_r1_,spalin-divide-beta5,1.14173113375428
s20c6_k10_r1_,spalin-divide-beta7,1.052113580175054
s20c6_k10_r1_,spalin-divide-beta10,0.98638381893393
s20c6_k10_r2_,spalin-spatialonly,2.630545670294701
s20c6_k10_r2_,spalin-divide-beta5-spatialonly,1.1623142244343
s20c6_k10_r2_,spalin,2.141950225333487
s20c6_k10_r2_,spalin-divide-beta1,1.416389852470339
s20c6_k10_r2_,spalin-divide-beta3,1.318847116885183
s20c6_k10_r2_,spalin-divide-beta5,1.19745384638258
s20c6_k10_r2_,spalin-divide-beta7,1.101013182300868
s20c6_k10_r2_,spalin-divide-beta10,1.062433442321328
s20c6_k10_r3_,spalin-spatialonly,2.634999447504019
s20c6_k10_r3_,spalin-divide-beta5-spatialonly,1.16240743056765
s20c6_k10_r3_,spalin,1.981369756080004
s20c6_k10_r3_,spalin-divide-beta1,1.365154027112844
s20c6_k10_r3_,spalin-divide-beta3,1.277803370619421
s20c6_k10_r3_,spalin-divide-beta5,1.188976087868276
s20c6_k10_r3_,spalin-divide-beta7,1.106759122953911
s20c6_k10_r3_,spalin-divide-beta10,1.038468840942993
s20c6_k10_r4_,spalin-spatialonly,2.630545670294701
s20c6_k10_r4_,spalin-divide-beta5-spatialonly,1.162318991289283
s20c6_k10_r4_,spalin,2.14501576010053
s20c6_k10_r4_,spalin-divide-beta1,1.418799436907004
s20c6_k10_r4_,spalin-divide-beta3,1.324570382216118
s20c6_k10_r4_,spalin-divide-beta5,1.20617394871091
s20c6_k10_r4_,spalin-divide-beta7,1.115516569136647
s20c6_k10_r4_,spalin-divide-beta10,1.071376888567497
s20c6_k10_r5_,spalin-spatialonly,2.630545670294701
s20c6_k10_r5_,spalin-divide-beta5-spatialonly,1.162303900999296
s20c6_k10_r5_,spalin,1.766876164228916
s20c6_k10_r5_,spalin-divide-beta1,1.28977533928734
s20c6_k10_r5_,spalin-divide-beta3,1.208748558615931
s20c6_k10_r5_,spalin-divide-beta5,1.127140203734769
s20c6_k10_r5_,spalin-divide-beta7,1.052474240304398
s20c6_k10_r5_,spalin-divide-beta10,0.98581021666363
s19c4_k10_r1_,spalin-spatialonly,3.748121645709878
s19c4_k10_r1_,spalin-divide-beta5-spatialonly,1.72249040702561
s19c4_k10_r1_,spalin,3.78810370141015
s19c4_k10_r1_,spalin-divide-beta1,1.905432508019383
s19c4_k10_r1_,spalin-divide-beta3,1.821508979756563
s19c4_k10_r1_,spalin-divide-beta5,1.73439261688173
s19c4_k10_r1_,spalin-divide-beta7,1.64398504520693
s19c4_k10_r1_,spalin-divide-beta10,1.475495551556234
s19c4_k10_r2_,spalin-spatialonly,3.748121645709878
s19c4_k10_r2_,spalin-divide-beta5-spatialonly,1.721410804093757
s19c4_k10_r2_,spalin,3.25067681763994
s19c4_k10_r2_,spalin-divide-beta1,1.76360074048836
s19c4_k10_r2_,spalin-divide-beta3,1.682549599559753
s19c4_k10_r2_,spalin-divide-beta5,1.59828178464236
s19c4_k10_r2_,spalin-divide-beta7,1.510654954294978
s19c4_k10_r2_,spalin-divide-beta10,1.373528100024269
s19c4_k10_r3_,spalin-spatialonly,3.748121645709878
s19c4_k10_r3_,spalin-divide-beta5-spatialonly,1.7221177898264
s19c4_k10_r3_,spalin,3.42879396374221
s19c4_k10_r3_,spalin-divide-beta1,1.812298538156981
s19c4_k10_r3_,spalin-divide-beta3,1.730971296839976
s19c4_k10_r3_,spalin-divide-beta5,1.646618337375025
s19c4_k10_r3_,spalin-divide-beta7,1.558516284737602
s19c4_k10_r3_,spalin-divide-beta10,1.404808602467232
s19c4_k10_r4_,spalin-spatialonly,3.748121645709878
