sample frame parent_x parent_y child_id child_x child_y
s10c1 24 165.0 262.0 1 159.0 263.0
s10c1 24 165.0 262.0 2 166.0 257.0
s10c1 69 175.0 260.0 2 169.0 263.0
s10c1 69 175.0 260.0 3 184.0 254.0
s10c1 74 165.0 282.0 1 157.0 282.0
s10c1 74 165.0 282.0 2 172.0 282.0
s10c1 133 151.0 276.0 1 146.0 278.0
s10c1 133 151.0 276.0 2 159.0 272.0
s10c1 135 170.0 256.0 4 161.0 256.0
s10c1 135 170.0 256.0 5 171.0 254.0
s10c1 138 192.0 237.0 6 202.0 243.0
s10c1 138 192.0 237.0 7 187.0 232.0
s10c1 148 179.0 273.0 3 183.0 275.0
s10c1 148 179.0 273.0 4 181.0 269.0
s10c1 181 142.0 285.0 1 148.0 297.0
s10c1 181 142.0 285.0 2 138.0 274.0
s10c1 186 152.0 289.0 3 159.0 293.0
s10c1 186 152.0 289.0 4 153.0 281.0
s10c1 193 122.0 244.0 7 114.0 253.0
s10c1 193 122.0 244.0 8 127.0 244.0
s10c1 194 158.0 254.0 9 166.0 259.0
s10c1 194 158.0 254.0 10 159.0 249.0
s10c1 194 215.0 228.0 11 208.0 232.0
s10c1 194 215.0 228.0 12 226.0 225.0
s10c1 199 141.0 209.0 13 141.0 218.0
s10c1 199 141.0 209.0 14 142.0 206.0
s10c2 21 195.0 243.0 1 189.0 248.0
s10c2 21 195.0 243.0 2 203.0 238.0
s10c2 63 189.0 265.0 1 189.0 279.0
s10c2 63 189.0 265.0 2 191.0 255.0
s10c2 63 208.0 232.0 3 211.0 237.0
s10c2 63 208.0 232.0 4 197.0 229.0
s10c2 109 186.0 282.0 1 182.0 287.0
s10c2 109 186.0 282.0 2 189.0 279.0
s10c2 120 200.0 254.0 3 206.0 255.0
s10c2 120 200.0 254.0 4 192.0 256.0
s10c2 120 177.0 234.0 6 172.0 241.0
s10c2 120 177.0 234.0 7 181.0 226.0
s10c2 126 222.0 241.0 5 225.0 243.0
s10c2 126 222.0 241.0 6 214.0 234.0
s10c2 158 208.0 272.0 2 210.0 280.0
s10c2 158 208.0 272.0 3 203.0 260.0
s10c2 163 177.0 298.0 1 173.0 305.0
