rep method nodeName nodeAge trueTime estBrlen
s10c1 with_all_location 132_1 131 109.0 1.195231183227726
s10c1 with_all_location 134_4 133 66.0 0.037858602335326834
s10c1 with_all_location 137_6 136 69.0 0.7863898060728813
s10c1 with_all_location 180_1 179 48.0 0.10380143195664508
s10c1 with_all_location 185_3 184 53.0 0.3109875566503927
s10c1 with_all_location 192_7 191 58.0 1.0053422842445476
s10c1 with_all_location 193_10 192 56.0 0.7453940280504677
s10c1 with_all_location 193_9 192 59.0 1.3488521147696446
s10c1 with_all_location 198_13 197 61.0 0.7280431150232552
s10c1 with_all_location 216_1 215 36.0 0.418965478259368
s10c1 with_all_location 216_10 215 23.0 0.11484195083897565
s10c1 with_all_location 216_11 215 18.0 0.1321928638661882
s10c1 with_all_location 216_12 215 18.0 0.1321928638661882
s10c1 with_all_location 216_2 215 36.0 0.418965478259368
s10c1 with_all_location 216_3 215 31.0 0.21177935356562047
s10c1 with_all_location 216_4 215 31.0 0.21177935356562047
s10c1 with_all_location 216_5 215 24.0 0.6034248983824504
s10c1 with_all_location 216_6 215 24.0 0.6034248983824504
s10c1 with_all_location 216_7 215 23.0 0.2599150678573535
s10c1 with_all_location 216_8 215 23.0 0.2599150678573535
s10c1 with_all_location 216_9 215 23.0 0.11484195083897565
s10c1 with_all_location 23_1 22 22.0 0.19844720123320056
s10c1 with_all_location 68_2 67 45.0 0.07137230848141458
s10c1 with_leaf_location 132_1 131 109.0 1.095080155848473
s10c1 with_leaf_location 134_4 133 66.0 0.005
s10c1 with_leaf_location 137_6 136 69.0 0.7781189317356563
s10c1 with_leaf_location 180_1 179 48.0 0.005
s10c1 with_leaf_location 185_3 184 53.0 0.005
s10c1 with_leaf_location 192_7 191 58.0 0.005
s10c1 with_leaf_location 193_10 192 56.0 0.5603406794997438
s10c1 with_leaf_location 193_9 192 59.0 1.1798761023172715
s10c1 with_leaf_location 198_13 197 61.0 0.005
s10c1 with_leaf_location 216_1 215 36.0 0.3394725689952838
s10c1 with_leaf_location 216_10 215 23.0 0.0960930212441762
s10c1 with_leaf_location 216_11 215 18.0 0.65143370636839
s10c1 with_leaf_location 216_12 215 18.0 0.65143370636839
s10c1 with_leaf_location 216_2 215 36.0 0.3394725689952838
s10c1 with_leaf_location 216_3 215 31.0 0.339472492577698
s10c1 with_leaf_location 216_4 215 31.0 0.339472492577698
s10c1 with_leaf_location 216_5 215 24.0 1.4245526970614637
s10c1 with_leaf_location 216_6 215 24.0 1.4245526970614637
s10c1 with_leaf_location 216_7 215 23.0 0.24967659365791717
s10c1 with_leaf_location 216_8 215 23.0 0.24967659365791717
s10c1 with_leaf_location 216_9 215 23.0 0.0960930212441762
s10c1 with_leaf_location 23_1 22 22.0 0.2200101351411607
s10c1 with_leaf_location 68_2 67 45.0 0.005000013986801119
s10c1 without_location 132_1 131 109.0 1.0774363950704546
s10c1 without_location 134_4 133 66.0 0.005000000000044418
s10c1 without_location 137_6 136 69.0 1.0724363950704536
s10c1 without_location 180_1 179 48.0 0.005000000000062162
s10c1 without_location 185_3 184 53.0 0.005000000000064813
s10c1 without_location 192_7 191 58.0 0.10760906786692415
s10c1 without_location 193_10 192 56.0 0.0050000000000403055
