sample size dtype nodeName trueTime dvalue
s10c1 23 brlen 132_1 109.0 1.0774363950704546
s10c1 23 brlen 134_4 66.0 0.005000000000044418
s10c1 23 brlen 137_6 69.0 1.0724363950704536
s10c1 23 brlen 180_1 48.0 0.005000000000062162
s10c1 23 brlen 185_3 53.0 0.005000000000064813
s10c1 23 brlen 192_7 58.0 0.10760906786692415
s10c1 23 brlen 193_10 56.0 0.0050000000000403055
s10c1 23 brlen 193_9 59.0 1.0724363950704348
s10c1 23 brlen 198_13 61.0 0.0050000000000402925
s10c1 23 brlen 216_1 36.0 0.00500000000004507
s10c1 23 brlen 216_10 23.0 0.005000000000040413
s10c1 23 brlen 216_11 18.0 0.005000000000040425
s10c1 23 brlen 216_12 18.0 0.005000000000040425
s10c1 23 brlen 216_2 36.0 0.00500000000004507
s10c1 23 brlen 216_3 31.0 0.005000000000042419
s10c1 23 brlen 216_4 31.0 0.005000000000042419
s10c1 23 brlen 216_5 24.0 0.9698273272035659
s10c1 23 brlen 216_6 24.0 0.9698273272035659
s10c1 23 brlen 216_7 23.0 0.005000000000055406
s10c1 23 brlen 216_8 23.0 0.005000000000055406
s10c1 23 brlen 216_9 23.0 0.005000000000040413
s10c1 23 brlen 23_1 22.0 0.21952584774570172
s10c1 23 brlen 68_2 45.0 0.005000000000027226
s10c1 23 nMus 132_1 109.0 6.092
s10c1 23 nMus 134_4 66.0 0.004
s10c1 23 nMus 137_6 69.0 8.08
s10c1 23 nMus 180_1 48.0 0
s10c1 23 nMus 185_3 53.0 0
s10c1 23 nMus 192_7 58.0 0.028
s10c1 23 nMus 193_10 56.0 0
s10c1 23 nMus 193_9 59.0 7.075
s10c1 23 nMus 198_13 61.0 0
s10c1 23 nMus 216_1 36.0 0
s10c1 23 nMus 216_10 23.0 0
s10c1 23 nMus 216_11 18.0 0
s10c1 23 nMus 216_12 18.0 0
s10c1 23 nMus 216_2 36.0 0
s10c1 23 nMus 216_3 31.0 0
s10c1 23 nMus 216_4 31.0 0
s10c1 23 nMus 216_5 24.0 2.047
s10c1 23 nMus 216_6 24.0 3.047
s10c1 23 nMus 216_7 23.0 0
s10c1 23 nMus 216_8 23.0 0
s10c1 23 nMus 216_9 23.0 0
s10c1 23 nMus 23_1 22.0 1.908
s10c1 23 nMus 68_2 45.0 0.013
s10c2 37 brlen 108_1 46.0 0.005
s10c2 37 brlen 119_3 57.0 0.8212869100969944
s10c2 37 brlen 119_5 57.0 0.005
s10c2 37 brlen 125_5 63.0 0.8885147696838083
s10c2 37 brlen 157_2 49.0 0.9345468522123305
s10c2 37 brlen 162_1 54.0 0.2926358693271833
s10c2 37 brlen 174_5 55.0 0.7522699031822893
s10c2 37 brlen 174_6 55.0 0.7522699031822887
s10c2 37 brlen 175_11 56.0 0.6150002262697414
s10c2 37 brlen 175_12 56.0 0.7999601440075568
s10c2 37 brlen 188_9 63.0 0.48576684183247326
s10c2 37 brlen 201_4 44.0 0.4064490347003556
s10c2 37 brlen 205_2 43.0 0.8286754517905169
s10c2 37 brlen 20_1 19.0 0.35565757626104016
s10c2 37 brlen 210_1 48.0 1.2759209439521184
s10c2 37 brlen 210_4 53.0 0.6340099610669736
s10c2 37 brlen 216_1 6.0 0.005
s10c2 37 brlen 216_10 42.0 0.005
s10c2 37 brlen 216_11 42.0 0.005
s10c2 37 brlen 216_12 42.0 0.005
s10c2 37 brlen 216_13 28.0 0.29818157297098646
s10c2 37 brlen 216_14 28.0 0.29818157297098646
s10c2 37 brlen 216_15 91.0 0.7839484148034597
s10c2 37 brlen 216_17 41.0 1.0524629582175367
s10c2 37 brlen 216_18 41.0 1.0524629582175367
s10c2 37 brlen 216_19 41.0 0.8675030404797212
s10c2 37 brlen 216_2 6.0 0.005
s10c2 37 brlen 216_20 41.0 0.8675030404797212
s10c2 37 brlen 216_3 11.0 0.4522454921615956
s10c2 37 brlen 216_4 11.0 0.4522454921615956
s10c2 37 brlen 216_5 6.0 0.005
s10c2 37 brlen 216_6 6.0 0.005
s10c2 37 brlen 216_7 15.0 0.23256092636660963
s10c2 37 brlen 216_8 15.0 0.23256092636660963
s10c2 37 brlen 216_9 42.0 0.005
s10c2 37 brlen 62_1 42.0 0.09890637120797299
s10c2 37 brlen 62_2 42.0 0.005
s10c2 37 nMus 108_1 46.0 0.011
s10c2 37 nMus 119_3 57.0 4.774
s10c2 37 nMus 119_5 57.0 0.001
s10c2 37 nMus 125_5 63.0 3.739
s10c2 37 nMus 157_2 49.0 2.172
s10c2 37 nMus 162_1 54.0 2.019
s10c2 37 nMus 174_5 55.0 1.524
s10c2 37 nMus 174_6 55.0 1.524
s10c2 37 nMus 175_11 56.0 2.422
s10c2 37 nMus 175_12 56.0 3.54
s10c2 37 nMus 188_9 63.0 2.172
s10c2 37 nMus 201_4 44.0 1.069
s10c2 37 nMus 205_2 43.0 3.108
s10c2 37 nMus 20_1 19.0 2.971
s10c2 37 nMus 210_1 48.0 4.268
s10c2 37 nMus 210_4 53.0 1.115
s10c2 37 nMus 216_1 6.0 0
s10c2 37 nMus 216_10 42.0 0
s10c2 37 nMus 216_11 42.0 0
s10c2 37 nMus 216_12 42.0 0
