[&R] (((((216_9:0,216_10:0)212_9:2.032,(216_11:0.029,216_12:1.029)213_11:0.003)167_5:5.058,(216_13:0,216_14:0)173_7:4.09)118_2:0.396,((216_3:0,216_4:0)205_2:0.207,(216_1:0,216_2:0)207_1:2.207)164_1:5.279)60_1:1.514)I0;
I0,0,0,0,0,0,0,0,0,0,0
60_1,0,0,0,0,0,0:0.24/1:0.76,0,0,0,0:0.24/1:0.76
164_1,0:0.04/2:0.96,0:0.04/1:0.96,0,0:0.04/2:0.96,0,0:0.01/1:0.99,0,0:0.04/2:0.96,0:0.04/2:0.96,0:0.01/1:0.99
207_1,2,1,0,2,1,1,1,2,2,1
216_2,2,1,0,2,1,1,1,2,2,1
216_1,2,1,0,2,1,1,1,2,2,1
205_2,2,1,0,2,0,1,0,2,2,1
216_4,2,1,0,2,0,1,0,2,2,1
216_3,2,1,0,2,0,1,0,2,2,1
118_2,0,0,0:0.73/1:0.27,0,0,0:0.18/1:0.82,0,0,0,0:0.18/1:0.82
173_7,0,2,1,0,0,1,2,2,0,1
216_14,0,2,1,0,0,1,2,2,0,1
216_13,0,2,1,0,0,1,2,2,0,1
167_5,0:0.01/1:0.99,0:0.01/1:0.99,1,0:0.01/2:0.99,0,1,0,0,0:0.01/2:0.99,1
213_11,0:0.01/1:0.99,0:0.01/1:0.99,1,0:0.01/2:0.99,0,1,0,0,0:0.01/2:0.99,1
216_12,1,1,1,2,0,1,1,0,2,1
216_11,1,1,1,2,0,1,0,0,2,1
212_9,1,1,1,2,0,1,1,1,2,1
216_10,1,1,1,2,0,1,1,1,2,1
216_9,1,1,1,2,0,1,1,1,2,1
