[&R] ((((216_6:0,216_7:0)185_5:0.001,(216_4:1.001,216_5:0.001)192_5:0.001)128_2:2.688,((216_2:0,216_3:0)184_2:2.204,216_1:0.205)130_1:3.485)82_1:3.31)I0;
I0,0,0,0,0,0,0,0,0,0,0
82_1,0:0.17/2:0.83,0:0.17/1:0.83,0,0,0:0.17/1:0.83,0,0:0.17/1:0.83,0,0,0
130_1,0:0.01/2:0.99,0:0.01/1:0.99,0:0.06/1:0.94,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0:0.06/2:0.94,0:0.06/1:0.94
216_1,2,1,1,0,1,0,1,0,2,1
184_2,2,1,1,2,1,1,1,0,2,1
216_3,2,1,1,2,1,1,1,0,2,1
216_2,2,1,1,2,1,1,1,0,2,1
128_2,2,1,0,2,1,1,1,0,0,0
192_5,2,1,0,2,1,1,1,0,0,0
216_5,2,1,0,2,1,1,1,0,0,0
216_4,2,1,1,2,1,1,1,0,0,0
185_5,2,1,0,2,1,1,1,0,0,0
216_7,2,1,0,2,1,1,1,0,0,0
216_6,2,1,0,2,1,1,1,0,0,0
