[&R] (((((216_1:2.322,216_2:4.322)211_1:0.011,216_3:6.333)171_1:2.667,((216_5:0,216_6:0)214_5:4.571,216_4:2.571)178_3:1.429)115_1:0,(((216_9:0,216_10:0)203_6:1.078,(216_7:1.071,216_8:2.071)207_5:0.007)170_3:5.935,216_14:2.013)119_3:1.987)58_3:0)I0;
I0,0,0,0,0,0,0,0,0,0,0
58_3,0,0,0,0,0,0,0,0,0,0
119_3,0:0.34/2:0.66,0:0.34/1:0.66,0,0,0,0,0:0.34/1:0.66,0,0,0
216_14,2,1,0,0,1,0,1,0,0,0
170_3,2,1,0,0:0.01/2:0.99,0,0:0.01/1:0.99,1,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99
207_5,2,1,0,0:0.01/2:0.99,0,0:0.01/1:0.99,1,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99
216_8,2,1,1,2,1,1,1,2,2,1
216_7,2,1,0,2,2,1,1,2,2,1
203_6,2,1,0,2,1,1,1,2,2,1
216_10,2,1,0,2,1,1,1,2,2,1
216_9,2,1,0,2,1,1,1,2,2,1
115_1,0,0,0,0,0,0,0,0,0,0
178_3,0,0,0,0,0,0,0,0:0.29/2:0.71,0,0:0.29/1:0.71
216_4,0,0,0,1,2,0,0,2,0,1
214_5,1,1,1,0,0,0,1,2,0,1
216_6,1,1,1,0,0,0,1,2,0,1
216_5,1,1,1,0,0,0,1,2,0,1
171_1,0,0:0.11/1:0.89,0,0,0,0,0:0.11/1:0.89,0:0.11/1:0.89,0,0
216_3,2,1,2,1,1,2,1,1,0,1
211_1,0,0:0.11/1:0.89,0,0,0,0,0:0.11/1:0.89,0:0.11/1:0.89,0,0
216_2,1,1,0,1,0,2,1,1,0,1
216_1,2,1,0,0,1,0,1,1,0,0
