[&R] (((((216_7:0,216_8:0)202_5:2.045,(216_5:0.04,216_6:2.04)208_4:0.004)167_3:1.318,((216_9:0,216_10:0)202_6:1.056,(216_11:0,216_12:0)202_7:0.056)167_4:3.307)119_3:3.018,(216_3:1.136,216_4:2.136)193_2:1.245)70_2:1.619)I0;
I0,0,0,0,0,0,0,0,0,0,0
70_2,0,0:0.19/1:0.81,0,0,0,0,0:0.19/1:0.81,0,0,0
193_2,0,0:0.02/1:0.98,0,0:0.1/2:0.9,0,0,0:0.02/1:0.98,0,0,0
216_4,2,1,0,2,1,0,1,0,0,0
216_3,0,1,0,2,0,1,1,0,0,0
119_3,0:0.11/2:0.89,0:0.02/1:0.98,0,0,0:0.11/1:0.89,0:0.11/1:0.89,0:0.02/1:0.98,0,0,0
167_4,2,1,0:0.02/1:0.98,0:0.02/2:0.98,1,1,1,0,0,0:0.02/1:0.98
202_7,2,1,1,2,1,1,1,0,0,1
216_12,2,1,1,2,1,1,1,0,0,1
216_11,2,1,1,2,1,1,1,0,0,1
202_6,2,1,1,2,1,1,1,2,0,1
216_10,2,1,1,2,1,1,1,2,0,1
216_9,2,1,1,2,1,1,1,2,0,1
167_3,2,1,0,0,1,1,1,0:0.03/2:0.97,0,0
208_4,2,1,0,0,1,1,1,0:0.03/2:0.97,0,0
216_6,2,1,0,2,1,1,1,2,0,1
216_5,2,1,0,0,1,1,1,2,0,0
202_5,2,1,0,2,1,1,1,2,0,1
216_8,2,1,0,2,1,1,1,2,0,1
216_7,2,1,0,2,1,1,1,2,0,1
