[&R] ((((216_5:0,216_6:0)155_5:2.824,((216_9:0,216_10:0)211_7:3.494,(216_7:1.052,216_8:0.052)212_6:1.443)165_7:4.329)92_2:1.176,((216_1:0,216_2:0)202_1:0,(216_3:0,216_4:0)213_3:0)147_1:6)37_1:0)I0;
I0,0,0,0,0,0,0,0,0,0,0
37_1,0,0,0,0,0,0,0,0,0,0
147_1,0,2,2,0,0,0,2,1,2,1
213_3,0,2,2,0,0,0,2,1,2,1
216_4,0,2,2,0,0,0,2,1,2,1
216_3,0,2,2,0,0,0,2,1,2,1
202_1,0,2,2,0,0,0,2,1,2,1
216_2,0,2,2,0,0,0,2,1,2,1
216_1,0,2,2,0,0,0,2,1,2,1
92_2,0,0:0.41/1:0.59,0,0,0,0,0:0.41/1:0.59,0,0,0
165_7,0,0:0.04/1:0.96,0,0:0.1/2:0.9,0:0.1/2:0.9,0:0.1/1:0.9,0:0.04/1:0.96,0,0:0.1/2:0.9,0
212_6,0,1,0,2,2,1,1,0:0.03/2:0.97,2,0
216_8,0,1,0,2,2,1,1,2,2,0
216_7,0,1,0,2,2,1,1,2,2,1
211_7,0,1,2,2,2,1,1,1,2,1
216_10,0,1,2,2,2,1,1,1,2,1
216_9,0,1,2,2,2,1,1,1,2,1
155_5,2,1,0,0,1,0,1,0,0,0
216_6,2,1,0,0,1,0,1,0,0,0
216_5,2,1,0,0,1,0,1,0,0,0
