cell,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
216_1,2,1,0,0,1,0,1,0,0,0
216_3,2,1,0,0,1,0,1,0,0,0
216_6,2,1,0,0,1,0,1,0,0,0
216_7,2,1,0,0,1,0,1,0,0,0
216_8,0,0,0,2,0,1,0,2,2,1
216_9,0,0,0,2,0,1,0,2,2,1
216_10,0,0,0,2,0,1,0,2,2,1
216_11,0,0,0,2,0,1,0,2,2,0
216_12,0,1,0,2,0,1,0,2,2,1
216_13,0,0,0,2,0,1,0,2,2,1
216_14,0,0,0,2,0,1,0,2,2,1
216_15,0,0,1,2,0,1,2,2,0,1
216_16,0,0,1,2,0,1,2,2,0,1
216_17,0,0,1,2,0,1,2,2,0,1
216_18,0,1,1,2,0,1,1,2,0,1
216_20,0,0,2,2,0,1,2,1,0,1
216_21,0,0,2,2,0,1,2,1,0,1
216_22,0,0,1,2,0,1,2,2,0,1
216_23,0,0,1,2,0,1,2,2,0,1
216_24,0,0,1,2,0,1,2,2,0,1
