[&R] (((((216_1:0.017,216_2:1.017)207_1:0.003,(216_3:0,216_4:0)211_3:1.019)168_1:2.36,(216_5:1.048,216_6:0.048)214_5:1.332)125_1:2.98,((216_8:0,216_9:0)193_5:3.167,216_10:6.167)141_3:0.193)78_1:2.64)I0;
I0,0,0,0,0,0,0,0,0,0,0
78_1,0,0,0,0,0,0:0.12/1:0.88,0,0,0:0.12/2:0.88,0:0.12/1:0.88
141_3,0,0:0.86/1:0.14,0,0,0,0:0.1/1:0.9,0,0,0:0.1/2:0.9,0:0.1/1:0.9
216_10,0,1,1,2,2,1,2,2,2,1
193_5,2,1,2,0,0,1,0,0,2,1
216_9,2,1,2,0,0,1,0,0,2,1
216_8,2,1,2,0,0,1,0,0,2,1
125_1,0,0,0:0.11/1:0.89,0:0.11/2:0.89,0,0:0.01/1:0.99,0:0.11/2:0.89,0,0:0.01/2:0.99,0:0.01/1:0.99
214_5,0,0,1,2,0,1,2,0:0.03/2:0.97,2,1
216_6,0,0,1,2,0,1,2,2,2,1
216_5,0,0,1,2,2,1,2,2,2,1
168_1,0:0.01/2:0.99,0,1,2,0:0.01/2:0.99,1,2,0,2,1
211_3,2,1,1,2,2,1,2,0,2,1
216_4,2,1,1,2,2,1,2,0,2,1
216_3,2,1,1,2,2,1,2,0,2,1
207_1,0:0.01/2:0.99,0,1,2,0:0.01/2:0.99,1,2,0,2,1
216_2,2,1,1,2,2,1,2,0,2,1
216_1,2,0,1,2,2,1,2,0,2,1
