[&R] (((((216_7:0,216_8:0)197_6:0,(216_5:0,216_6:0)199_5:0)150_3:0,(216_9:0,216_10:0)204_10:0)105_2:2.754,((216_1:0,216_2:0)179_1:2.574,(216_3:0,216_4:0)193_3:2.574)112_1:4.18)59_1:1.246)I0;
I0,0,0,0,0,0,0,0,0,0,0
59_1,0,0:0.38/1:0.62,0,0,0,0,0:0.38/1:0.62,0,0,0
112_1,0,0:0.05/1:0.95,0,0:0.12/2:0.88,0:0.12/2:0.88,0:0.12/1:0.88,0:0.05/1:0.95,0,0,0:0.12/1:0.88
193_3,0,1,2,2,2,1,1,1,0,1
216_4,0,1,2,2,2,1,1,1,0,1
216_3,0,1,2,2,2,1,1,1,0,1
179_1,1,1,1,2,2,1,1,0,0,1
216_2,1,1,1,2,2,1,1,0,0,1
216_1,1,1,1,2,2,1,1,0,0,1
105_2,2,1,0,0,1,0,1,0,0,0
204_10,2,1,0,0,1,0,1,0,0,0
216_10,2,1,0,0,1,0,1,0,0,0
216_9,2,1,0,0,1,0,1,0,0,0
150_3,2,1,0,0,1,0,1,0,0,0
199_5,2,1,0,0,1,0,1,0,0,0
216_6,2,1,0,0,1,0,1,0,0,0
216_5,2,1,0,0,1,0,1,0,0,0
197_6,2,1,0,0,1,0,1,0,0,0
216_8,2,1,0,0,1,0,1,0,0,0
216_7,2,1,0,0,1,0,1,0,0,0
