[&R] (((((216_9:7.397,216_10:3.397)186_6:0.033,(216_11:0.048,216_12:1.048)191_9:4.382)118_3:0.576,((216_13:4.7,216_14:7.7)179_7:0.306,216_16:2.006)118_4:0)66_2:0.005,(((216_7:1.05,216_8:0.05)183_4:2.915,216_5:4.964)130_2:0.339,216_3:2.303)75_1:1.708)26_1:1.988)I0;
I0,0,0,0,0,0,0,0,0,0,0
26_1,0,0:0.01/1:0.99,0,0,0,0,0:0.01/1:0.99,0,0,0
75_1,0,1,0:0.15/1:0.85,0,0,0,1,0,0,0:0.15/1:0.85
216_3,1,1,1,1,0,0,1,0,0,1
130_2,0,1,0:0.11/1:0.89,0,0,0,1,0,0:0.74/1:0.26,0:0.11/1:0.89
216_5,2,1,1,2,1,1,1,0,1,1
183_4,0:0.02/1:0.98,1,1,0:0.02/1:0.98,0,0,1,0,0:0.01/1:0.99,1
216_8,1,1,1,1,0,0,1,0,1,1
216_7,1,1,1,1,1,0,1,0,1,1
66_2,0,1,0,0,0,0,1,0,0,0
118_4,0,1,0,0,0,0,1,0,0,0
216_16,2,1,0,0,1,0,1,0,0,0
179_7,0:0.85/1:0.15,1,0,0,0,0,1,0,0,0:0.85/1:0.15
216_14,1,1,2,2,1,1,1,1,2,1
216_13,1,1,1,1,2,0,1,0,0,1
118_3,0,1,0:0.43/1:0.57,0,0,0,1,0,0,0
191_9,0,1,1,0:0.01/2:0.99,0,0:0.01/1:0.99,1,0,0:0.01/1:0.99,0:0.01/2:0.99
216_12,1,1,1,2,0,1,1,0,1,2
216_11,0,1,1,2,0,1,1,0,1,2
186_6,0,1,0:0.42/1:0.58,0,0,0,1,0,0,0:0.98/1:0.02
216_10,1,1,1,1,0,0,1,0,0,1
216_9,2,1,1,2,1,1,1,2,1,1
