[&R] (((((216_11:2.848,216_13:2.848)167_6:1.277,(216_9:1.192,216_10:1.192)168_5:1.932)119_4:0.006,((216_7:0,216_8:0)192_7:2.849,216_5:2.849)126_3:1.281)67_2:1.2,((216_1:1.07,216_2:3.07)182_1:0.003,216_4:0.073)126_1:3.258)11_1:3.669)I0;
I0,0,0,0,0,0,0,0,0,0,0
11_1,0:0.08/2:0.92,0:0.08/1:0.92,0,0,0,0:0.08/1:0.92,0,0,0,0:0.08/1:0.92
126_1,2,1,0:0.02/2:0.98,0:0.02/2:0.98,0:0.02/2:0.98,1,0,0,0,1
216_4,2,1,2,2,2,1,0,0,0,1
182_1,2,1,0:0.02/2:0.98,0:0.02/2:0.98,0:0.02/2:0.98,1,0,0,0,1
216_2,2,1,2,2,2,1,1,2,2,1
216_1,2,1,2,2,2,1,2,0,0,1
67_2,0:0.01/2:0.99,0:0.01/1:0.99,0:0.1/1:0.9,0,0,0:0.01/1:0.99,0,0,0,0:0.01/1:0.99
126_3,2,1,0:0.04/1:0.96,0,0:0.4/2:0.6,1,0,0,0:0.4/2:0.6,1
216_5,2,1,1,1,2,1,2,0,2,1
192_7,2,1,1,2,2,1,1,0,2,1
216_8,2,1,1,2,2,1,1,0,2,1
216_7,2,1,1,2,2,1,1,0,2,1
119_4,0:0.01/2:0.99,0:0.01/1:0.99,0:0.09/1:0.91,0,0,0:0.01/1:0.99,0,0,0,0:0.01/1:0.99
168_5,2,1,0:0.01/1:0.99,0:0.09/2:0.91,0,1,0:0.09/1:0.91,0,0,1
216_10,2,1,1,2,1,1,1,0,0,1
216_9,2,1,1,2,2,1,1,0,0,1
167_6,2,1,0:0.04/1:0.96,0:0.4/1:0.6,0,1,0,0,0:0.4/2:0.6,1
216_13,2,1,1,1,2,1,1,0,2,1
216_11,2,1,1,1,1,1,2,0,2,1
