	0
103_5	103
115_10	115
118_3	118
139_9	139
14_1	14
152_11	152
160_15	160
166_5	166
167_22	167
170_21	170
170_7	170
184_16	184
184_17	184
188_25	188
198_26	198
201_23	201
202_26	202
208_35	208
209_34	209
209_9	209
210_8	210
216_10	216
216_11	216
216_17	216
216_18	216
216_19	216
216_20	216
216_21	216
216_22	216
216_23	216
216_24	216
216_25	216
216_26	216
216_27	216
216_28	216
216_29	216
216_30	216
216_31	216
216_32	216
216_33	216
216_34	216
216_35	216
216_4	216
216_6	216
216_7	216
216_8	216
216_9	216
25_3	25
64_4	64
68_6	68
virtual	1
