[&R] (((((216_6:0,216_7:0)205_4:1.922,(216_4:0,216_5:0)214_4:7.922)158_2:0.212,((216_2:2.503,216_3:1.503)212_2:1.019,216_1:3.522)165_1:4.611)109_1:0.01,((216_12:1.072,216_13:0.072)205_9:2.263,(216_14:1.215,216_15:1.215)207_12:1.119)150_4:4.809)62_1:0.856)I0;
I0,0,0,0,0,0,0,0,0,0,0
62_1,0,0,0,0,0,0,0,0,0,0:0.14/1:0.86
150_4,0,0,0,0,0:0.06/1:0.94,0:0.06/1:0.94,0:0.06/1:0.94,0:0.06/2:0.94,0:0.06/2:0.94,0:0.01/1:0.99
207_12,0,0:0.16/1:0.84,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,1
216_15,0,1,2,0,1,1,1,2,2,1
216_14,0,1,1,0,1,1,1,2,2,1
205_9,0:0.03/2:0.97,0,0,0:0.03/2:0.97,1,1,1,2,2,1
216_13,2,0,0,2,1,1,1,2,2,1
216_12,2,0,2,2,1,1,1,2,2,1
109_1,0,0,0,0,0,0,0,0,0,0:0.13/1:0.87
165_1,0,0:0.1/1:0.9,0:0.1/1:0.9,0,0,0:0.1/1:0.9,0:0.1/1:0.9,0:0.1/1:0.9,0,0:0.01/1:0.99
216_1,2,1,1,1,1,1,1,1,0,1
212_2,0,0:0.03/1:0.97,0:0.03/1:0.97,0,0:0.33/2:0.67,0:0.03/1:0.97,0:0.03/1:0.97,0:0.03/1:0.97,0,1
216_3,0,1,1,1,2,1,1,1,0,1
216_2,1,1,1,2,2,1,1,1,0,1
158_2,0,0,0,0,0,0,0,0,0:0.81/2:0.19,0:0.11/1:0.89
214_4,0,1,1,1,2,1,1,2,2,1
216_5,0,1,1,1,2,1,1,2,2,1
216_4,0,1,1,1,2,1,1,2,2,1
205_4,0,0,0,0,1,0,0,0,2,1
216_7,0,0,0,0,1,0,0,0,2,1
216_6,0,0,0,0,1,0,0,0,2,1
