[&R] (((((216_9:0,216_10:0)202_8:1.047,216_8:0.047)164_4:1.118,((216_11:1.03,216_12:1.03)209_11:0.003,216_13:1.032)164_5:1.133)124_4:3.906,(((216_17:0,216_18:0)205_15:0,216_15:0)165_8:0.511,((216_21:0,216_22:0)201_15:0,(216_19:0,216_20:0)203_16:0)165_9:3.511)125_6:4.561)83_3:1.929)I0;
I0,0,0,0,0,0,0,0,0,0,0
83_3,0,0,0,0,0,0:0.36/1:0.64,0,0:0.36/2:0.64,0,0:0.36/1:0.64
125_6,0:0.1/1:0.9,0,0,0,0:0.1/1:0.9,0:0.04/1:0.96,0:0.1/1:0.9,0:0.04/2:0.96,0:0.1/2:0.9,0:0.04/1:0.96
165_9,1,1,1,2,1,1,1,2,2,1
203_16,1,1,1,2,1,1,1,2,2,1
216_20,1,1,1,2,1,1,1,2,2,1
216_19,1,1,1,2,1,1,1,2,2,1
201_15,1,1,1,2,1,1,1,2,2,1
216_22,1,1,1,2,1,1,1,2,2,1
216_21,1,1,1,2,1,1,1,2,2,1
165_8,1,0,0,0,1,1,1,2,2,1
216_15,1,0,0,0,1,1,1,2,2,1
205_15,1,0,0,0,1,1,1,2,2,1
216_18,1,0,0,0,1,1,1,2,2,1
216_17,1,0,0,0,1,1,1,2,2,1
124_4,0,0:0.04/1:0.96,0,0:0.04/2:0.96,0:0.04/2:0.96,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.01/1:0.99
164_5,0,1,0,2,2,1,0:0.03/1:0.97,2,0,1
216_13,0,1,1,2,2,1,1,2,0,1
209_11,0,1,0,2,2,1,0:0.03/1:0.97,2,0,1
216_12,0,1,1,2,2,1,1,2,0,1
216_11,0,1,0,2,2,1,1,2,2,1
164_4,0,1,0:0.04/1:0.96,2,2,1,0,2,0,1
216_8,0,1,1,2,2,1,0,2,0,1
202_8,0,1,1,2,2,1,1,2,0,1
216_10,0,1,1,2,2,1,1,2,0,1
216_9,0,1,1,2,2,1,1,2,0,1
