[&R] (((((216_13:1.036,216_14:0.036)165_5:2.384,(216_8:0.036,216_9:1.036)214_7:2.384)121_3:1.112,((216_18:0,216_19:0)195_11:0,216_16:0)133_6:5.532)67_2:0.809,((216_5:0.04,216_7:1.04)173_3:1.021,216_4:0.061)121_1:4.28)20_1:1.659)I0;
I0,0,0,0,0,0,0,0,0,0,0
20_1,0,0:0.17/1:0.83,0,0,0,0,0:0.17/1:0.83,0,0,0
121_1,0,1,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,1,0:0.01/1:0.99,0,0
216_4,0,1,2,0,1,1,1,1,0,0
173_3,0:0.04/1:0.96,1,2,0,1,1,1,1,0,0
216_7,1,1,2,0,1,1,1,1,0,1
216_5,1,1,2,0,1,1,1,1,0,0
67_2,0,0:0.07/1:0.93,0,0,0,0,0:0.07/1:0.93,0,0,0:0.4/1:0.6
133_6,2,1,0,2,0,1,1,2,2,1
216_16,2,1,0,2,0,1,1,2,2,1
195_11,2,1,0,2,0,1,1,2,2,1
216_19,2,1,0,2,0,1,1,2,2,1
216_18,2,1,0,2,0,1,1,2,2,1
121_3,0,0:0.02/1:0.98,0,0:0.27/1:0.73,0,0,0:0.02/1:0.98,0,0,0:0.11/1:0.89
214_7,0:0.01/1:0.99,1,0,1,0,0,1,0:0.01/2:0.99,0,1
216_9,1,1,1,1,0,0,1,2,0,1
216_8,1,1,0,1,0,0,1,2,0,1
165_5,0,1,0:0.01/1:0.99,1,0,0:0.01/1:0.99,1,0,0,1
216_14,0,1,1,1,0,1,1,0,0,1
216_13,0,1,1,1,0,1,1,1,0,1
