[&R] (((((216_5:0,216_6:0)205_5:0,(216_7:0,216_8:0)207_7:0)169_3:3.147,(216_9:0.158,216_10:1.158)177_5:3.989)126_2:2.725,((216_1:0.521,216_2:3.521)187_1:1.12,(216_3:0.155,216_4:1.155)188_3:3.486)136_1:3.231)77_1:2.128)I0;
I0,0,0,0,0,0,0,0,0,0,0
77_1,0,0:0.29/1:0.71,0:0.29/1:0.71,0,0,0,0,0,0,0:0.29/1:0.71
136_1,0,0:0.05/1:0.95,0:0.05/1:0.95,0:0.17/2:0.83,0,0,0:0.17/1:0.83,0,0:0.17/1:0.83,0:0.05/1:0.95
188_3,0,1,1,0:0.01/2:0.99,0:0.04/1:0.96,0:0.04/1:0.96,0:0.01/1:0.99,0:0.04/2:0.96,0:0.01/1:0.99,1
216_4,1,1,1,2,1,1,1,2,1,1
216_3,0,1,1,2,1,1,1,2,1,1
187_1,0:0.32/1:0.68,0:0.02/1:0.98,0:0.02/1:0.98,0:0.05/2:0.95,0,0,0:0.05/1:0.95,0,0:0.05/1:0.95,0:0.02/1:0.98
216_2,1,1,1,2,1,1,1,2,1,1
216_1,1,1,1,2,0,0,1,0,1,1
126_2,0,0:0.09/1:0.91,0:0.09/1:0.91,0,0:0.3/2:0.7,0:0.3/1:0.7,0,0,0:0.3/2:0.7,0:0.09/1:0.91
177_5,0:0.04/1:0.96,1,1,0:0.04/1:0.96,0:0.01/2:0.99,0:0.01/1:0.99,0:0.04/2:0.96,0,0:0.01/2:0.99,1
216_10,1,1,1,1,2,1,2,1,2,1
216_9,1,1,1,1,2,1,2,0,2,1
169_3,2,1,1,0,2,1,1,0,2,1
207_7,2,1,1,0,2,1,1,0,2,1
216_8,2,1,1,0,2,1,1,0,2,1
216_7,2,1,1,0,2,1,1,0,2,1
205_5,2,1,1,0,2,1,1,0,2,1
216_6,2,1,1,0,2,1,1,0,2,1
216_5,2,1,1,0,2,1,1,0,2,1
