[&R] (((((216_3:0,216_4:0)185_2:4.031,(216_1:3.03,216_2:1.03)187_1:0.002)126_1:0.968,(216_5:3.844,216_6:2.844)188_5:5.156)66_1:0,((216_9:0.117,216_10:2.117)202_10:1.233,(216_7:0.043,216_8:1.043)209_9:3.308)143_5:3.649)16_1:0)I0;
I0,0,0,0,0,0,0,0,0,0,0
16_1,0,0,0,0,0,0,0,0,0,0
143_5,0,0:0.09/1:0.91,0,0,0,0:0.09/1:0.91,0,0,0:0.09/2:0.91,0:0.09/1:0.91
209_9,0,1,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,1,0,0,2,1
216_8,0,1,1,2,2,1,1,0,2,1
216_7,0,1,1,2,2,1,0,0,2,1
202_10,0,0:0.01/1:0.99,0,0,0,0:0.01/1:0.99,0:0.09/1:0.91,0,0:0.01/2:0.99,0:0.01/1:0.99
216_10,0,1,1,2,0,1,1,0,2,1
216_9,0,1,0,0,0,1,1,0,2,1
66_1,0,0,0,0,0,0,0,0,0,0
188_5,0:0.14/2:0.86,0,0,0:0.14/2:0.86,0,0:0.14/1:0.86,0:0.14/1:0.86,0,0:0.14/2:0.86,0:0.14/1:0.86
216_6,2,2,0,2,0,1,1,2,2,1
216_5,2,1,2,2,2,1,1,0,2,1
126_1,0,0,0,0:0.03/1:0.97,0,0,0,0,0,0
187_1,0,0,0,0:0.03/1:0.97,0,0,0,0,0,0
216_2,0,1,0,1,0,0,0,0,0,0
216_1,0,2,0,1,0,0,0,2,0,1
185_2,0,2,0,1,0,1,0,2,0,1
216_4,0,2,0,1,0,1,0,2,0,1
216_3,0,2,0,1,0,1,0,2,0,1
