[&R] ((((216_13:0,216_14:0)204_11:0,(216_15:0,216_16:0)204_12:0)160_8:6.481,((216_11:0,216_12:0)204_10:2.519,(216_9:0,216_10:0)209_9:1.519)162_8:2.962)111_4:3.519)I0;
I0,0,0,0,0,0,0,0,0,0,0
111_4,0:0.3/2:0.7,0:0.3/1:0.7,0:0.3/2:0.7,0,0,0:0.3/1:0.7,0,0,0,0:0.3/1:0.7
162_8,0:0.04/2:0.96,0:0.04/1:0.96,0:0.04/2:0.96,0:0.15/1:0.85,0:0.15/2:0.85,0:0.04/1:0.96,0,0,0,0:0.04/1:0.96
209_9,2,1,2,1,2,1,2,0,0,1
216_10,2,1,2,1,2,1,2,0,0,1
216_9,2,1,2,1,2,1,2,0,0,1
204_10,2,1,2,1,2,1,1,2,0,1
216_12,2,1,2,1,2,1,1,2,0,1
216_11,2,1,2,1,2,1,1,2,0,1
160_8,2,1,2,2,1,1,1,2,2,1
204_12,2,1,2,2,1,1,1,2,2,1
216_16,2,1,2,2,1,1,1,2,2,1
216_15,2,1,2,2,1,1,1,2,2,1
204_11,2,1,2,2,1,1,1,2,2,1
216_14,2,1,2,2,1,1,1,2,2,1
216_13,2,1,2,2,1,1,1,2,2,1
