[&R] (((((216_7:0.159,216_8:2.159)207_5:0.003,216_10:2.161)130_4:1.152,(((216_14:0,216_15:0)213_13:0,216_16:0)173_8:0,((216_18:0,216_19:0)215_18:0,216_21:0)177_11:0)130_5:3.313)81_2:0.007,((216_5:0,216_6:0)213_5:0,216_4:0)171_2:3.32)31_1:6.68)I0;
I0,0,0,0,0,0,0,0,0,0,0
31_1,0,0:0.05/1:0.95,0:0.05/1:0.95,0:0.05/1:0.95,0:0.05/1:0.95,0:0.05/1:0.95,0:0.05/1:0.95,0,0,0:0.05/1:0.95
171_2,1,1,1,1,1,1,1,1,1,1
216_4,1,1,1,1,1,1,1,1,1,1
213_5,1,1,1,1,1,1,1,1,1,1
216_6,1,1,1,1,1,1,1,1,1,1
216_5,1,1,1,1,1,1,1,1,1,1
81_2,0,0:0.04/1:0.96,0:0.04/1:0.96,0:0.04/1:0.96,0:0.04/1:0.96,0:0.04/1:0.96,0:0.04/1:0.96,0,0,0:0.04/1:0.96
130_5,2,1,1,1,1,1,1,1,1,1
177_11,2,1,1,1,1,1,1,1,1,1
216_21,2,1,1,1,1,1,1,1,1,1
215_18,2,1,1,1,1,1,1,1,1,1
216_19,2,1,1,1,1,1,1,1,1,1
216_18,2,1,1,1,1,1,1,1,1,1
173_8,2,1,1,1,1,1,1,1,1,1
216_16,2,1,1,1,1,1,1,1,1,1
213_13,2,1,1,1,1,1,1,1,1,1
216_15,2,1,1,1,1,1,1,1,1,1
216_14,2,1,1,1,1,1,1,1,1,1
130_4,0:0.12/1:0.88,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0:0.01/1:0.99
216_10,1,1,1,1,1,1,1,1,1,1
207_5,0:0.12/1:0.88,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0:0.01/1:0.99
216_8,1,1,1,1,1,1,1,1,1,1
216_7,1,1,1,1,1,1,1,0,0,1
