[&R] (((((216_11:0,216_12:0)207_8:1.105,(216_9:0,216_10:0)214_9:0.105)156_4:4.62,((216_13:0,216_14:0)214_12:1.139,216_15:1.139)158_7:1.585)89_2:1.457,(((216_21:0.112,216_22:2.112)202_12:0.006,(216_19:0,216_20:0)206_12:2.118)155_7:5.058,((216_17:0,216_18:0)215_17:0,216_16:0)161_9:2.176)96_5:0.005)virtual:2.818)I0;
I0,0,0,0,0,0,0,0,0,0,0
virtual,0,0:0.06/1:0.94,0,0:0.06/2:0.94,0,0,0:0.06/2:0.94,0,0,0
96_5,0,0:0.06/1:0.94,0,0:0.06/2:0.94,0,0,0:0.06/2:0.94,0,0,0
161_9,0,1,2,2,0,1,2,0,0,0
216_16,0,1,2,2,0,1,2,0,0,0
215_17,0,1,2,2,0,1,2,0,0,0
216_18,0,1,2,2,0,1,2,0,0,0
216_17,0,1,2,2,0,1,2,0,0,0
155_7,0:0.02/2:0.98,1,0:0.02/1:0.98,2,0:0.02/2:0.98,0,2,0:0.02/2:0.98,0,0:0.02/1:0.98
206_12,2,1,1,2,2,1,2,2,1,1
216_20,2,1,1,2,2,1,2,2,1,1
216_19,2,1,1,2,2,1,2,2,1,1
202_12,0:0.02/2:0.98,1,0:0.02/1:0.98,2,0:0.02/2:0.98,0,2,0:0.02/2:0.98,0,0:0.02/1:0.98
216_22,2,1,1,2,2,1,2,2,1,1
216_21,2,1,1,2,2,0,2,2,0,1
89_2,0,0:0.02/1:0.98,0,0:0.02/2:0.98,0,0:0.33/1:0.67,0:0.02/2:0.98,0,0,0:0.33/1:0.67
158_7,0,1,0:0.08/2:0.92,2,0,0:0.03/1:0.97,2,0,0,0:0.03/1:0.97
216_15,0,1,2,2,0,1,2,2,0,1
214_12,1,1,2,2,0,1,2,0,0,1
216_14,1,1,2,2,0,1,2,0,0,1
216_13,1,1,2,2,0,1,2,0,0,1
156_4,0:0.02/2:0.98,1,0:0.02/1:0.98,2,0,0:0.01/1:0.99,2,0:0.02/2:0.98,0:0.02/2:0.98,0:0.01/1:0.99
214_9,2,1,1,2,0,1,2,2,2,1
216_10,2,1,1,2,0,1,2,2,2,1
216_9,2,1,1,2,0,1,2,2,2,1
207_8,2,1,1,2,2,1,2,2,2,1
216_12,2,1,1,2,2,1,2,2,2,1
216_11,2,1,1,2,2,1,2,2,2,1
