[&R] (((((216_3:1.145,216_4:2.145)192_2:0.005,(216_5:0,216_6:0)197_4:2.15)152_2:1.363,216_1:3.514)103_1:1.743,((216_7:3.194,216_8:4.194)200_7:1.173,(216_9:0,216_10:0)206_9:0.367)159_4:0.89)49_1:3.743)I0;
I0,0,0,0,0,0,0,0,0,0,0
49_1,0,0:0.06/1:0.94,0:0.06/1:0.94,0,0,0:0.06/1:0.94,0:0.06/1:0.94,0,0,0
159_4,0:0.29/2:0.71,0:0.02/1:0.98,0:0.02/1:0.98,0,0,0:0.02/1:0.98,0:0.02/1:0.98,0,0,0
206_9,2,1,1,0,0,1,1,0,0,0
216_10,2,1,1,0,0,1,1,0,0,0
216_9,2,1,1,0,0,1,1,0,0,0
200_7,0:0.15/2:0.85,0:0.01/1:0.99,0:0.01/1:0.99,0:0.5/2:0.5,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0:0.5/1:0.5
216_8,2,1,1,2,1,1,1,1,2,1
216_7,2,1,1,2,2,1,1,2,0,1
103_1,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.23/1:0.77,0,0:0.23/1:0.77
216_1,0,1,1,1,1,1,1,1,1,1
152_2,0:0.1/1:0.9,1,1,0,0,1,1,0:0.02/1:0.98,0,0:0.02/1:0.98
197_4,1,1,1,1,1,1,1,1,0,1
216_6,1,1,1,1,1,1,1,1,0,1
216_5,1,1,1,1,1,1,1,1,0,1
192_2,0:0.1/1:0.9,1,1,0,0,1,1,0:0.02/1:0.98,0,0:0.02/1:0.98
216_4,1,1,1,1,2,1,1,1,0,1
216_3,1,1,1,0,1,1,1,1,0,1
