[&R] (((((216_1:0,216_2:0)209_1:4.312,(216_7:0.169,216_8:1.169)209_4:5.143)118_1:0.004,((216_14:0,216_15:0)208_8:1.639,216_13:1.639)164_4:4.677)63_1:0.013,216_16:5.329)virtual:3.671)I0;
I0,0,0,0,0,0,0,0,0,0,0
virtual,0,0:0.08/1:0.92,0:0.08/1:0.92,0,0,0,0:0.08/1:0.92,0,0,0:0.08/1:0.92
216_16,2,1,1,2,2,1,1,1,0,1
63_1,0,0:0.08/1:0.92,0:0.08/1:0.92,0,0,0,0:0.08/1:0.92,0,0,0:0.08/1:0.92
164_4,0:0.12/1:0.88,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.12/1:0.88,0:0.12/1:0.88,0:0.01/1:0.99,0:0.12/1:0.88,0:0.12/1:0.88,0:0.01/1:0.99
216_13,1,1,1,2,1,1,1,1,1,1
208_8,1,1,1,1,1,1,1,1,1,1
216_15,1,1,1,1,1,1,1,1,1,1
216_14,1,1,1,1,1,1,1,1,1,1
118_1,0,0:0.08/1:0.92,0:0.08/1:0.92,0,0,0,0:0.08/1:0.92,0,0,0:0.08/1:0.92
209_4,0:0.03/1:0.97,1,1,0:0.03/1:0.97,0:0.03/1:0.97,0:0.03/1:0.97,1,0:0.03/1:0.97,0,1
216_8,1,1,1,1,1,1,1,1,1,1
216_7,1,1,1,1,1,1,1,1,0,1
209_1,2,1,1,2,0,0,1,2,1,1
216_2,2,1,1,2,0,0,1,2,1,1
216_1,2,1,1,2,0,0,1,2,1,1
