[&R] ((((216_13:0,216_14:0)192_11:1.257,216_16:2.257)139_7:1.944,(((216_2:0,216_3:0)213_2:0,216_1:0)175_1:1.089,((216_5:0,216_6:0)215_5:0,216_4:0)183_3:1.089)129_1:1.112)14_1:2.799)I0;
I0,0,0,0,0,0,0,0,0,0,0
14_1,0,0,0,0:0.07/2:0.93,0,0:0.07/1:0.93,0,0,0,0:0.07/1:0.93
129_1,0,0,0,2,0,1,0,0,0:0.07/2:0.93,1
183_3,0,2,0,2,0,1,0,0,2,1
216_4,0,2,0,2,0,1,0,0,2,1
215_5,0,2,0,2,0,1,0,0,2,1
216_6,0,2,0,2,0,1,0,0,2,1
216_5,0,2,0,2,0,1,0,0,2,1
175_1,0,1,0,2,0,1,0,0,2,1
216_1,0,1,0,2,0,1,0,0,2,1
213_2,0,1,0,2,0,1,0,0,2,1
216_3,0,1,0,2,0,1,0,0,2,1
216_2,0,1,0,2,0,1,0,0,2,1
139_7,0:0.12/2:0.88,0:0.12/1:0.88,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0,0,0:0.01/1:0.99
216_16,2,1,1,2,0,1,2,0,0,1
192_11,2,1,0,2,0,1,1,0,0,1
216_14,2,1,0,2,0,1,1,0,0,1
216_13,2,1,0,2,0,1,1,0,0,1
