[&R] (((((216_7:0,216_8:0)203_4:0,216_5:0)164_2:0,((216_1:0,216_2:0)213_1:0,216_4:0)168_1:0)124_1:2.553,((216_11:0.19,216_12:1.19)179_7:1.57,216_9:2.761)125_3:0.793)75_1:6.447)I0;
I0,0,0,0,0,0,0,0,0,0,0
75_1,0,0:0.08/1:0.92,0,0:0.08/2:0.92,0:0.08/2:0.92,0:0.08/1:0.92,0:0.08/2:0.92,0,0:0.08/2:0.92,0:0.08/1:0.92
125_3,0:0.49/2:0.51,0:0.04/1:0.96,0,0:0.04/2:0.96,0:0.04/2:0.96,0:0.04/1:0.96,0:0.04/2:0.96,0,0:0.04/2:0.96,0:0.04/1:0.96
216_9,2,1,2,2,2,1,2,2,2,1
179_7,0:0.05/2:0.95,1,0:0.11/1:0.89,2,2,1,2,0,2,1
216_12,2,1,1,2,2,1,2,2,2,1
216_11,2,1,1,2,2,1,2,0,2,1
124_1,0,1,1,2,2,1,2,2,2,1
168_1,0,1,1,2,2,1,2,2,2,1
216_4,0,1,1,2,2,1,2,2,2,1
213_1,0,1,1,2,2,1,2,2,2,1
216_2,0,1,1,2,2,1,2,2,2,1
216_1,0,1,1,2,2,1,2,2,2,1
164_2,0,1,1,2,2,1,2,2,2,1
216_5,0,1,1,2,2,1,2,2,2,1
203_4,0,1,1,2,2,1,2,2,2,1
216_8,0,1,1,2,2,1,2,2,2,1
216_7,0,1,1,2,2,1,2,2,2,1
