[&R] ((((216_1:0,216_2:0)177_1:1.28,(216_3:0,216_4:0)182_3:2.28)120_3:2.248,(216_9:0,216_10:0)191_9:3.528)7_1:2.472)I0;
I0,0,0,0,0,0,0,0,0,0,0
7_1,0,0:0.18/1:0.82,0,0,0,0:0.18/1:0.82,0,0:0.18/2:0.82,0,0
191_9,0,1,0,0,1,1,1,2,0,1
216_10,0,1,0,0,1,1,1,2,0,1
216_9,0,1,0,0,1,1,1,2,0,1
120_3,0,0:0.02/1:0.98,0:0.11/2:0.89,0:0.11/2:0.89,0,0:0.02/1:0.98,0,0:0.02/2:0.98,0,0
182_3,2,1,2,2,0,1,2,2,0,0
216_4,2,1,2,2,0,1,2,2,0,0
216_3,2,1,2,2,0,1,2,2,0,0
177_1,0,1,2,2,0,1,1,2,0,0
216_2,0,1,2,2,0,1,1,2,0,0
216_1,0,1,2,2,0,1,1,2,0,0
