[&R] (((((216_3:0,216_4:0)202_2:0,(216_1:0,216_2:0)203_1:0)161_1:3.13,((216_7:0,216_8:0)207_6:2.125,(216_5:1.042,216_6:0.042)208_5:1.083)161_2:0.005)114_1:2.342,(((216_9:0,216_10:0)213_9:0,216_11:0)169_5:4.03,((216_12:0,216_13:0)214_12:0,(216_14:0,216_15:0)215_14:0)172_7:3.03)123_3:1.442)61_1:3.528)I0;
I0,0,0,0,0,0,0,0,0,0,0
61_1,0,0,0:0.12/1:0.88,0,0,0:0.12/1:0.88,0,0,0:0.12/2:0.88,0:0.12/1:0.88
123_3,0:0.42/2:0.58,0,0:0.05/1:0.95,0:0.42/1:0.58,0,0:0.05/1:0.95,0,0,0:0.05/2:0.95,0:0.05/1:0.95
172_7,2,1,1,1,0,1,0,1,2,1
215_14,2,1,1,1,0,1,0,1,2,1
216_15,2,1,1,1,0,1,0,1,2,1
216_14,2,1,1,1,0,1,0,1,2,1
214_12,2,1,1,1,0,1,0,1,2,1
216_13,2,1,1,1,0,1,0,1,2,1
216_12,2,1,1,1,0,1,0,1,2,1
169_5,2,2,1,1,0,1,2,2,2,1
216_11,2,2,1,1,0,1,2,2,2,1
213_9,2,2,1,1,0,1,2,2,2,1
216_10,2,2,1,1,0,1,2,2,2,1
216_9,2,2,1,1,0,1,2,2,2,1
114_1,0,0:0.05/1:0.95,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0:0.05/2:0.95,0,0:0.01/2:0.99,0:0.01/1:0.99
161_2,0,0:0.05/1:0.95,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0:0.05/2:0.95,0,0:0.01/2:0.99,0:0.01/1:0.99
208_5,0:0.04/1:0.96,1,1,0,0,1,2,0,2,1
216_6,1,1,1,0,0,1,2,0,2,1
216_5,1,1,1,0,0,1,2,2,2,1
207_6,0,1,1,0,1,1,2,2,2,1
216_8,0,1,1,0,1,1,2,2,2,1
216_7,0,1,1,0,1,1,2,2,2,1
161_1,0,1,1,1,1,1,2,2,2,1
203_1,0,1,1,1,1,1,2,2,2,1
216_2,0,1,1,1,1,1,2,2,2,1
216_1,0,1,1,1,1,1,2,2,2,1
202_2,0,1,1,1,1,1,2,2,2,1
216_4,0,1,1,1,1,1,2,2,2,1
216_3,0,1,1,1,1,1,2,2,2,1
