sigma: 22.470982031241125
216_30 367.0 212.0
216_29 329.0 196.0
216_28 353.0 222.0
216_27 341.0 254.0
216_24 368.0 193.0
216_23 386.0 206.0
216_15 280.0 187.0
216_14 264.0 218.0
216_13 269.0 238.0
216_2 274.0 263.0
216_1 261.0 282.0
216_4 279.0 271.0
216_3 314.0 276.0
216_7 255.0 245.0
216_6 282.0 250.0
216_5 316.0 263.0
192_3 299.49147947484056 242.2357118495005
152_2 299.4951501102515 242.13214364539124
206_2 295.0700344700079 271.70658566925647
208_1 286.22614916741435 261.0347376953305
161_1 286.4298209057978 260.9097115415936
105_1 299.6599464470399 242.01856105901854
213_13 273.2673821109456 216.8876076660718
168_7 273.4961425081935 216.5123165719099
44_1 299.9677641852787 241.70260759341355
192_17 337.7424791866975 224.16082493864084
192_18 337.75268450331055 223.8096450826954
155_10 337.64632710198543 224.01602539046883
184_13 372.5728265076885 202.25060386609934
102_5 337.4442991324511 224.07707427491692
virtual 300.3968328120996 241.5016782761196
