model treeID cellID true_x true_y estimated_x estimated_y
Gaussian s10c1 23_1 165.0 262.0 155.69537474310377 231.42461377087224
Gaussian s10c1 73_1 165.0 282.0 153.91982890842502 255.7854404202051
Gaussian s10c1 147_3 179.0 273.0 163.31723338198395 270.66774536102855
Gaussian s10c1 132_1 151.0 276.0 144.33215963512933 272.6655943595505
Gaussian s10c1 185_3 152.0 289.0 145.6226054648837 278.72725127843904
Gaussian s10c1 180_1 142.0 285.0 135.36331626412584 280.90879846169486
Gaussian s10c1 68_2 175.0 260.0 155.6953747431022 231.42461377087
Gaussian s10c1 137_6 192.0 237.0 170.04463645812928 219.27097977606877
Gaussian s10c1 198_13 141.0 209.0 142.55573897318845 203.3491259712098
Gaussian s10c1 193_10 215.0 228.0 206.92612324842153 224.0239447025886
Gaussian s10c1 134_4 170.0 256.0 141.96999397221262 243.04982889634127
Gaussian s10c1 193_9 158.0 254.0 155.80361603802075 251.376922444084
Gaussian s10c1 192_7 122.0 244.0 116.30914182380795 245.07997066794445
Gaussian s10c2 20_1 195.0 243.0 189.27686733503816 265.9932900194547
Gaussian s10c2 62_2 208.0 232.0 189.55108153610746 243.81161533703002
Gaussian s10c2 125_5 222.0 241.0 209.50800007418957 232.07591975677906
Gaussian s10c2 188_9 250.0 238.0 235.27418183167106 232.42289450123286
Gaussian s10c2 186_10 203.0 226.0 203.88315790938003 220.37682626778582
Gaussian s10c2 119_5 177.0 234.0 171.86696975071942 224.32592426920002
Gaussian s10c2 175_12 189.0 207.0 184.0427827436566 204.68864637279154
Gaussian s10c2 175_11 142.0 243.0 142.3172925475783 224.81936532704037
Gaussian s10c2 62_1 189.0 265.0 189.2768673350404 265.9932900194584
Gaussian s10c2 119_3 200.0 254.0 193.16074693401526 252.1973160077822
Gaussian s10c2 174_6 166.0 228.0 171.6957327054509 230.70583731793926
Gaussian s10c2 174_5 239.0 267.0 218.37336428439875 260.37688994951804
Gaussian s10c2 108_1 186.0 282.0 186.14250836042834 277.12688308151075
Gaussian s10c2 162_1 177.0 298.0 176.77136231817073 289.9558841906743
Gaussian s10c2 210_1 162.0 303.0 164.75125660695107 300.8209343641571
Gaussian s10c2 205_2 184.0 285.0 180.07716479896732 290.43829614533354
Gaussian s10c2 157_2 208.0 272.0 191.3071820047183 277.34544940281626
Gaussian s10c2 210_4 201.0 294.0 196.69502760739505 295.9470776465787
Gaussian s10c2 201_4 192.0 251.0 191.47191970942487 262.098851854779
Gaussian s10c3 36_3 285.0 288.0 267.23946292844306 293.00734143063096
Gaussian s10c3 91_5 298.0 292.0 288.36949784981505 304.0426696621305
Gaussian s10c3 140_8 304.0 290.0 301.1144873569474 299.0000430094294
Gaussian s10c3 209_20 312.0 310.0 322.4193200793009 303.7586227659725
Gaussian s10c3 192_18 293.0 281.0 298.58396637943133 290.06250806427227
Gaussian s10c3 140_7 294.0 318.0 294.449448545368 318.91677055745095
Gaussian s10c3 186_12 304.0 302.0 300.8974053800058 313.32379603871425
Gaussian s10c3 182_9 288.0 335.0 293.7735699198504 336.77262880468743
Gaussian s10c3 83_5 275.0 288.0 261.13766766430774 284.90108973994904
Gaussian s10c3 173_13 234.0 280.0 230.53405280091204 280.5428847021453
Gaussian s10c3 34_1 272.0 294.0 258.33696715969904 292.0214302367182
Gaussian s10c3 85_1 276.0 309.0 257.9016465314104 302.5874665019596
Gaussian s10c3 157_3 279.0 301.0 267.5985242329838 303.4619507121254
Gaussian s10c3 211_7 282.0 301.0 281.84064266517504 300.15318365982705
Gaussian s10c3 208_5 258.0 306.0 261.0162563078527 307.2063236881539
Gaussian s10c3 152_1 260.0 318.0 248.30627130888092 315.6545815339316
Gaussian s10c3 197_1 260.0 330.0 259.2001757327416 329.976486689402
Gaussian s10c3 196_2 232.0 304.0 231.35301320534853 310.23232991369116
Gaussian s10c3 77_2 268.0 283.0 258.70400219924176 283.1128114248537
Gaussian s10c3 136_4 273.0 261.0 263.36150262016537 268.54892705328973
Gaussian s10c3 187_9 280.0 258.0 272.8128517250773 259.5566327064565
Gaussian s10c3 185_7 257.0 260.0 258.1488882265543 265.09315301280947
Gaussian s10c3 136_3 256.0 293.0 254.5501079953628 285.453242077809
Gaussian s10c3 190_7 261.0 286.0 263.37539408865473 280.6551066718165
Gaussian s10c3 189_5 243.0 297.0 242.15678884116545 292.26494388045927
Gaussian s10c4 57_1 329.0 267.0 356.0026548672531 254.80265486725426
Gaussian s10c4 126_1 316.0 273.0 340.38030214583773 267.67845518013985
Gaussian s10c4 176_1 312.0 278.0 320.8229434702426 268.6224157657567
Gaussian s10c4 171_2 339.0 274.0 347.7934340486145 275.2261517267146
Gaussian s10c4 124_2 338.0 242.0 356.00265486724805 254.80265486725028
Gaussian s10c4 176_6 357.0 248.0 370.08407079645826 248.08407079645886
Gaussian s10c4 173_4 328.0 259.0 342.73362831857963 261.1336283185808
Gaussian s10c4 211_6 354.0 266.0 352.3662733529981 270.86010051349217
Gaussian s10c4 211_5 319.0 254.0 322.8107177974441 256.31689063695006
Gaussian s10c5 60_1 310.0 220.0 322.0158362450147 210.22580661358964
Gaussian s10c5 120_1 319.0 208.0 337.0087277457487 207.87133164270153
Gaussian s10c5 164_1 332.0 217.0 335.90732927356225 216.41574589476772
Gaussian s10c5 207_1 350.0 225.0 350.9280627732883 222.3762285584537
Gaussian s10c5 205_2 314.0 219.0 320.5589314194536 218.6943355359403
Gaussian s10c5 163_2 337.0 195.0 348.8300000100092 197.8337348945024
Gaussian s10c5 201_5 331.0 188.0 346.4664835181489 185.4451211364663
Gaussian s10c5 200_3 364.0 210.0 361.30311111287267 201.2593306479006
Gaussian s10c5 118_2 287.0 216.0 304.72183774775135 214.76092238009488
Gaussian s10c5 173_7 289.0 204.0 287.66692171995874 208.46222001532192
Gaussian s10c5 167_5 307.0 229.0 305.305770475283 224.20388448398182
Gaussian s10c5 213_11 286.0 228.0 289.51491906764045 227.3959121415993
Gaussian s10c5 212_9 326.0 233.0 321.289607254267 229.75335678655216
Gaussian s10c5 51_2 320.0 220.0 324.864997154419 207.92773291729696
Gaussian s10c5 107_5 294.0 209.0 305.0337715982045 201.00033605765736
Gaussian s10c5 156_8 281.0 201.0 269.9685208600788 197.89886179404868
Gaussian s10c5 156_7 312.0 204.0 322.7466999746455 198.0403380690836
Gaussian s10c5 207_15 338.0 198.0 341.81729999794504 197.543811194791
Gaussian s10c5 105_3 334.0 221.0 343.9879646550449 214.607722746229
Gaussian s10c5 153_5 334.0 227.0 347.43288371821393 232.37038101687352
Gaussian s10c5 212_15 359.0 237.0 359.10435684321993 236.36460265629077
Gaussian s10c5 200_9 336.0 247.0 341.5084194499194 246.5811463297253
Gaussian s11c1 28_1 177.0 369.0 137.33742331288184 379.2208588957017
Gaussian s11c1 95_3 188.0 363.0 173.26753513494117 367.9398036829284
Gaussian s11c1 167_5 195.0 347.0 191.34771617415703 346.3474112977415
Gaussian s11c1 165_4 200.0 379.0 193.22850414598122 377.1462303027768
Gaussian s11c1 94_1 162.0 373.0 137.33742331288255 379.220858895703
Gaussian s11c1 154_2 155.0 367.0 136.7852760736187 379.40490797545795
Gaussian s11c2 55_1 315.0 148.0 307.00000000000045 153.00000000000023
Gaussian s11c2 114_1 312.0 144.0 309.9968171168357 146.03611688254153
Gaussian s11c2 183_3 323.0 141.0 317.26254365412603 138.34030325803425
Gaussian s11c2 177_1 320.0 154.0 306.56288404579675 145.626718535873
Gaussian s12c1 78_1 196.0 114.0 242.32456140350936 110.24912280701741
Gaussian s12c1 128_2 178.0 117.0 203.862392203966 112.97349416806443
Gaussian s12c1 171_3 164.0 118.0 177.69318816166714 114.63211631727373
Gaussian s12c1 169_4 191.0 102.0 197.27544522159965 113.62600175115509
Gaussian s12c1 128_1 237.0 107.0 242.32456140350953 110.2491228070175
Gaussian s12c1 183_1 221.0 120.0 225.92105263158027 110.44210526315847
Gaussian s12c1 182_2 265.0 110.0 258.4298245614029 110.05964912280652
Gaussian s12c2 33_1 420.0 180.0 425.13045435447833 206.83359342176252
Gaussian s12c2 90_2 400.0 168.0 423.1157120078459 169.62328517812375
Gaussian s12c2 90_1 442.0 214.0 425.13045435447776 206.83359342176217
Gaussian s12c2 147_1 431.0 226.0 425.2681561730943 223.54683092251156
Gaussian s12c2 200_1 413.0 250.0 415.04336474401316 246.96515815377245
Gaussian s12c2 193_2 440.0 215.0 434.25363123461875 216.70936618450241
Gaussian s12c3 25_1 151.0 283.0 133.8888914906554 226.71657378354
Gaussian s12c3 77_1 195.0 303.0 168.36561473747184 262.65417888783804
Gaussian s12c3 134_1 178.0 392.0 181.59205109932452 355.1328264553145
Gaussian s12c3 203_1 179.0 389.0 180.02274358713152 389.99475466364373
Gaussian s12c3 127_2 187.0 212.0 189.9141730075862 216.08794773798263
Gaussian s12c3 74_2 130.0 260.0 133.88889149065534 226.7165737835399
Gaussian s12c3 135_5 125.0 234.0 146.86349693251313 225.59815950919827
Gaussian s12c3 185_4 133.0 233.0 141.62418629700733 225.14154919683398
Gaussian s12c3 184_2 152.0 235.0 162.42024539877156 225.14723926380162
Gaussian s12c4 53_1 179.0 410.0 177.24252020705072 407.2083931058406
Gaussian s12c4 106_1 170.0 418.0 174.12040332739667 420.3088342830839
Gaussian s12c4 153_1 176.0 431.0 174.58364839923564 437.25104397270195
Gaussian s12c4 196_1 156.0 440.0 158.6950279998559 443.5379328250381
Gaussian s12c4 195_2 196.0 443.0 190.5167296798469 446.2502087945394
Gaussian s12c4 152_2 171.0 408.0 170.95725271360664 415.0972913693621
Gaussian s12c4 209_5 182.0 411.0 185.1297584214484 410.29488462467407
Gaussian s12c4 198_6 158.0 407.0 156.35664135313533 413.7613749513497
Gaussian s12c4 44_2 178.0 396.0 183.02526229792815 401.239588797937
Gaussian s12c4 91_4 201.0 392.0 194.480366633142 397.8840051686169
Gaussian s12c4 138_5 190.0 403.0 202.0496209300896 410.30724528236897
Gaussian s12c4 183_9 203.0 432.0 208.96453244465755 433.86291946600033
