pos_1,pos_2,progenitor,descendants
100,253,1,1
89,232,2,2
59,248,3,3
103,209,4,4
107,230,5,5
95,218,6,6
81,224,7,7
112,196,8,8
177,311,9,9
187,289,10,10
184,260,11,11
165,249,12,12
128,229,13,13
116,218,14,14
178,174,15,15
186,164,16,16
167,325,17,17
158,293,18,18
172,285,19,19
180,269,20,20
130,273,21,21
110,242,22,22
159,260,23,23
122,239,24,24
149,287,25,25
131,288,26,26
154,274,27,27
168,265,28,28
133,242,29,29
157,236,30,30
190,239,31,31
170,231,32,32
138,221,33,33
156,225,34,34
166,206,35,35
130,210,36,36
140,189,37,37
158,189,38,38
180,221,39,39
181,197,40,40
203,247,41,41
201,231,42,42
204,217,43,43
191,190,44,44
