pos_1,pos_2,progenitor,descendants_1,descendants_2
195,166,1,1,
165,136,2,2,
239,142,3,3,
216,127,4,4,
206,158,5,5,
236,153,6,6,
208,145,7,7,
222,146,8,8,
151,141,9,9,
165,109,10,10,
179,133,11,11,
205,128,12,12,
139,150,13,13,
154,118,14,14,
195,112,15,15,
179,115,16,16,
209,173,17,17,
231,179,18,18,
274,122,19,19,
252,116,20,20,
254,158,21,21,
241,157,21,22,
247,131,22,23,
212,132,23,24,
215,116,24,25,
208,97,25,26,
228,125,26,27,28
226,110,27,29,
245,100,28,30,
282,99,29,31,
212,80,30,32,
242,69,31,33,
203,70,32,34,
245,57,33,35,
