cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
I0,1,0,0,0,0,0,2,0,0,0
I1,1,0,2,0,0,0,2,2,0,0
I2,1,0,2,0,0,1,2,2,0,1
216_4,1,0,2,1,2,1,2,2,0,1
216_3,1,0,2,0,0,1,2,2,0,1
I3,1,1,2,0,0,0,2,2,0,0
216_2,1,1,2,1,0,0,2,2,0,0
216_1,1,1,2,0,0,0,2,2,0,0
I4,1,0,0,0,0,0,2,0,0,0
I5,1,0,1,0,0,0,2,0,0,0
I6,1,1,1,0,2,1,2,0,0,2
216_12,1,1,1,0,2,1,2,0,0,2
216_11,1,1,1,0,2,1,2,0,0,2
I7,1,0,1,0,0,2,2,0,0,0
216_10,1,0,1,0,0,2,2,1,0,0
216_9,1,0,1,0,2,2,2,1,0,2
I8,1,0,0,0,0,1,2,0,0,1
I9,1,0,0,2,2,1,2,2,0,1
216_8,1,0,0,2,2,1,2,2,0,1
216_7,1,0,2,2,2,1,2,2,0,1
I10,1,1,0,0,1,1,2,0,0,1
216_6,1,1,0,0,1,1,2,0,0,1
216_5,1,1,0,0,1,1,2,0,0,1
Evolve tree: [&R] ((((216_5:0.09966834189189493,216_6:0.09966834189189493)I10:0.27540832163824386,(216_7:0.09535897289914641,216_8:0.09535897289914641)I9:0.2797176906309924)I8:0.3832617660465814,((216_9:0.09535897289914641,216_10:0.09535897289914641)I7:0.26416815790858067,(216_11:0.07402026117428229,216_12:0.07402026117428229)I6:0.28550686963344485)I5:0.3988112987689931)I4:0.31245872681955594,((216_1:0.15248434229088492,216_2:0.15248434229088492)I3:0.233042936028596,(216_3:0.13022793474518954,216_4:0.13022793474518954)I2:0.25529934357429146)I1:0.6852698780767952)I0:0.17015087827303288;
