[&R] (((((216_5:0,216_6:0)211_5:0.001,(216_7:1,216_8:0)211_6:0)173_4:0.164,(216_9:0,216_10:0)176_6:2.165)124_2:5.846,((216_3:1.376,216_4:1.376)171_2:0.905,(216_1:0,216_2:0)176_1:1.281)126_1:5.73)57_1:0.989)I0;
I0,0,0,0,0,0,0,0,0,0,0
57_1,0,0,0,0,0:0.67/2:0.33,0,0:0.67/2:0.33,0,0:0.67/2:0.33,0
126_1,0:0.05/1:0.95,0:0.05/2:0.95,0,0,0:0.03/2:0.97,0:0.05/1:0.95,0:0.03/2:0.97,0,0:0.03/2:0.97,0:0.05/2:0.95
176_1,1,2,0,1,2,1,2,0,2,2
216_2,1,2,0,1,2,1,2,0,2,2
216_1,1,2,0,1,2,1,2,0,2,2
171_2,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.29/2:0.71,0:0.01/2:0.99,0:0.01/2:0.99
216_4,1,2,2,0,2,1,2,2,2,2
216_3,1,2,1,0,2,1,2,2,2,2
124_2,0,0,0:0.03/1:0.97,0:0.03/2:0.97,0:0.02/2:0.98,0:0.03/2:0.97,0:0.02/2:0.98,0:0.03/2:0.97,0:0.02/2:0.98,0
176_6,1,1,1,2,2,2,2,2,2,0
216_10,1,1,1,2,2,2,2,2,2,0
216_9,1,1,1,2,2,2,2,2,2,0
173_4,0,0,1,2,2,2,2,2,2,0
211_6,0,0,1,2,2,2,2,2,2,0
216_8,0,0,1,2,2,2,2,2,2,0
216_7,0,1,1,2,2,2,2,2,2,0
211_5,0,0,1,2,2,2,2,2,2,0
216_6,0,0,1,2,2,2,2,2,2,0
216_5,0,0,1,2,2,2,2,2,2,0
