[&R] (((((216_5:0.004,216_6:1.004)211_5:0.002,(216_7:0,216_8:0)211_6:0.006)173_4:2.158,(216_9:0.023,216_10:1.023)176_6:0.141)124_2:0.877,((216_3:1.078,216_4:0.078)171_2:1.96,(216_1:1.043,216_2:0.043)176_1:0.996)126_1:0.002)57_1:5.959)I0;
I0,0,0,0,0,0,0,0,0,0,0
57_1,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99
126_1,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99
176_1,0,2,1,0,0:0.04/1:0.96,1,1,1,0,2
216_2,0,2,1,0,1,1,1,1,0,2
216_1,1,2,1,0,1,1,1,1,0,2
171_2,0:0.04/1:0.96,2,1,0,0:0.04/2:0.96,1,1,1,0,2
216_4,1,2,1,0,2,1,1,1,0,2
216_3,1,2,1,0,2,1,1,1,2,2
124_2,0:0.16/1:0.84,2,1,0,0,1,1,1,0,2
176_6,0:0.02/1:0.98,2,1,0,0,1,1,1,0,2
216_10,1,2,1,2,0,1,1,1,0,2
216_9,1,2,1,0,0,1,1,1,0,2
173_4,1,2,1,2,2,1,1,1,0,2
211_6,1,2,1,2,2,1,1,1,0,2
216_8,1,2,1,2,2,1,1,1,0,2
216_7,1,2,1,2,2,1,1,1,0,2
211_5,1,2,1,2,2,1,1,1,0,2
216_6,1,2,1,2,2,1,1,1,1,2
216_5,1,2,1,2,2,1,1,1,0,2
