[&R] (((((216_5:0,216_6:0)211_5:0,(216_7:0,216_8:0)211_6:0)173_4:2.063,(216_9:1.012,216_10:0.012)176_6:0.051)124_2:1.223,((216_3:0,216_4:0)171_2:1.01,(216_1:0.008,216_2:1.008)176_1:0.002)126_1:2.275)57_1:4.714)I0;
I0,0,0,0,0,0,0,0,0,0,0
57_1,0,0:0.06/1:0.94,0:0.06/1:0.94,0,0,0:0.06/1:0.94,0,0:0.06/1:0.94,0,0:0.06/1:0.94
126_1,0,1,1,2,2,1,0,1,0,1
176_1,0,1,1,2,2,1,0,1,0,1
216_2,0,1,1,2,2,1,0,1,2,1
216_1,0,1,1,2,2,1,0,1,0,1
171_2,0,1,1,2,2,1,0,1,1,1
216_4,0,1,1,2,2,1,0,1,1,1
216_3,0,1,1,2,2,1,0,1,1,1
124_2,0,1,1,0,0,1,0,1,0:0.05/2:0.95,1
176_6,0,1,1,0,0,1,0,1,0:0.01/2:0.99,1
216_10,0,1,1,0,0,1,0,1,2,1
216_9,0,1,1,2,0,1,0,1,2,1
173_4,1,1,1,1,0,1,0,1,2,1
211_6,1,1,1,1,0,1,0,1,2,1
216_8,1,1,1,1,0,1,0,1,2,1
216_7,1,1,1,1,0,1,0,1,2,1
211_5,1,1,1,1,0,1,0,1,2,1
216_6,1,1,1,1,0,1,0,1,2,1
216_5,1,1,1,1,0,1,0,1,2,1
