[&R] (((((216_5:0,216_6:0)211_5:0,(216_7:0,216_8:0)211_6:1)173_4:0,(216_9:0,216_10:1)176_6:0)124_2:1.202,((216_3:0.086,216_4:2.086)171_2:0.004,(216_1:0.11,216_2:1.11)176_1:1.98)126_1:1.112)57_1:5.798)I0;
I0,0,0,0,0,0,0,0,0,0,0
57_1,0,0,0:0.03/2:0.97,0,0:0.03/1:0.97,0:0.03/2:0.97,0:0.03/1:0.97,0,0:0.03/2:0.97,0:0.03/1:0.97
126_1,0:0.07/1:0.93,0,2,0,1,2,1,0,2,1
176_1,1,0:0.05/1:0.95,2,0,1,2,1,0:0.05/2:0.95,2,1
216_2,1,1,2,1,1,2,1,2,2,1
216_1,1,1,2,0,1,2,1,2,2,1
171_2,0:0.07/1:0.93,0,2,0,1,2,1,0,2,1
216_4,1,0,2,2,1,2,1,2,2,1
216_3,1,0,2,0,1,2,1,0,2,1
124_2,0,0,2,1,1,2,1,0,2,1
176_6,0,0,2,1,1,2,1,0,2,1
216_10,0,1,2,1,1,2,1,0,2,1
216_9,0,0,2,1,1,2,1,0,2,1
173_4,0,0,2,1,1,2,1,0,2,1
211_6,0,0,2,1,1,2,1,1,2,1
216_8,0,0,2,1,1,2,1,1,2,1
216_7,0,0,2,1,1,2,1,1,2,1
211_5,0,0,2,1,1,2,1,0,2,1
216_6,0,0,2,1,1,2,1,0,2,1
216_5,0,0,2,1,1,2,1,0,2,1
