[&R] (((((216_5:0.002,216_6:1.002)211_5:13.935,(216_7:3.035,216_8:1.035)211_6:8.902)173_4:18.179,(216_9:6.964,216_10:15.964)176_6:18.152)124_2:39.003,((216_3:10.918,216_4:9.918)171_2:20.5,(216_1:5.204,216_2:4.204)176_1:25.214)126_1:45.701)57_1:74.881)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57_1,0,0,0:0.1/1:0.9,0,0,0:0.1/2:0.9,0,0,0,0:0.1/2:0.9,0,0,0,0,0,0:0.1/2:0.9,0,0:0.1/1:0.9,0:0.1/2:0.9,0,0,0,0,0,0:0.1/2:0.9,0:0.1/1:0.9,0,0,0,0,0:0.1/1:0.9,0:0.1/2:0.9,0,0,0:0.1/2:0.9,0,0,0:0.1/2:0.9,0,0,0,0,0:0.1/1:0.9,0:0.1/1:0.9,0:0.1/1:0.9,0,0,0,0,0,0,0,0:0.1/2:0.9,0:0.1/2:0.9,0,0,0:0.1/2:0.9,0,0:0.1/2:0.9,0,0,0,0:0.1/1:0.9,0,0,0,0,0,0,0,0:0.1/2:0.9,0:0.1/2:0.9,0,0,0,0,0:0.1/2:0.9,0,0,0,0,0,0:0.1/2:0.9,0:0.1/1:0.9,0:0.1/2:0.9,0,0,0:0.1/2:0.9,0:0.1/1:0.9,0:0.1/1:0.9,0:0.1/1:0.9,0:0.1/1:0.9,0:0.1/1:0.9,0,0:0.1/1:0.9,0,0,0:0.1/2:0.9,0:0.1/1:0.9,0:0.1/2:0.9,0:0.1/1:0.9,0,0:0.1/2:0.9,0,0:0.1/2:0.9,0,0,0,0:0.1/1:0.9,0,0:0.1/1:0.9,0,0,0,0,0:0.1/2:0.9,0,0:0.1/2:0.9,0:0.1/1:0.9,0,0,0:0.1/2:0.9,0,0:0.1/1:0.9,0:0.1/2:0.9,0:0.1/2:0.9,0,0,0,0,0,0:0.1/2:0.9,0:0.1/1:0.9,0:0.1/1:0.9,0,0:0.1/2:0.9,0,0,0,0,0,0:0.1/1:0.9,0:0.1/1:0.9,0:0.1/2:0.9,0,0,0,0,0:0.1/1:0.9,0,0:0.1/2:0.9,0,0:0.1/2:0.9,0,0,0:0.1/2:0.9,0:0.1/1:0.9,0,0,0:0.1/2:0.9,0,0,0:0.1/2:0.9,0:0.1/1:0.9,0:0.1/1:0.9,0,0,0,0,0,0,0,0:0.1/1:0.9,0,0:0.1/1:0.9,0,0,0:0.1/2:0.9,0:0.1/2:0.9,0:0.1/2:0.9,0,0:0.1/1:0.9,0,0,0:0.1/2:0.9,0:0.1/2:0.9,0,0:0.1/2:0.9,0:0.1/1:0.9,0,0:0.1/2:0.9,0:0.1/2:0.9,0:0.1/1:0.9,0,0:0.1/1:0.9,0:0.1/1:0.9,0:0.1/2:0.9,0:0.1/2:0.9,0:0.1/1:0.9,0:0.1/2:0.9
126_1,0,0,0:0.01/1:0.99,0:0.07/1:0.93,0,0:0.01/2:0.99,0,0,0,0:0.01/2:0.99,0:0.07/1:0.93,0,0,0,0:0.07/2:0.93,0:0.01/2:0.99,0:0.07/1:0.93,0:0.01/1:0.99,0:0.01/2:0.99,0:0.07/2:0.93,0,0,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0:0.07/2:0.93,0:0.07/2:0.93,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.07/1:0.93,0,0:0.01/2:0.99,0,0,0:0.07/1:0.93,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0,0:0.07/2:0.93,0,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0,0,0:0.01/1:0.99,0:0.07/1:0.93,0,0,0,0,0,0:0.07/2:0.93,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0:0.07/2:0.93,0,0:0.01/2:0.99,0,0,0:0.07/1:0.93,0:0.07/2:0.93,0:0.07/2:0.93,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.07/1:0.93,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.07/1:0.93,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0,0:0.07/1:0.93,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0:0.07/1:0.93,0,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.07/2:0.93,0,0:0.01/2:0.99,0:0.07/1:0.93,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.07/1:0.93,0:0.07/1:0.93,0,0:0.07/1:0.93,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.07/1:0.93,0:0.01/2:0.99,0:0.07/2:0.93,0:0.07/2:0.93,0,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.07/2:0.93,0:0.07/2:0.93,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.07/2:0.93,0:0.01/2:0.99,0:0.07/2:0.93,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.07/1:0.93,0,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.07/1:0.93,0:0.07/2:0.93,0,0:0.07/1:0.93,0,0:0.07/1:0.93,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.07/2:0.93,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.07/1:0.93,0:0.01/1:0.99,0,0:0.07/2:0.93,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.07/1:0.93,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99
176_1,0,0:0.01/2:0.99,1,1,0,2,0,0,0,2,1,0:0.01/1:0.99,0,0,2,2,1,1,2,2,0,0:0.01/2:0.99,0,0,2,1,0,0,2,2,1,2,0,0,2,1,0,2,0,0:0.01/1:0.99,1,0,1,1,1,0:0.01/1:0.99,0,0,2,0,0,0,2,2,0,0:0.01/2:0.99,2,0,2,0:0.01/2:0.99,0,0,1,1,0,0:0.01/2:0.99,0,0,0:0.01/2:0.99,2,2,2,0,0:0.01/1:0.99,2,0,2,0:0.01/1:0.99,0,1,2,2,2,1,2,1,0,2,1,1,1,1,1,0,1,1,0,2,1,2,1,0:0.01/1:0.99,2,0,2,0,0,1,1,0,1,0,1,0,0,2,0,2,1,2,0:0.01/2:0.99,2,1,1,2,2,0,1,1,0,1,2,1,1,1,2,2,2,0:0.01/1:0.99,0,0,1,1,2,0:0.01/2:0.99,0:0.01/2:0.99,2,2,1,0,2,2,2,2,0:0.01/2:0.99,2,1,1,0,2,0,0:0.01/2:0.99,2,1,1,1,2,0,1,0,1,0:0.01/1:0.99,1,0,1,2,0,2,2,2,1,1,0:0.01/1:0.99,2,2,2,0:0.01/1:0.99,2,1,0:0.01/2:0.99,2,2,1,1,1,1,2,2,1,2
216_2,1,2,1,1,0,2,0,2,0,2,1,1,0,0,2,2,1,1,2,2,0,2,0,1,2,1,0,0,2,2,1,2,0,0,2,1,1,2,0,1,1,0,1,1,1,1,0,0,2,0,0,0,2,2,0,2,2,0,2,2,0,0,1,1,0,2,0,0,2,2,2,2,0,1,2,0,2,1,0,1,2,2,2,1,2,1,0,2,1,1,1,1,1,0,1,1,0,2,1,2,1,1,2,0,2,0,0,1,1,0,1,0,1,0,0,2,0,2,1,2,2,2,1,1,2,2,0,1,1,0,1,2,1,1,1,2,2,2,1,0,0,1,1,2,2,2,2,2,1,0,2,2,2,2,2,2,1,1,0,2,0,2,2,1,1,1,2,0,1,0,1,1,1,0,1,2,0,2,2,2,1,1,1,2,2,2,1,2,1,2,2,2,1,1,1,1,2,2,1,2
216_1,0,2,1,1,0,2,0,0,0,2,1,1,0,0,2,2,1,1,2,2,0,2,0,0,2,1,0,0,2,2,1,2,0,2,2,1,0,2,2,1,1,0,1,1,1,1,0,2,2,0,0,0,2,2,0,2,2,0,2,2,0,0,1,1,0,2,0,2,2,2,2,2,0,1,2,0,2,1,0,1,2,2,2,1,2,1,0,2,1,1,1,1,1,0,1,1,1,2,1,2,1,1,2,0,2,0,0,1,1,0,1,0,1,0,0,2,0,2,1,2,2,2,1,1,2,2,0,1,1,0,1,2,1,1,1,2,2,2,1,0,0,1,1,2,2,2,2,2,1,0,2,2,2,2,2,2,1,1,0,2,0,2,2,1,1,1,2,0,1,0,1,1,1,0,1,2,0,2,2,2,1,1,1,2,2,2,1,2,1,2,2,2,1,1,1,1,2,2,1,2
171_2,0,0,1,1,0,2,0:0.04/2:0.96,0,0,2,1,0,0:0.04/1:0.96,0,2,2,1,1,2,2,0,0,0:0.04/1:0.96,0,2,1,0:0.04/1:0.96,0,2,2,1,2,0,0,2,1,0:0.04/2:0.96,2,0,0,1,0,1,1,1,0,0,0,2,0,0,0,2,2,0,0,2,0,2,0:0.04/1:0.96,0,0,1,1,0:0.04/1:0.96,0,0,0,0,2,2,2,0:0.04/2:0.96,0:0.04/2:0.96,2,0:0.04/1:0.96,2,0,0,1,2,2,2,1,2,1,0:0.04/2:0.96,2,1,1,1,1,1,0:0.04/2:0.96,1,1,0,2,1,2,1,0,2,0:0.04/2:0.96,2,0,0:0.04/1:0.96,1,1,0,1,0,1,0:0.04/1:0.96,0,2,0,2,1,2,0,2,1,1,2,2,0,1,1,0,1,2,1,1,1,2,2,2,0,0:0.04/1:0.96,0:0.04/1:0.96,1,1,2,0,0,2,2,1,0,2,2,2,2,0,2,1,1,0,2,0,0,2,1,1,1,2,0,1,0,1,0,1,0:0.04/2:0.96,1,2,0,2,2,2,1,1,0,2,2,2,0,2,1,0,2,2,1,1,1,1,2,2,1,2
216_4,0,0,1,1,0,2,2,0,1,2,1,0,1,0,2,2,1,1,2,2,2,1,1,0,2,1,1,1,2,2,1,2,0,0,2,1,2,2,0,0,1,0,1,1,1,0,0,0,2,0,0,0,2,2,0,0,2,0,2,1,0,0,1,1,1,0,0,0,2,2,2,2,2,2,2,1,2,0,0,1,2,2,2,1,2,1,2,2,1,1,1,1,1,2,1,1,0,2,1,2,1,0,2,2,2,0,1,1,1,0,1,0,1,1,1,2,0,2,1,2,0,2,1,1,2,2,0,1,1,2,1,2,1,1,1,2,2,2,0,1,1,1,1,2,2,0,2,2,1,0,2,2,2,2,0,2,1,1,0,2,0,0,2,1,1,1,2,0,1,0,1,0,1,2,1,2,0,2,2,2,1,1,0,2,2,2,0,2,1,1,2,2,1,1,1,1,2,2,1,2
216_3,1,0,1,1,0,2,2,0,0,2,1,2,1,0,2,2,1,1,2,2,0,0,1,0,2,1,1,2,2,2,1,2,0,0,2,1,2,2,0,2,1,0,1,1,1,0,0,0,2,0,2,0,2,2,0,0,2,0,2,1,0,0,1,1,1,0,0,0,0,2,2,2,2,2,2,1,2,0,0,1,2,2,2,1,2,1,2,2,1,1,1,1,1,2,1,1,0,2,1,2,1,0,2,2,2,1,1,1,1,1,1,0,1,1,0,2,0,2,1,2,0,2,1,1,2,2,0,1,1,0,1,2,1,1,1,2,2,2,0,1,1,1,1,2,1,2,2,2,1,0,2,2,2,2,0,2,1,1,0,2,0,2,2,1,1,1,2,0,1,0,1,0,1,2,1,2,0,2,2,2,1,1,0,2,2,2,0,2,1,0,2,2,1,1,1,1,2,2,1,2
124_2,0,0:0.05/1:0.95,0:0.01/1:0.99,0:0.05/2:0.95,0,0:0.01/2:0.99,0:0.05/2:0.95,0,0:0.05/2:0.95,0:0.01/2:0.99,0,0,0,0:0.05/2:0.95,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.05/1:0.95,0,0:0.05/2:0.95,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.05/1:0.95,0,0:0.01/2:0.99,0,0:0.05/2:0.95,0:0.01/2:0.99,0,0,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.05/1:0.95,0,0,0,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0:0.05/2:0.95,0:0.05/1:0.95,0:0.01/1:0.99,0,0:0.05/1:0.95,0:0.05/1:0.95,0,0:0.05/1:0.95,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0,0:0.05/1:0.95,0:0.01/2:0.99,0,0,0:0.05/2:0.95,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.05/2:0.95,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.05/1:0.95,0,0,0:0.01/1:0.99,0:0.05/1:0.95,0:0.01/1:0.99,0,0:0.05/2:0.95,0:0.05/2:0.95,0:0.05/1:0.95,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.05/2:0.95,0:0.05/2:0.95,0,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0,0,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.05/1:0.95,0,0:0.01/1:0.99,0:0.05/1:0.95,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.05/2:0.95,0,0:0.05/2:0.95,0,0:0.05/1:0.95,0,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.05/1:0.95,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.05/2:0.95,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.05/2:0.95,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99
176_6,0,1,1,2,0,2,2,0,2,2,0:0.05/2:0.95,0,0,2,0,2,0:0.05/2:0.95,1,2,0,0,1,0,2,2,1,0,0:0.05/2:0.95,0,0:0.05/2:0.95,1,2,1,0,2,0,2,2,0:0.05/2:0.95,0,0:0.05/2:0.95,0,1,1,1,0,1,0,0,0:0.05/2:0.95,0,0,2,2,0,0:0.05/2:0.95,2,0,2,0,2,1,1,0,1,1,0,1,0,0,2,2,0,0,0:0.05/2:0.95,1,2,0,0,2,0:0.05/1:0.95,0,2,1,2,0,0,2,1,1,1,1,1,2,1,0:0.05/1:0.95,0:0.05/2:0.95,2,1,2,1,0,2,0,2,1,0,0,1,1,1,0,2,2,1,2,0,2,1,0,0,2,0,1,2,2,2,2,0,0:0.05/1:0.95,0,2,1,1,0:0.05/1:0.95,2,0,0,0,0,0,1,1,2,0,0,1,0,1,1,2,0,2,0,0:0.05/1:0.95,2,1,0,0,2,0,0,2,1,1,2,0,2,0:0.05/1:0.95,1,0,0:0.05/2:0.95,1,0,1,1,0,2,2,2,0,1,2,0,2,2,2,2,1,0,2,2,1,0,1,1,2,2,1,2
