[&R] (((((216_9:0,216_10:0)212_9:0.331,(216_11:0.096,216_12:1.096)213_11:2.235)167_5:0.833,(216_13:0.236,216_14:2.236)173_7:0.928)118_2:2.33,((216_3:0.066,216_4:1.066)205_2:2.149,(216_1:0,216_2:0)207_1:0.215)164_1:2.279)60_1:3.506)I0;
I0,0,0,0,0,0,0,0,0,0,0
60_1,0,0,0:0.12/2:0.88,0:0.12/2:0.88,0,0:0.12/2:0.88,0,0:0.12/1:0.88,0,0
164_1,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.09/2:0.91,0:0.01/1:0.99,0:0.09/2:0.91,0
207_1,0,0,2,2,0,2,2,1,2,0
216_2,0,0,2,2,0,2,2,1,2,0
216_1,0,0,2,2,0,2,2,1,2,0
205_2,0,0:0.03/1:0.97,2,2,0,2,2,1,2,0:0.03/1:0.97
216_4,0,1,2,2,2,2,2,1,2,1
216_3,0,1,2,2,0,2,2,1,2,1
118_2,0,0:0.07/2:0.93,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.07/1:0.93,0
173_7,0,0:0.01/2:0.99,2,2,0,2,0:0.2/2:0.8,1,0:0.01/1:0.99,0
216_14,0,2,2,2,1,2,2,1,1,2
216_13,0,2,2,2,0,2,2,1,1,0
167_5,0:0.28/2:0.72,0:0.02/2:0.98,2,2,0,2,0,1,0:0.02/1:0.98,0
213_11,0:0.01/2:0.99,2,2,2,0:0.04/2:0.96,2,0,1,1,0:0.04/2:0.96
216_12,2,2,2,2,2,2,1,1,1,2
216_11,2,2,2,2,2,2,0,1,1,2
212_9,2,2,2,2,0,2,0,1,1,0
216_10,2,2,2,2,0,2,0,1,1,0
216_9,2,2,2,2,0,2,0,1,1,0
