[&R] (((((216_9:0,216_10:0)212_9:1.071,(216_11:0,216_12:0)213_11:1.071)167_5:0.003,(216_13:1.16,216_14:0.16)173_7:0.914)118_2:5.822,((216_3:0,216_4:0)205_2:0.043,(216_1:0,216_2:0)207_1:1.043)164_1:4.852)60_1:2.105)I0;
I0,0,0,0,0,0,0,0,0,0,0
60_1,0,0:0.47/2:0.53,0,0:0.47/2:0.53,0,0:0.47/2:0.53,0,0,0:0.47/1:0.53,0
164_1,0,2,0:0.01/1:0.99,2,0,2,0:0.01/2:0.99,0:0.01/1:0.99,1,0
207_1,0,2,1,2,2,2,2,1,1,0
216_2,0,2,1,2,2,2,2,1,1,0
216_1,0,2,1,2,2,2,2,1,1,0
205_2,0,2,1,2,0,2,2,1,1,0
216_4,0,2,1,2,0,2,2,1,1,0
216_3,0,2,1,2,0,2,2,1,1,0
118_2,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99
173_7,1,2,0:0.15/1:0.85,2,1,2,0,2,1,2
216_14,1,2,1,2,1,2,0,2,1,2
216_13,1,2,1,2,1,2,2,2,1,2
167_5,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99
213_11,1,2,0,2,1,2,2,2,1,2
216_12,1,2,0,2,1,2,2,2,1,2
216_11,1,2,0,2,1,2,2,2,1,2
212_9,1,2,1,2,1,2,0,2,1,2
216_10,1,2,1,2,1,2,0,2,1,2
216_9,1,2,1,2,1,2,0,2,1,2
