[&R] (((((216_9:0,216_10:0)212_9:0,(216_11:0,216_12:0)213_11:0)167_5:3.957,(216_13:0,216_14:0)173_7:1.957)118_2:1.224,((216_3:0,216_4:0)205_2:1.03,(216_1:0,216_2:0)207_1:1.03)164_1:0.151)60_1:4.819)I0;
I0,0,0,0,0,0,0,0,0,0,0
60_1,0,0,0,0:0.04/2:0.96,0:0.04/2:0.96,0:0.04/2:0.96,0,0:0.04/2:0.96,0,0:0.04/1:0.96
164_1,0,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0:0.01/1:0.99
207_1,0,0,0,2,2,2,0,2,1,1
216_2,0,0,0,2,2,2,0,2,1,1
216_1,0,0,0,2,2,2,0,2,1,1
205_2,0,0,1,2,2,2,0,2,0,1
216_4,0,0,1,2,2,2,0,2,0,1
216_3,0,0,1,2,2,2,0,2,0,1
118_2,0:0.44/1:0.56,0,0,0:0.02/2:0.98,0:0.02/2:0.98,0:0.02/2:0.98,0,0:0.02/2:0.98,0:0.44/2:0.56,0:0.02/1:0.98
173_7,1,0,0,2,2,2,2,2,2,1
216_14,1,0,0,2,2,2,2,2,2,1
216_13,1,0,0,2,2,2,2,2,2,1
167_5,1,2,2,2,2,2,1,2,2,1
213_11,1,2,2,2,2,2,1,2,2,1
216_12,1,2,2,2,2,2,1,2,2,1
216_11,1,2,2,2,2,2,1,2,2,1
212_9,1,2,2,2,2,2,1,2,2,1
216_10,1,2,2,2,2,2,1,2,2,1
216_9,1,2,2,2,2,2,1,2,2,1
