[&R] (((((216_9:0,216_10:0)212_9:1.035,(216_11:0,216_12:0)213_11:0.035)167_5:0.99,(216_13:1.023,216_14:2.023)173_7:0.002)118_2:1.198,((216_3:0,216_4:0)205_2:2.032,(216_1:1.015,216_2:0.015)207_1:0.017)164_1:2.192)60_1:3.777)I0;
I0,0,0,0,0,0,0,0,0,0,0
60_1,0:0.06/2:0.94,0,0:0.06/1:0.94,0,0:0.06/2:0.94,0,0,0:0.06/2:0.94,0,0
164_1,2,0,1,0:0.01/1:0.99,2,0,0:0.01/1:0.99,2,0,0
207_1,2,0,1,0:0.01/1:0.99,2,0,0:0.01/1:0.99,2,0,0
216_2,2,0,1,1,2,0,1,2,0,0
216_1,2,0,1,1,2,0,1,2,0,2
205_2,2,1,1,1,2,0,1,2,1,0
216_4,2,1,1,1,2,0,1,2,1,0
216_3,2,1,1,1,2,0,1,2,1,0
118_2,2,0,1,0,2,0,0,2,0:0.02/1:0.98,0
173_7,2,0,1,0,2,0,0,2,0:0.02/1:0.98,0
216_14,2,0,1,2,2,0,2,2,1,0
216_13,2,0,1,1,2,0,0,2,1,0
167_5,2,0,1,0,2,0,0:0.03/2:0.97,2,1,0
213_11,2,0,1,0,2,0,2,2,1,0
216_12,2,0,1,0,2,0,2,2,1,0
216_11,2,0,1,0,2,0,2,2,1,0
212_9,2,0,1,0,2,2,2,2,1,0
216_10,2,0,1,0,2,2,2,2,1,0
216_9,2,0,1,0,2,2,2,2,1,0
