[&R] (((((216_9:0.001,216_10:0.001)212_9:16.975,(216_11:2.02,216_12:1.02)213_11:17.956)167_5:15.272,(216_13:13.05,216_14:11.05)173_7:23.198)118_2:22.585,((216_3:0,216_4:0)205_2:5.474,(216_1:2.044,216_2:2.044)207_1:8.43)164_1:61.358)60_1:85.168)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60_1,0:0.07/1:0.93,0,0:0.07/2:0.93,0,0,0,0,0:0.07/2:0.93,0:0.07/2:0.93,0,0:0.07/2:0.93,0:0.07/1:0.93,0,0,0:0.07/2:0.93,0,0:0.07/2:0.93,0,0,0,0,0:0.07/1:0.93,0,0:0.07/2:0.93,0,0,0,0:0.07/2:0.93,0,0,0:0.07/2:0.93,0:0.07/2:0.93,0:0.07/1:0.93,0:0.07/1:0.93,0:0.07/2:0.93,0:0.07/1:0.93,0,0,0,0:0.07/2:0.93,0:0.07/1:0.93,0,0,0,0,0,0,0,0,0:0.07/2:0.93,0:0.07/1:0.93,0,0,0,0:0.07/1:0.93,0:0.07/1:0.93,0,0:0.07/2:0.93,0,0,0:0.07/2:0.93,0,0,0,0,0:0.07/1:0.93,0,0:0.07/1:0.93,0:0.07/2:0.93,0,0,0,0:0.07/1:0.93,0:0.07/1:0.93,0,0,0,0,0,0:0.07/1:0.93,0,0,0,0:0.07/2:0.93,0:0.07/2:0.93,0:0.07/2:0.93,0,0:0.07/1:0.93,0,0,0,0:0.07/1:0.93,0:0.07/1:0.93,0,0,0,0,0:0.07/1:0.93,0,0,0:0.07/2:0.93,0,0,0:0.07/2:0.93,0:0.07/2:0.93,0:0.07/2:0.93,0,0,0:0.07/2:0.93,0:0.07/2:0.93,0,0,0:0.07/1:0.93,0:0.07/1:0.93,0,0,0:0.07/1:0.93,0,0:0.07/1:0.93,0:0.07/2:0.93,0,0,0:0.07/2:0.93,0:0.07/1:0.93,0:0.07/1:0.93,0,0,0,0,0:0.07/1:0.93,0,0,0:0.07/2:0.93,0:0.07/2:0.93,0:0.07/1:0.93,0,0:0.07/1:0.93,0,0:0.07/2:0.93,0:0.07/1:0.93,0:0.07/1:0.93,0,0:0.07/2:0.93,0,0:0.07/2:0.93,0,0,0,0,0:0.07/1:0.93,0,0,0:0.07/1:0.93,0:0.07/1:0.93,0,0:0.07/1:0.93,0:0.07/1:0.93,0,0:0.07/1:0.93,0:0.07/2:0.93,0:0.07/2:0.93,0:0.07/2:0.93,0,0:0.07/2:0.93,0,0:0.07/1:0.93,0,0,0:0.07/2:0.93,0:0.07/1:0.93,0:0.07/1:0.93,0,0:0.07/1:0.93,0,0:0.07/1:0.93,0:0.07/2:0.93,0,0:0.07/2:0.93,0,0:0.07/1:0.93,0,0,0:0.07/2:0.93,0:0.07/1:0.93,0:0.07/1:0.93,0:0.07/2:0.93,0:0.07/2:0.93,0:0.07/1:0.93,0,0:0.07/2:0.93,0,0:0.07/2:0.93,0,0,0,0:0.07/1:0.93,0,0:0.07/1:0.93,0,0:0.07/2:0.93
164_1,1,0:0.01/2:0.99,2,0,0:0.01/2:0.99,0,0:0.01/1:0.99,2,2,0,2,1,0:0.01/2:0.99,0:0.01/2:0.99,2,0:0.01/1:0.99,2,0:0.01/1:0.99,0,0,0:0.01/1:0.99,1,0,2,0:0.01/1:0.99,0,0:0.01/2:0.99,2,0:0.01/1:0.99,0,2,2,1,1,2,1,0:0.01/1:0.99,0,0,2,1,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/2:0.99,2,1,0,0:0.01/1:0.99,0,1,1,0,2,0,0,2,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,1,0,1,2,0,0,0:0.01/1:0.99,1,1,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,1,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,2,2,2,0:0.01/1:0.99,1,0:0.01/2:0.99,0:0.01/2:0.99,0,1,1,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,1,0:0.01/2:0.99,0,2,0:0.01/1:0.99,0,2,2,2,0:0.01/1:0.99,0,2,2,0:0.01/1:0.99,0,1,1,0,0,1,0,1,2,0:0.01/1:0.99,0:0.01/2:0.99,2,1,1,0:0.01/1:0.99,0,0,0:0.01/2:0.99,1,0,0:0.01/1:0.99,2,2,1,0,1,0:0.01/2:0.99,2,1,1,0,2,0:0.01/1:0.99,2,0,0:0.01/2:0.99,0:0.01/2:0.99,0,1,0,0,1,1,0:0.01/1:0.99,1,1,0,1,2,2,2,0,2,0:0.01/2:0.99,1,0,0,2,1,1,0:0.01/1:0.99,1,0,1,2,0:0.01/1:0.99,2,0,1,0,0:0.01/2:0.99,2,1,1,2,2,1,0,2,0:0.01/2:0.99,2,0,0:0.01/1:0.99,0,1,0,1,0:0.01/1:0.99,2
207_1,1,2,2,0,2,0:0.01/2:0.99,1,2,2,0,2,1,2,2,2,1,2,1,0:0.01/1:0.99,0,1,1,0,2,1,0,2,2,1,0,2,2,1,1,2,1,1,0:0.01/1:0.99,0,2,1,2,0,1,0,2,0:0.01/2:0.99,1,2,2,1,0,1,0,1,1,0,2,0,0,2,2,0,1,1,1,0,1,2,0,0,1,1,1,0,1,0,2,1,1,1,1,2,2,2,2,1,1,2,2,0,1,1,1,1,1,0,1,2,0,2,1,0,2,2,2,1,0,2,2,1,0,1,1,0,0:0.01/1:0.99,1,0:0.01/1:0.99,1,2,1,2,2,1,1,1,0,0,2,1,0,1,2,2,1,0,1,2,2,1,1,0,2,1,2,0,2,2,0,1,0,0,1,1,1,1,1,0:0.01/2:0.99,1,2,2,2,0,2,2,1,0,0,2,1,1,1,1,0,1,2,1,2,0,1,0:0.01/1:0.99,2,2,1,1,2,2,1,0,2,2,2,0,1,0,1,0,1,1,2
216_2,1,2,2,0,2,2,1,2,2,0,2,1,2,2,2,1,2,1,1,0,1,1,0,2,1,0,2,2,1,0,2,2,1,1,2,1,1,1,0,2,1,2,0,1,0,2,2,1,2,2,1,0,1,0,1,1,0,2,1,0,2,2,0,1,1,1,0,1,2,0,0,1,1,1,0,1,0,2,1,1,1,1,2,2,2,2,1,1,2,2,0,1,1,1,1,1,0,1,2,0,2,1,0,2,2,2,1,0,2,2,1,0,1,1,0,1,1,1,1,2,1,2,2,1,1,1,0,0,2,1,0,1,2,2,1,0,1,2,2,1,1,0,2,1,2,0,2,2,0,1,0,0,1,1,1,1,1,2,1,2,2,2,0,2,2,1,0,2,2,1,1,1,1,0,1,2,1,2,0,1,1,2,2,1,1,2,2,1,0,2,2,2,0,1,0,1,0,1,1,2
216_1,1,2,2,0,2,2,1,2,2,0,2,1,2,2,2,1,2,1,1,0,1,1,0,2,1,0,2,2,1,0,2,2,1,1,2,1,1,1,0,2,1,2,0,1,0,2,2,1,2,2,1,0,1,0,1,1,0,2,0,0,2,2,0,1,1,1,0,1,2,0,0,1,1,1,0,1,0,2,1,1,1,1,2,2,2,2,1,1,2,2,0,1,1,1,1,1,0,1,2,0,2,1,0,2,2,2,1,0,2,2,1,0,1,1,0,1,1,1,1,2,1,2,2,1,1,1,0,0,2,1,0,1,2,2,1,0,1,2,2,1,1,0,2,1,2,0,2,2,0,1,0,2,1,1,1,1,1,2,1,2,2,2,0,2,2,1,0,0,2,1,1,1,1,0,1,2,1,2,0,1,1,2,2,1,1,2,2,1,0,2,2,2,0,1,0,1,1,1,1,2
205_2,1,2,2,0,2,0,1,2,2,0,2,1,2,2,2,1,2,1,0,1,1,1,0,2,1,0,2,2,1,0,2,2,1,1,2,1,1,0,0,2,1,2,0,1,0,2,0,1,2,2,1,0,1,0,1,1,0,2,0,0,2,2,0,1,1,1,0,1,2,0,0,1,1,1,0,1,0,2,1,1,1,1,2,2,2,2,1,1,2,2,0,1,1,1,1,1,2,1,2,0,2,1,0,2,2,2,1,0,2,2,1,2,1,1,0,0,1,0,1,2,1,2,2,1,1,1,0,0,2,1,0,1,2,2,1,0,1,2,2,1,1,0,2,1,2,2,2,2,0,1,0,0,1,1,1,1,1,0,1,2,2,2,0,2,2,1,0,0,2,1,1,1,1,2,1,2,1,2,0,1,0,2,2,1,1,2,2,1,0,2,2,2,0,1,0,1,0,1,1,2
216_4,1,2,2,0,2,0,1,2,2,0,2,1,2,2,2,1,2,1,0,1,1,1,0,2,1,0,2,2,1,0,2,2,1,1,2,1,1,0,0,2,1,2,0,1,0,2,0,1,2,2,1,0,1,0,1,1,0,2,0,0,2,2,0,1,1,1,0,1,2,0,0,1,1,1,0,1,0,2,1,1,1,1,2,2,2,2,1,1,2,2,0,1,1,1,1,1,2,1,2,0,2,1,0,2,2,2,1,0,2,2,1,2,1,1,0,0,1,0,1,2,1,2,2,1,1,1,0,0,2,1,0,1,2,2,1,0,1,2,2,1,1,0,2,1,2,2,2,2,0,1,0,0,1,1,1,1,1,0,1,2,2,2,0,2,2,1,0,0,2,1,1,1,1,2,1,2,1,2,0,1,0,2,2,1,1,2,2,1,0,2,2,2,0,1,0,1,0,1,1,2
216_3,1,2,2,0,2,0,1,2,2,0,2,1,2,2,2,1,2,1,0,1,1,1,0,2,1,0,2,2,1,0,2,2,1,1,2,1,1,0,0,2,1,2,0,1,0,2,0,1,2,2,1,0,1,0,1,1,0,2,0,0,2,2,0,1,1,1,0,1,2,0,0,1,1,1,0,1,0,2,1,1,1,1,2,2,2,2,1,1,2,2,0,1,1,1,1,1,2,1,2,0,2,1,0,2,2,2,1,0,2,2,1,2,1,1,0,0,1,0,1,2,1,2,2,1,1,1,0,0,2,1,0,1,2,2,1,0,1,2,2,1,1,0,2,1,2,2,2,2,0,1,0,0,1,1,1,1,1,0,1,2,2,2,0,2,2,1,0,0,2,1,1,1,1,2,1,2,1,2,0,1,0,2,2,1,1,2,2,1,0,2,2,2,0,1,0,1,0,1,1,2
118_2,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0,0,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0,0,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.09/1:0.91,0,0,0:0.09/1:0.91,0:0.09/1:0.91,0,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.09/2:0.91,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.09/1:0.91,0,0,0,0:0.01/1:0.99,0:0.09/1:0.91,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.09/2:0.91,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0,0,0,0:0.01/1:0.99,0,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0,0:0.09/1:0.91,0:0.01/1:0.99,0:0.01/1:0.99,0:0.09/2:0.91,0,0,0,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.09/2:0.91,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0:0.09/1:0.91,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0:0.09/1:0.91,0,0:0.01/1:0.99,0:0.09/1:0.91,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0,0,0,0:0.01/1:0.99,0:0.09/1:0.91,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.09/2:0.91,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.09/2:0.91,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.09/2:0.91,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0,0:0.09/1:0.91,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0:0.01/2:0.99
173_7,1,0,2,0:0.04/1:0.96,0:0.04/2:0.96,0,0:0.04/1:0.96,2,2,0,2,1,0:0.04/1:0.96,0,2,0,2,0,0,0,0,1,0,2,0,0:0.04/1:0.96,0,2,0,0,2,2,1,1,2,1,0,0,0:0.04/2:0.96,2,1,1,0,0,1,1,0,0,0,2,1,0,2,0,1,1,0:0.04/1:0.96,2,0:0.04/1:0.96,0,2,1,0,0:0.04/1:0.96,0:0.04/1:0.96,1,1,1,2,0,0,2,1,1,0,0,0,0,0,1,0:0.04/2:0.96,0:0.04/2:0.96,0:0.04/1:0.96,2,2,2,0,1,0,0,1,1,1,2,0,0,0:0.04/2:0.96,1,0,0,2,0,0,2,2,2,0:0.04/2:0.96,0:0.04/2:0.96,2,2,2,0,1,1,0,0,1,1,1,2,0,0,2,1,1,0,0,1,0,1,1,0,2,2,1,0:0.04/2:0.96,1,0,2,1,1,0:0.04/1:0.96,2,0,2,0,0:0.04/1:0.96,0,0,1,1,0:0.04/1:0.96,1,1,0:0.04/2:0.96,1,1,0,1,2,2,2,0,2,0,1,2,0:0.04/1:0.96,2,1,1,0,1,2,1,2,0,2,2,1,0,0,2,1,1,2,2,1,0,2,0,2,0,0,1,1,0,1,0,2
