[&R] (((((216_9:2.019,216_10:1.019)212_9:5.443,(216_11:2.009,216_12:0.009)213_11:10.452)167_5:26.622,(216_13:8.982,216_14:14.982)173_7:20.101)118_2:43.625,((216_3:1.019,216_4:2.019)205_2:16.234,(216_1:1.018,216_2:2.018)207_1:11.236)164_1:61.454)60_1:63.292)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60_1,0:0.14/2:0.86,0:0.14/1:0.86,0,0:0.14/2:0.86,0:0.14/2:0.86,0:0.14/1:0.86,0:0.14/1:0.86,0,0,0,0:0.14/2:0.86,0,0,0,0,0:0.14/2:0.86,0,0:0.14/2:0.86,0:0.14/2:0.86,0,0,0,0:0.14/2:0.86,0,0,0:0.14/2:0.86,0,0,0,0,0,0,0:0.14/2:0.86,0,0:0.14/2:0.86,0:0.14/1:0.86,0:0.14/1:0.86,0:0.14/2:0.86,0:0.14/1:0.86,0:0.14/1:0.86,0,0,0:0.14/2:0.86,0:0.14/2:0.86,0:0.14/2:0.86,0,0,0,0,0,0,0,0,0:0.14/2:0.86,0,0,0,0,0,0,0,0,0,0:0.14/1:0.86,0,0,0,0:0.14/1:0.86,0,0,0:0.14/1:0.86,0:0.14/1:0.86,0:0.14/2:0.86,0,0:0.14/2:0.86,0,0,0,0,0:0.14/1:0.86,0:0.14/1:0.86,0:0.14/2:0.86,0,0,0:0.14/2:0.86,0,0,0:0.14/2:0.86,0,0,0:0.14/1:0.86,0:0.14/1:0.86,0,0:0.14/2:0.86,0:0.14/2:0.86,0,0,0:0.14/1:0.86,0,0,0,0:0.14/1:0.86,0:0.14/2:0.86,0,0,0,0,0,0,0,0:0.14/1:0.86,0:0.14/2:0.86,0,0,0,0,0:0.14/1:0.86,0,0,0:0.14/1:0.86,0:0.14/2:0.86,0,0:0.14/1:0.86,0,0:0.14/1:0.86,0,0:0.14/2:0.86,0:0.14/1:0.86,0,0,0:0.14/2:0.86,0,0,0:0.14/1:0.86,0:0.14/2:0.86,0:0.14/1:0.86,0:0.14/2:0.86,0,0,0,0:0.14/2:0.86,0,0,0:0.14/1:0.86,0:0.14/2:0.86,0,0,0,0,0,0,0,0,0:0.14/1:0.86,0,0,0:0.14/1:0.86,0,0,0,0,0,0,0,0,0,0:0.14/2:0.86,0,0:0.14/1:0.86,0,0:0.14/1:0.86,0,0,0:0.14/1:0.86,0,0:0.14/1:0.86,0,0,0,0:0.14/1:0.86,0,0,0,0:0.14/2:0.86,0,0,0:0.14/1:0.86,0,0,0:0.14/2:0.86,0:0.14/1:0.86,0:0.14/1:0.86,0:0.14/1:0.86,0,0,0:0.14/2:0.86,0,0,0:0.14/2:0.86,0
164_1,2,1,0,2,2,1,1,0,0,0,2,0,0:0.02/2:0.98,0,0:0.02/2:0.98,2,0,2,2,0:0.02/2:0.98,0,0:0.02/2:0.98,2,0:0.02/1:0.98,0:0.02/2:0.98,2,0:0.02/1:0.98,0,0,0,0:0.02/1:0.98,0:0.02/1:0.98,2,0,2,1,1,2,1,1,0,0,2,2,2,0,0:0.02/1:0.98,0,0,0:0.02/2:0.98,0,0,0:0.02/1:0.98,2,0,0:0.02/2:0.98,0,0:0.02/2:0.98,0,0:0.02/1:0.98,0,0:0.02/2:0.98,0:0.02/1:0.98,1,0,0,0,1,0:0.02/2:0.98,0:0.02/1:0.98,1,1,2,0,2,0,0,0,0:0.02/1:0.98,1,1,2,0:0.02/1:0.98,0:0.02/1:0.98,2,0,0,2,0,0,1,1,0,2,2,0:0.02/2:0.98,0,1,0:0.02/2:0.98,0,0,1,2,0:0.02/1:0.98,0,0,0,0,0,0:0.02/2:0.98,1,2,0,0:0.02/1:0.98,0,0,1,0,0:0.02/1:0.98,1,2,0,1,0,1,0,2,1,0,0:0.02/1:0.98,2,0,0,1,2,1,2,0,0,0,2,0,0,1,2,0:0.02/2:0.98,0,0,0,0:0.02/2:0.98,0:0.02/1:0.98,0,0,1,0,0:0.02/2:0.98,1,0,0:0.02/1:0.98,0,0:0.02/1:0.98,0:0.02/1:0.98,0,0:0.02/2:0.98,0,0,2,0:0.02/1:0.98,1,0,1,0:0.02/1:0.98,0,1,0:0.02/1:0.98,1,0:0.02/1:0.98,0:0.02/2:0.98,0:0.02/1:0.98,1,0,0:0.02/2:0.98,0:0.02/2:0.98,2,0:0.02/1:0.98,0,1,0:0.02/2:0.98,0:0.02/1:0.98,2,1,1,1,0,0:0.02/2:0.98,2,0:0.02/1:0.98,0:0.02/1:0.98,2,0:0.02/1:0.98
207_1,2,1,1,2,2,1,1,0,0,2,2,0,2,0,2,2,0,2,2,2,1,2,2,1,2,2,1,0,0,0,1,1,2,0,2,1,1,2,1,1,0,0,2,2,2,1,1,0,0,2,0,0,1,2,0,2,0,2,0,1,0,2,1,1,0,0,0,1,2,1,1,1,2,1,2,0,0,0,1,1,1,2,1,1,2,0,0,2,0,0,1,1,0,2,2,2,0,1,2,1,0,1,2,1,0,0,0,0,0,2,1,2,0,1,0,0,1,0,1,1,2,2,1,2,1,1,2,1,0,1,2,0,0,1,2,1,2,0,0,0,2,0,0,1,2,2,0,0,0,2,1,0,0,1,0,2,1,0,1,0,1,1,0,2,0,1,2,1,1,0,1,1,0,1,1,1,1,2,1,1,0,2,2,2,1,0,1,2,1,2,1,1,1,0,2,2,1,1,2,1
216_2,2,1,1,2,2,1,1,0,0,2,2,0,2,0,2,2,2,2,2,2,1,2,2,1,2,2,1,0,0,0,1,1,2,0,2,1,1,2,1,1,0,0,2,2,2,1,1,0,0,2,1,0,1,2,0,2,0,2,0,1,0,2,1,1,0,0,0,1,2,1,1,1,2,1,2,0,0,0,1,1,1,2,1,1,2,0,0,2,0,0,1,1,0,2,2,2,0,1,2,1,0,1,2,1,0,0,0,0,0,2,1,2,0,1,0,0,1,0,1,1,2,2,1,2,1,1,2,1,0,1,2,0,0,1,2,1,2,0,0,0,2,0,0,1,2,2,0,0,0,2,1,0,0,1,0,2,1,0,1,0,1,1,0,2,0,1,2,1,1,0,1,1,0,1,1,1,1,2,1,1,0,2,2,2,1,0,1,2,1,2,1,1,1,0,2,2,1,1,2,1
216_1,2,1,1,2,2,1,1,0,0,2,2,0,2,0,2,2,0,2,2,2,1,2,2,1,2,2,1,0,0,0,1,1,2,0,2,1,1,2,1,1,0,0,2,2,2,1,1,0,0,2,0,0,1,2,0,2,0,2,0,1,0,2,1,1,0,0,0,1,2,1,1,1,2,1,2,0,0,0,1,1,1,2,1,1,2,0,0,2,0,0,1,1,0,2,2,2,0,1,2,1,0,1,2,1,0,0,0,0,0,2,1,2,0,1,0,0,1,0,1,1,2,2,1,2,1,1,2,1,0,1,2,0,0,1,2,1,2,0,0,0,2,2,0,1,2,2,0,0,0,2,1,0,0,1,0,2,1,0,1,0,1,1,0,2,0,1,2,1,1,0,1,1,0,1,1,1,1,2,1,1,0,2,2,2,1,0,1,2,1,2,1,1,1,0,2,2,1,1,2,1
205_2,2,1,0,2,2,1,1,0,0,0,2,0,2,0,2,2,0,2,2,2,2,2,2,1,2,2,1,0,0,0,1,1,2,0,2,1,1,2,1,1,0,0,2,2,2,2,1,0,0,2,0,0,1,2,0,2,0,2,0,1,0,2,1,1,2,0,0,1,2,1,1,1,2,0,2,2,2,0,1,1,1,2,1,1,2,0,0,2,0,1,1,1,0,2,2,2,2,1,2,0,0,1,2,1,0,0,0,0,0,2,1,2,0,1,0,0,1,0,1,1,2,0,1,0,1,0,2,1,1,1,2,1,1,1,2,1,2,0,2,0,2,0,1,1,2,2,1,0,2,2,1,0,0,1,0,2,1,0,1,0,1,1,0,2,0,0,2,1,1,0,1,1,0,1,1,1,1,2,1,1,1,2,2,2,1,0,1,2,1,2,1,1,1,0,2,2,1,1,2,1
216_4,2,1,0,2,2,1,1,0,0,0,2,0,2,0,2,2,0,2,2,2,2,2,2,1,2,2,1,0,0,0,1,1,2,0,2,1,1,2,1,1,0,0,2,2,2,2,1,0,0,2,0,0,1,2,0,2,0,2,2,1,0,2,1,1,2,0,0,1,2,1,1,1,2,0,2,2,2,0,1,1,1,2,1,1,2,0,0,2,0,1,1,1,0,2,2,2,2,1,2,0,0,1,2,1,0,0,0,0,0,2,1,2,0,1,0,0,1,0,1,1,2,0,1,0,1,0,2,1,1,1,2,1,1,1,2,1,2,0,2,0,2,0,1,1,2,2,1,0,2,2,1,0,1,1,0,2,1,0,1,0,1,1,0,2,0,0,2,1,1,0,1,1,0,1,1,1,1,2,1,1,1,2,2,2,1,0,1,2,1,2,1,1,1,0,2,2,1,1,2,1
216_3,2,1,0,2,2,1,1,0,0,0,2,0,2,0,2,2,0,2,2,2,2,2,2,1,2,2,1,0,0,0,1,1,2,0,2,1,1,2,1,1,0,0,2,2,2,2,1,0,0,2,0,0,1,2,0,2,0,2,0,1,0,2,1,1,2,0,0,1,2,1,1,1,2,0,2,2,2,0,1,1,1,2,1,1,2,0,0,2,0,1,1,1,0,2,2,2,2,1,2,0,0,1,2,1,0,0,0,0,0,2,1,2,0,1,0,0,1,0,1,1,2,2,1,0,1,0,2,1,1,1,2,1,1,1,2,1,2,0,2,0,2,0,1,1,2,2,1,0,2,2,1,0,0,1,0,2,1,0,1,0,1,1,0,2,0,0,2,1,1,0,1,1,0,1,1,1,1,2,1,1,1,2,2,2,1,0,1,2,1,2,1,1,1,0,2,2,1,1,2,1
118_2,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0,0:0.01/2:0.99,0,0,0:0.07/1:0.93,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.07/2:0.93,0,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0,0:0.07/1:0.93,0,0,0,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.07/1:0.93,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0:0.07/2:0.93,0,0:0.07/1:0.93,0:0.07/1:0.93,0,0,0:0.01/2:0.99,0,0,0:0.07/1:0.93,0,0:0.07/1:0.93,0,0,0,0:0.07/2:0.93,0:0.01/1:0.99,0,0:0.07/1:0.93,0,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0:0.07/1:0.93,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.07/2:0.93,0,0:0.01/2:0.99,0:0.07/2:0.93,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.07/2:0.93,0:0.01/2:0.99,0:0.01/2:0.99,0:0.07/1:0.93,0,0:0.01/1:0.99,0,0:0.07/1:0.93,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.07/1:0.93,0,0,0,0:0.07/2:0.93,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.07/1:0.93,0:0.07/2:0.93,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.07/1:0.93,0:0.01/1:0.99,0:0.07/2:0.93,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0,0:0.07/2:0.93,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.07/2:0.93,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0,0,0,0,0,0,0:0.01/1:0.99,0:0.07/1:0.93,0:0.07/1:0.93,0:0.01/1:0.99,0:0.07/1:0.93,0:0.07/2:0.93,0,0,0,0:0.07/2:0.93,0,0,0,0:0.01/2:0.99,0:0.07/2:0.93,0:0.01/1:0.99,0:0.07/1:0.93,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.07/2:0.93,0:0.07/1:0.93,0,0:0.01/1:0.99,0:0.07/1:0.93,0,0,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0:0.07/2:0.93,0,0:0.01/2:0.99,0
173_7,2,1,0,2,2,1,1,0,0:0.05/2:0.95,0,2,0,0,1,0,2,0,2,2,0,2,0,2,0:0.05/2:0.95,0,2,0,1,0,0,0,0,2,0,2,1,1,2,1,1,1,0,2,2,2,0,0,2,0,1,1,0:0.05/1:0.95,0,2,0,0,1,0:0.05/2:0.95,1,0,0:0.05/1:0.95,0,2,1,0,1,0:0.05/2:0.95,1,0,0,1,1,2,0:0.05/1:0.95,2,0:0.05/2:0.95,1,0,0,1,1,2,0,0:0.05/2:0.95,2,2,0,2,2,0,1,1,2,2,2,1,0,1,0,1,0,1,2,0,1,0,0,0,2,0:0.05/2:0.95,1,2,0,0,1,2,1,0,0,1,2,0:0.05/2:0.95,1,1,1,2,2,1,0,0:0.05/2:0.95,2,0,2,1,2,1,2,0,0:0.05/1:0.95,2,2,0,0,1,2,0,0,0,0,0,0:0.05/1:0.95,0,0,1,1,1,1,1,2,0:0.05/2:0.95,0,0,2,0,0,0,2,2,1,1,1,0,0,1,0,1,2,1,0:0.05/1:0.95,1,1,0,0,2,0:0.05/1:0.95,0:0.05/2:0.95,1,0,0,2,1,1,1,0,0,2,2,0,2,0
