[&R] (((((216_7:7.663,216_8:12.663)195_4:19.915,(216_5:5.268,216_6:7.268)197_3:24.31)152_2:14.601,((216_3:6.248,216_4:5.248)201_2:20.622,216_2:23.87)156_1:25.309)107_1:36.171,(((216_15:4.42,216_16:10.42)198_10:13.277,(216_13:2.079,216_14:4.079)209_13:19.618)160_6:32.397,((216_11:4.107,216_12:4.107)205_10:11.311,(216_9:3.071,216_10:3.071)206_9:20.347)166_5:24.676)115_3:37.256)58_1:51.65)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58_1,0,0,0:0.09/2:0.91,0,0:0.09/2:0.91,0,0:0.09/1:0.91,0,0,0,0:0.09/1:0.91,0,0,0,0:0.09/1:0.91,0,0:0.09/2:0.91,0:0.09/2:0.91,0:0.09/2:0.91,0:0.09/1:0.91,0,0,0,0,0,0:0.09/1:0.91,0,0,0,0,0,0,0,0,0:0.09/1:0.91,0,0:0.09/2:0.91,0:0.09/2:0.91,0,0:0.09/1:0.91,0,0:0.09/2:0.91,0,0,0,0:0.09/2:0.91,0,0,0:0.09/2:0.91,0,0:0.09/2:0.91,0,0,0,0:0.09/1:0.91,0,0,0:0.09/1:0.91,0,0:0.09/2:0.91,0,0:0.09/1:0.91,0:0.09/1:0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0:0.09/2:0.91,0:0.09/2:0.91,0:0.09/2:0.91,0:0.09/1:0.91,0,0:0.09/1:0.91,0,0,0,0,0,0,0:0.09/2:0.91,0,0,0,0,0:0.09/1:0.91,0,0,0,0:0.09/1:0.91,0:0.09/2:0.91,0,0,0,0,0:0.09/1:0.91,0:0.09/2:0.91,0,0,0,0,0:0.09/2:0.91,0,0,0,0,0:0.09/2:0.91,0:0.09/2:0.91,0,0,0,0:0.09/2:0.91,0:0.09/2:0.91,0,0,0,0,0:0.09/2:0.91,0:0.09/2:0.91,0,0,0:0.09/1:0.91,0,0,0,0,0,0,0,0,0,0,0:0.09/1:0.91,0:0.09/2:0.91,0,0,0,0,0,0:0.09/1:0.91,0,0,0:0.09/2:0.91,0,0,0:0.09/2:0.91,0,0,0:0.09/2:0.91,0,0,0:0.09/2:0.91,0,0,0,0,0,0,0,0:0.09/1:0.91,0,0,0,0,0:0.09/2:0.91,0,0:0.09/2:0.91,0,0,0,0,0:0.09/1:0.91,0,0:0.09/1:0.91,0,0:0.09/2:0.91,0:0.09/1:0.91,0,0,0,0,0,0:0.09/2:0.91,0,0,0,0,0,0,0,0,0
115_3,0,0:0.1/1:0.9,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0:0.1/2:0.9,0,0:0.01/1:0.99,0,0:0.1/1:0.9,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.1/2:0.9,0,0:0.1/2:0.9,0,0,0:0.01/1:0.99,0,0:0.1/2:0.9,0,0:0.1/1:0.9,0:0.1/1:0.9,0:0.1/2:0.9,0:0.1/1:0.9,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.1/1:0.9,0:0.01/2:0.99,0,0,0,0:0.01/2:0.99,0,0:0.1/2:0.9,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0:0.1/1:0.9,0,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.1/2:0.9,0,0:0.1/2:0.9,0,0,0,0:0.1/2:0.9,0:0.1/1:0.9,0:0.1/1:0.9,0,0,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0,0,0:0.1/2:0.9,0,0:0.1/2:0.9,0:0.01/2:0.99,0:0.1/2:0.9,0:0.1/1:0.9,0,0,0:0.01/1:0.99,0,0,0:0.1/2:0.9,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.1/1:0.9,0,0,0:0.01/2:0.99,0,0,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.1/1:0.9,0,0:0.1/1:0.9,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0,0,0:0.1/1:0.9,0:0.1/2:0.9,0,0,0,0,0:0.1/2:0.9,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0,0,0,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0:0.1/1:0.9,0,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.1/1:0.9,0,0,0,0,0,0:0.1/2:0.9,0:0.01/1:0.99,0:0.1/2:0.9,0,0:0.1/1:0.9,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.1/1:0.9,0,0,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0,0,0,0:0.01/2:0.99,0:0.1/2:0.9,0,0,0,0,0,0,0,0
166_5,0:0.05/2:0.95,0:0.01/1:0.99,2,0,2,0,1,0,0:0.01/2:0.99,0:0.05/2:0.95,1,0,0:0.01/1:0.99,0,1,0,2,2,2,1,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0:0.05/2:0.95,1,0:0.05/2:0.95,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,1,0,2,2,0,1,0:0.01/1:0.99,2,0,0,0:0.05/2:0.95,2,0,0:0.01/2:0.99,2,0:0.05/1:0.95,2,0,0:0.01/1:0.99,0,1,0,0,1,0,2,0,1,1,0:0.01/2:0.99,0:0.05/1:0.95,0:0.01/2:0.99,0:0.05/1:0.95,0:0.05/2:0.95,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0,0,2,2,2,1,0,1,0,0,0,0:0.01/2:0.99,0,0:0.01/2:0.99,2,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.05/2:0.95,1,0,0,0:0.01/2:0.99,1,2,0,0,0,0,1,2,0,0:0.01/1:0.99,0,0,2,0,0:0.05/1:0.95,0,0,2,2,0,0:0.05/2:0.95,0,2,2,0,0:0.01/1:0.99,0,0:0.01/1:0.99,2,2,0,0:0.05/1:0.95,1,0,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.05/1:0.95,0,0,0,0:0.01/2:0.99,0,1,2,0,0,0,0,0,1,0:0.05/2:0.95,0,2,0:0.01/1:0.99,0,2,0,0,2,0:0.05/2:0.95,0,2,0:0.01/1:0.99,0,0:0.05/1:0.95,0:0.05/1:0.95,0,0,0:0.01/2:0.99,1,0:0.01/2:0.99,0:0.05/1:0.95,0:0.01/1:0.99,0,2,0,2,0:0.01/1:0.99,0,0,0:0.05/1:0.95,1,0,1,0,2,1,0,0,0,0:0.05/1:0.95,0,2,0:0.01/2:0.99,0,0:0.05/2:0.95,0,0,0,0,0,0
206_9,2,1,2,1,2,0,1,0,2,2,1,0,1,0,1,2,2,2,2,1,2,0,2,0,2,1,2,2,0,1,1,2,1,0,1,2,2,2,0,1,1,2,0,2,2,2,0,2,2,1,2,0,1,0,1,0,0,1,2,2,0,1,1,2,1,2,1,2,0,2,1,1,1,1,0,0,2,2,2,1,0,1,0,0,2,2,0,2,2,2,1,0,2,1,2,0,2,1,2,0,0,1,0,1,2,0,1,2,0,2,0,1,2,0,2,2,0,2,0,2,2,2,1,0,1,2,2,0,1,1,0,2,1,2,1,0,0,0,2,0,1,2,0,0,2,0,0,1,2,0,2,1,0,2,0,0,2,2,0,2,1,2,1,1,0,0,2,1,2,1,1,0,2,1,2,1,0,2,1,1,0,1,0,2,1,0,0,2,1,0,2,2,0,2,0,0,0,0,0,0
216_10,2,1,2,1,2,2,1,0,2,2,1,0,1,0,1,2,2,2,2,1,2,0,2,0,2,1,2,2,1,1,1,2,1,0,1,2,2,2,0,1,1,2,0,2,2,2,0,2,2,1,2,0,1,0,1,0,0,1,2,2,0,1,1,2,1,2,1,2,0,2,1,1,1,1,0,0,2,2,2,1,0,1,0,0,2,2,0,2,2,2,1,0,2,1,2,0,2,1,2,0,0,1,0,1,2,0,1,2,0,2,0,1,2,0,2,2,0,2,0,2,2,2,1,0,1,2,2,0,1,1,0,2,1,2,1,0,0,0,2,0,1,2,0,0,2,0,0,1,2,0,2,1,0,2,0,0,2,2,0,2,1,2,1,1,0,0,2,1,2,1,1,0,2,1,2,1,0,2,1,1,0,1,0,2,1,0,0,2,1,0,2,2,0,2,0,0,0,0,0,2
216_9,2,1,2,1,2,0,1,0,2,2,1,0,1,0,1,2,2,2,2,1,2,0,2,0,2,1,2,2,0,1,1,2,1,0,1,2,2,2,0,1,1,2,0,2,2,2,0,2,2,1,2,0,1,0,1,0,0,1,2,2,0,1,1,2,1,2,1,2,0,2,1,1,1,1,0,0,2,2,2,1,0,1,0,0,2,2,0,2,2,2,1,0,2,1,2,0,2,1,2,0,0,1,0,1,2,0,1,2,0,2,0,1,2,0,2,2,0,2,0,2,2,2,1,0,1,2,2,0,1,1,0,2,1,2,1,1,0,0,2,0,1,2,2,1,2,0,0,1,2,0,2,1,0,2,0,0,2,2,0,2,1,2,1,1,0,0,2,1,2,1,1,0,2,1,2,1,0,2,1,1,0,1,0,2,1,0,0,2,1,0,2,2,0,2,0,0,0,0,0,0
205_10,2,1,2,0,2,0,1,0,2,2,1,0:0.01/2:0.99,1,0,1,0,2,2,2,1,2,0,2,0:0.01/1:0.99,2,1,2,2,0,1,1,2,1,0,1,0,2,2,0,1,1,2,0,0,2,2,0,2,2,1,2,0:0.01/2:0.99,1,0:0.01/1:0.99,1,0,0:0.01/1:0.99,1,0,2,0,1,1,2,1,2,1,2,0,2,1,1,0,0,0,0:0.01/2:0.99,2,2,2,1,0,1,0,0,0,2,0,2,2,2,1,0,2,1,0,0,2,1,2,0,0,0,0,1,2,0,1,0,0,2,0,1,0:0.01/1:0.99,0,2,2,0,2,0,2,2,0,1,0,1,2,2,0,1,1,0,0,1,2,1,0,0,0,2,0,1,2,0,0,0,0,0,1,2,0,2,1,0:0.01/1:0.99,2,0,0,2,2,0,2,1,0,1,1,0:0.01/1:0.99,0,2,1,2,1,1,0,2,0,2,1,0,0,1,1,0,1,0,2,1,0,0,0,1,0,2,2,0,2,0,0,0,0:0.01/2:0.99,0,0
216_12,2,1,2,0,2,0,1,0,2,2,1,2,1,0,1,0,2,2,2,1,2,0,2,1,2,1,2,2,0,1,1,2,1,0,1,0,2,2,0,1,1,2,0,0,2,2,0,2,2,1,2,2,1,1,1,0,1,1,0,2,0,1,1,2,1,2,1,2,0,2,1,1,1,0,0,2,2,2,2,1,0,1,0,0,0,2,0,2,2,2,1,0,2,1,0,0,2,1,2,0,0,0,0,1,2,0,1,0,0,2,0,1,1,0,2,2,0,2,0,2,2,0,1,0,1,2,2,0,1,1,0,0,1,2,1,0,0,0,2,0,1,2,0,0,0,0,0,1,2,0,2,1,1,2,0,0,2,2,0,2,1,0,1,1,1,0,2,1,2,1,1,0,2,0,2,1,0,0,1,1,1,1,0,2,1,0,1,0,1,1,2,2,0,2,0,0,0,2,0,0
216_11,2,1,2,2,2,0,1,0,2,2,1,2,1,0,1,2,2,2,2,1,2,0,2,1,2,1,2,2,0,1,1,2,1,0,1,1,2,2,0,1,1,2,0,0,2,2,0,2,2,1,2,2,1,1,1,0,1,1,0,2,0,1,1,2,1,2,1,2,0,2,1,1,0,0,0,2,2,2,2,1,0,1,0,0,0,2,0,2,2,2,1,0,2,1,0,0,2,1,2,0,0,2,0,1,2,0,1,0,0,2,0,1,1,0,2,2,0,2,0,2,2,0,1,0,1,2,2,0,1,1,0,0,1,2,1,0,0,0,2,0,1,2,0,0,0,0,0,1,2,0,2,1,1,2,0,0,2,2,0,2,1,0,1,1,1,0,2,1,2,1,1,0,2,0,2,1,0,0,1,1,0,1,0,2,1,0,0,0,1,0,2,2,0,2,0,0,0,2,0,0
160_6,0,1,2,0,2,0:0.05/1:0.95,1,0:0.05/1:0.95,2,0:0.05/1:0.95,1,0,1,0,1,0,2,2,2,1,2,0:0.05/1:0.95,2,0:0.05/2:0.95,0,1,0,2,0,1,1,2,1,0,1,0,2,2,0,1,1,2,0:0.05/2:0.95,0,0:0.05/1:0.95,2,0,2,2,0:0.05/2:0.95,2,0,1,0,1,0,0,1,0:0.05/1:0.95,2,0,1,1,2,0,2,0,0,0,2,1,1,0:0.05/1:0.95,0,0,0:0.05/1:0.95,2,2,2,1,0,1,0,0,0:0.05/2:0.95,2,0,2,2,2,1,0,0,1,0:0.05/1:0.95,0,2,1,2,0,0,0,0,1,2,0,1,0,0:0.05/2:0.95,2,0,0,0,0:0.05/2:0.95,2,2,0,0,0,2,2,0,1,0:0.05/1:0.95,1,2,2,0,0,1,0,0,1,2,0,0,0,0,2,0,1,2,0,0:0.05/2:0.95,0:0.05/2:0.95,0:0.05/1:0.95,0:0.05/2:0.95,1,0:0.05/1:0.95,0,2,1,0,2,0:0.05/1:0.95,0,2,0,0,2,1,0,0,0:0.05/2:0.95,0:0.05/1:0.95,0,2,1,2,0,1,0,2,0:0.05/2:0.95,2,1,0,0,0,1,0:0.05/2:0.95,1,0,2,1,0,0:0.05/2:0.95,0,0,0:0.05/2:0.95,2,2,0,0,0:0.05/1:0.95,0,0:0.05/1:0.95,0,0,0
