[&R] (((((216_1:1.001,216_2:0.001)211_1:0.002,216_3:0.003)171_1:3.241,((216_5:0,216_6:0)214_5:1.011,216_4:0.011)178_3:0.233)115_1:3.279,(((216_9:0,216_10:0)203_6:0,(216_7:0,216_8:0)207_5:0)170_3:4.805,216_14:1.805)119_3:1.718)58_3:1.477)I0;
I0,0,0,0,0,0,0,0,0,0,0
58_3,0,0,0,0:0.26/1:0.74,0:0.26/1:0.74,0,0,0,0,0
119_3,0,0,0,0:0.08/1:0.92,0:0.08/1:0.92,0:0.32/2:0.68,0,0,0:0.32/2:0.68,0
216_14,0,0,0,1,1,2,2,0,2,0
170_3,0,2,1,1,1,2,1,2,2,0
207_5,0,2,1,1,1,2,1,2,2,0
216_8,0,2,1,1,1,2,1,2,2,0
216_7,0,2,1,1,1,2,1,2,2,0
203_6,0,2,1,1,1,2,1,2,2,0
216_10,0,2,1,1,1,2,1,2,2,0
216_9,0,2,1,1,1,2,1,2,2,0
115_1,0:0.07/1:0.93,0,0,0:0.02/1:0.98,0:0.02/1:0.98,0:0.07/1:0.93,0:0.07/2:0.93,0,0,0
178_3,1,0,0,1,1,1,2,0,0,0
216_4,1,0,0,1,1,1,2,0,0,0
214_5,1,0,0,1,1,1,2,0,0,2
216_6,1,0,0,1,1,1,2,0,0,2
216_5,1,0,0,1,1,1,2,0,0,2
171_1,1,0,1,1,1,1,2,2,1,0
216_3,1,0,1,1,1,1,2,2,1,0
211_1,1,0,1,1,1,1,2,2,1,0
216_2,1,0,1,1,1,1,2,2,1,0
216_1,1,0,1,1,1,1,2,2,1,1
