[&R] (((((216_1:0,216_2:0)211_1:0,216_3:1)171_1:0,((216_5:0,216_6:0)214_5:1,216_4:1)178_3:0)115_1:0.095,(((216_9:0,216_10:0)203_6:1.006,(216_7:0,216_8:0)207_5:0.006)170_3:0.003,216_14:1.009)119_3:2.086)58_3:4.905)I0;
I0,0,0,0,0,0,0,0,0,0,0
58_3,0:0.02/1:0.98,0,0:0.02/2:0.98,0,0:0.02/1:0.98,0,0,0,0:0.02/2:0.98,0:0.02/2:0.98
119_3,1,0,2,2,1,0,2,0,2,2
216_14,1,0,2,2,1,2,2,0,2,2
170_3,1,0,2,2,1,0,2,0,2,2
207_5,1,0,2,2,1,0,2,0,2,2
216_8,1,0,2,2,1,0,2,0,2,2
216_7,1,0,2,2,1,0,2,0,2,2
203_6,1,0,2,2,1,1,2,0,2,2
216_10,1,0,2,2,1,1,2,0,2,2
216_9,1,0,2,2,1,1,2,0,2,2
115_1,1,0,2,0,1,0,0,0,2,2
178_3,1,0,2,0,1,0,0,0,2,2
216_4,1,0,2,1,1,0,0,0,2,2
214_5,1,0,2,0,1,2,0,0,2,2
216_6,1,0,2,0,1,2,0,0,2,2
216_5,1,0,2,0,1,2,0,0,2,2
171_1,1,0,2,0,1,0,0,0,2,2
216_3,1,0,2,1,1,0,0,0,2,2
211_1,1,0,2,0,1,0,0,0,2,2
216_2,1,0,2,0,1,0,0,0,2,2
216_1,1,0,2,0,1,0,0,0,2,2
