[&R] (((((216_1:1.001,216_2:0.001)211_1:0,216_3:0.001)171_1:0.003,((216_5:0,216_6:0)214_5:0,216_4:0)178_3:1.004)115_1:5.128,(((216_9:0,216_10:0)203_6:0,(216_7:0,216_8:0)207_5:0)170_3:2.824,216_14:2.824)119_3:2.309)58_3:2.867)I0;
I0,0,0,0,0,0,0,0,0,0,0
58_3,0,0,0:0.28/2:0.72,0:0.28/1:0.72,0,0,0,0:0.28/1:0.72,0,0:0.28/2:0.72
119_3,0:0.26/1:0.74,0,0:0.07/2:0.93,0:0.07/1:0.93,0,0,0:0.26/1:0.74,0:0.07/1:0.93,0,0:0.07/2:0.93
216_14,1,1,2,1,0,2,1,1,0,2
170_3,1,2,2,1,1,0,1,1,0,2
207_5,1,2,2,1,1,0,1,1,0,2
216_8,1,2,2,1,1,0,1,1,0,2
216_7,1,2,2,1,1,0,1,1,0,2
203_6,1,2,2,1,1,0,1,1,0,2
216_10,1,2,2,1,1,0,1,1,0,2
216_9,1,2,2,1,1,0,1,1,0,2
115_1,0,0,2,1,2,2,2,1,2,2
178_3,2,0,2,1,2,2,2,1,2,2
216_4,2,0,2,1,2,2,2,1,2,2
214_5,2,0,2,1,2,2,2,1,2,2
216_6,2,0,2,1,2,2,2,1,2,2
216_5,2,0,2,1,2,2,2,1,2,2
171_1,0,0,2,1,2,2,2,1,2,2
216_3,0,0,2,1,2,2,2,1,2,2
211_1,0,0,2,1,2,2,2,1,2,2
216_2,0,0,2,1,2,2,2,1,2,2
216_1,0,2,2,1,2,2,2,1,2,2
