[&R] (((((216_1:0,216_2:0)211_1:1.055,216_3:1.055)171_1:0.003,((216_5:0,216_6:0)214_5:0.124,216_4:1.124)178_3:0.933)115_1:4.854,(((216_9:0,216_10:0)203_6:0,(216_7:0,216_8:0)207_5:0)170_3:2.086,216_14:0.086)119_3:1.826)58_3:3.088)I0;
I0,0,0,0,0,0,0,0,0,0,0
58_3,0:0.23/2:0.77,0,0,0,0,0,0:0.23/1:0.77,0,0:0.23/1:0.77,0:0.23/1:0.77
119_3,0:0.01/2:0.99,0,0,0,0,0:0.04/1:0.96,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99
216_14,2,0,0,0,0,1,1,0,1,1
170_3,2,1,0,0,0,1,1,2,1,1
207_5,2,1,0,0,0,1,1,2,1,1
216_8,2,1,0,0,0,1,1,2,1,1
216_7,2,1,0,0,0,1,1,2,1,1
203_6,2,1,0,0,0,1,1,2,1,1
216_10,2,1,0,0,0,1,1,2,1,1
216_9,2,1,0,0,0,1,1,2,1,1
115_1,2,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0,1,0:0.01/1:0.99,1,1
178_3,2,2,1,2,0,0:0.12/2:0.88,1,1,1,1
216_4,2,2,1,2,1,2,1,1,1,1
214_5,2,2,1,2,0,2,1,1,1,1
216_6,2,2,1,2,0,2,1,1,1,1
216_5,2,2,1,2,0,2,1,1,1,1
171_1,2,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0,1,0:0.01/1:0.99,1,1
216_3,2,2,1,2,2,0,1,1,1,1
211_1,2,2,1,2,0,1,1,1,1,1
216_2,2,2,1,2,0,1,1,1,1,1
216_1,2,2,1,2,0,1,1,1,1,1
