[&R] (((((216_1:1.009,216_2:1.009)211_1:19.754,216_3:21.763)171_1:26.848,((216_5:1.009,216_6:1.009)214_5:16.666,216_4:14.675)178_3:30.936)115_1:38.104,(((216_9:7.519,216_10:9.519)203_6:11.399,(216_7:1.016,216_8:2.016)207_5:11.902)170_3:21.824,216_14:42.742)119_3:39.973)58_3:57.285)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58_3,0:0.1/2:0.9,0,0,0,0,0:0.1/2:0.9,0,0,0,0,0,0,0:0.1/1:0.9,0,0,0,0:0.1/2:0.9,0:0.1/1:0.9,0,0,0,0,0,0:0.1/1:0.9,0,0,0:0.1/1:0.9,0:0.1/2:0.9,0,0,0,0:0.1/1:0.9,0,0:0.1/1:0.9,0:0.1/2:0.9,0:0.1/2:0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:0.1/2:0.9,0,0,0,0:0.1/2:0.9,0:0.1/2:0.9,0,0,0,0,0,0,0,0,0,0,0:0.1/1:0.9,0,0,0,0,0:0.1/2:0.9,0:0.1/2:0.9,0,0,0,0:0.1/1:0.9,0:0.1/2:0.9,0:0.1/2:0.9,0,0,0,0,0,0,0,0,0,0:0.1/2:0.9,0,0:0.1/2:0.9,0:0.1/1:0.9,0,0,0,0,0,0,0,0,0,0:0.1/1:0.9,0:0.1/2:0.9,0:0.1/2:0.9,0,0:0.1/2:0.9,0:0.1/1:0.9,0,0:0.1/2:0.9,0,0:0.1/1:0.9,0:0.1/1:0.9,0:0.1/2:0.9,0,0:0.1/2:0.9,0,0,0:0.1/2:0.9,0,0,0:0.1/1:0.9,0,0,0:0.1/1:0.9,0,0:0.1/2:0.9,0:0.1/2:0.9,0,0,0,0,0,0:0.1/1:0.9,0,0:0.1/1:0.9,0,0,0,0:0.1/1:0.9,0:0.1/2:0.9,0:0.1/2:0.9,0,0,0,0,0:0.1/2:0.9,0,0:0.1/2:0.9,0,0:0.1/2:0.9,0,0,0,0,0:0.1/2:0.9,0,0,0:0.1/1:0.9,0,0,0,0:0.1/2:0.9,0:0.1/1:0.9,0,0,0,0,0,0,0,0,0:0.1/2:0.9,0,0:0.1/1:0.9,0:0.1/1:0.9,0,0,0,0:0.1/2:0.9,0,0:0.1/1:0.9,0:0.1/2:0.9,0:0.1/2:0.9,0,0,0:0.1/1:0.9,0:0.1/1:0.9,0:0.1/2:0.9,0,0,0:0.1/2:0.9,0:0.1/1:0.9,0,0:0.1/2:0.9,0,0,0,0
119_3,0:0.01/2:0.99,0,0,0,0,0:0.01/2:0.99,0,0,0,0,0,0,0:0.01/1:0.99,0,0,0:0.11/2:0.89,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.11/1:0.89,0:0.11/1:0.89,0,0,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0,0:0.01/1:0.99,0:0.11/1:0.89,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0:0.11/2:0.89,0,0:0.11/1:0.89,0,0,0,0,0:0.11/1:0.89,0,0,0:0.11/1:0.89,0,0,0:0.11/1:0.89,0:0.01/2:0.99,0:0.11/1:0.89,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0:0.11/2:0.89,0,0,0:0.11/2:0.89,0,0,0,0,0:0.01/1:0.99,0:0.11/1:0.89,0,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.11/1:0.89,0,0:0.11/2:0.89,0:0.11/1:0.89,0:0.11/1:0.89,0,0:0.11/2:0.89,0:0.11/2:0.89,0,0:0.01/2:0.99,0:0.11/2:0.89,0:0.01/2:0.99,0:0.01/1:0.99,0:0.11/1:0.89,0,0,0,0,0,0,0,0:0.11/2:0.89,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.11/1:0.89,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.11/1:0.89,0,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.11/1:0.89,0:0.11/2:0.89,0:0.11/1:0.89,0,0:0.01/1:0.99,0:0.11/1:0.89,0:0.01/1:0.99,0:0.11/2:0.89,0:0.11/1:0.89,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0,0:0.11/2:0.89,0:0.01/2:0.99,0:0.11/2:0.89,0:0.01/2:0.99,0:0.11/1:0.89,0:0.01/2:0.99,0,0,0,0,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0:0.11/1:0.89,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0,0:0.11/1:0.89,0,0,0,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.11/2:0.89,0,0:0.11/1:0.89,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0,0:0.11/2:0.89,0
216_14,2,1,1,0,2,2,2,0,0,2,1,0,1,0,0,2,2,1,2,1,1,2,0,1,0,0,1,2,0,0,0,1,1,1,2,2,0,0,2,0,1,0,0,0,0,1,2,0,1,0,0,1,2,1,2,1,2,2,0,0,2,1,0,2,0,1,2,0,1,1,2,2,2,2,2,0,0,0,1,2,2,1,0,2,1,1,0,2,2,0,2,2,2,1,1,2,0,0,0,0,1,2,2,1,2,2,1,2,1,0,2,1,1,1,2,0,2,0,0,2,1,0,1,2,2,1,2,2,2,2,1,2,1,0,1,1,1,2,1,0,1,2,2,2,0,0,2,2,2,2,1,2,1,0,0,1,2,2,2,1,1,0,0,2,1,0,0,1,1,2,0,0,0,2,2,1,1,2,1,1,2,1,1,2,2,0,2,1,1,2,0,2,2,1,2,2,0,0,2,0
170_3,2,0,0,0,0,2,0:0.04/1:0.96,0,0:0.04/2:0.96,0:0.04/1:0.96,0,0,1,0,0,2,2,1,0,1,1,0,0:0.04/2:0.96,1,0,0,1,2,0,0,0,1,1,1,2,2,0:0.04/2:0.96,0,2,0,1,0,0,0,0,1,0,0,1,0,0,1,2,1,0,0,2,2,0,0:0.04/1:0.96,2,0,0,2,0,0,0,0:0.04/1:0.96,1,1,0,0,0,2,2,0:0.04/2:0.96,0,0,1,2,2,1,0,2,1,1,0,2,2,0,2,2,2,1,1,0,0,0,0,0:0.04/2:0.96,0,0,2,1,2,2,1,2,1,0:0.04/2:0.96,2,0,1,1,2,0,2,0,0,2,1,0:0.04/2:0.96,1,0,0,1,0,2,2,0:0.04/1:0.96,1,2,1,0,1,1,1,2,1,0,1,2,2,0,0:0.04/1:0.96,0,2,2,2,2,1,2,0,0,0,0,2,0:0.04/1:0.96,0,1,1,0,0:0.04/2:0.96,2,1,0,0,0,1,0,0,0,0,2,0,1,1,2,0,1,2,0,1,2,2,0,0,1,1,2,0:0.04/1:0.96,0,2,1,0:0.04/1:0.96,2,0,0,2,0:0.04/2:0.96
207_5,2,0,1,2,0,2,1,0,2,1,0,0,1,0,0,2,2,1,0,1,1,0,2,1,0,0,1,2,0,0,0,1,1,1,2,2,2,1,2,0,1,0,2,0,0,1,0,0,1,0,0,1,2,1,0,0,2,2,0,1,2,0,0,2,0,0,0,1,1,1,0,0,0,2,2,2,1,0,1,2,2,1,0,2,1,1,0,2,2,0,2,2,2,1,1,0,0,0,0,2,0,0,2,1,2,2,1,2,1,2,2,0,1,1,2,0,2,0,0,2,1,2,1,1,0,1,0,2,2,1,1,2,1,0,1,1,1,2,1,0,1,2,2,0,1,0,2,2,2,2,1,2,0,0,0,0,2,1,1,1,1,1,2,2,1,0,0,0,1,0,2,0,0,2,0,1,1,2,0,1,2,0,1,2,2,2,2,1,1,2,1,0,2,1,1,2,0,0,2,2
216_8,2,0,1,2,0,2,1,0,2,1,0,0,1,0,0,2,2,1,0,1,1,0,2,1,0,0,1,2,0,0,0,1,1,1,2,2,2,1,2,0,1,0,2,0,0,1,0,0,1,0,0,1,2,1,0,0,2,2,0,1,2,0,0,2,0,0,0,1,1,1,0,0,0,2,2,2,1,0,1,2,2,1,0,2,1,1,0,2,2,0,2,2,2,1,1,0,0,0,0,2,0,0,2,1,2,2,1,2,1,2,2,2,1,1,2,0,2,0,0,2,1,2,1,1,0,1,0,2,2,1,1,2,1,0,1,1,1,2,1,0,1,2,2,2,1,0,2,2,2,2,1,2,0,0,0,0,2,1,1,1,1,1,2,2,1,0,0,0,1,0,2,0,0,2,0,1,1,2,0,1,2,0,1,2,2,2,2,1,1,2,1,0,2,1,1,2,0,0,2,2
216_7,2,0,1,2,0,2,1,0,2,1,0,0,1,0,0,2,2,1,0,1,1,0,2,1,0,0,1,2,0,0,0,1,1,1,2,2,2,1,2,0,1,0,2,0,0,1,0,0,1,0,0,1,2,1,0,0,2,2,0,1,2,0,0,2,0,0,0,1,1,1,0,0,0,2,2,2,1,0,1,2,2,1,0,2,1,1,0,2,2,0,2,2,2,1,1,0,0,0,0,2,0,2,2,1,2,2,1,2,1,2,2,0,1,1,2,0,2,0,0,2,1,2,1,1,0,1,0,2,2,1,1,2,1,0,1,1,1,2,1,0,1,2,2,0,1,0,2,2,2,2,1,2,0,0,0,0,2,1,1,1,1,1,2,2,1,0,0,0,1,0,2,0,0,2,0,1,1,2,0,1,2,0,1,2,2,2,2,1,1,2,1,0,2,1,1,2,0,0,2,2
203_6,2,0:0.04/1:0.96,0,0,0,2,1,0:0.04/2:0.96,2,1,0,0,1,0,0,2,2,1,0,1,1,0,2,1,0,0,1,2,0,0,0,1,1,1,2,2,2,0,2,0,1,0,0:0.04/1:0.96,0,0,1,0,0,1,0,0,1,2,1,0:0.04/1:0.96,0:0.04/1:0.96,2,2,0:0.04/1:0.96,1,2,0,0,2,0,0,0,1,1,1,0:0.04/1:0.96,0,0:0.04/2:0.96,2,2,2,0,0,1,2,2,1,0:0.04/1:0.96,2,1,1,0,2,2,0,2,2,2,1,1,0,0,0,0,2,0,0,2,1,2,2,1,2,1,2,2,0,1,1,2,0,2,0,0,2,1,2,1,0,0,1,0,2,2,1,1,2,1,0,1,1,1,2,1,0,1,2,2,0,1,0,2,2,2,2,1,2,0,0,0:0.04/2:0.96,0,2,1,0,1,1,0,2,2,1,0,0,0,1,0,0,0:0.04/1:0.96,0,2,0,1,1,2,0,1,2,0,1,2,2,0,0,1,1,2,1,0,2,1,1,2,0,0,2,2
216_10,2,1,0,0,0,2,1,2,2,1,0,0,1,0,0,2,2,1,0,1,1,0,2,1,0,0,1,2,0,0,0,1,1,1,2,2,2,2,2,0,1,0,1,0,0,1,0,0,1,0,0,1,2,1,1,1,2,2,1,1,2,0,0,2,0,2,1,1,1,1,1,0,2,2,2,2,0,1,1,2,2,1,1,2,1,1,0,2,2,0,2,2,2,1,1,2,0,0,0,2,2,0,2,1,2,2,1,2,1,2,2,0,1,1,2,0,2,1,0,2,1,2,1,0,0,1,0,2,2,1,1,2,1,0,1,1,1,2,1,0,1,2,2,1,1,0,2,2,2,2,1,2,0,0,2,0,2,1,0,1,1,0,2,2,1,0,0,0,1,0,2,1,0,2,0,1,1,2,0,1,2,0,1,2,2,0,0,1,1,2,1,0,2,1,1,2,0,0,2,2
216_9,2,1,0,0,0,2,1,2,2,1,0,0,1,0,0,2,2,1,0,1,1,0,2,1,0,0,1,2,0,0,0,1,1,1,2,2,2,0,2,0,1,1,1,0,0,1,0,0,1,0,0,1,2,1,1,1,2,2,1,1,2,0,0,2,0,0,0,1,1,1,1,2,2,2,2,2,0,0,1,2,2,1,1,2,1,1,0,2,2,0,2,2,2,1,1,0,0,0,0,2,0,0,2,1,2,2,1,2,1,2,2,0,1,1,2,0,2,0,0,2,1,2,1,0,0,1,2,2,2,1,1,2,1,0,1,1,1,2,1,0,1,2,2,0,1,0,2,2,2,2,1,2,0,0,2,1,2,1,0,1,1,0,2,2,1,0,0,0,1,0,0,1,0,2,0,1,1,2,0,1,2,1,1,2,2,0,0,1,1,2,1,0,2,1,1,2,2,1,2,2
