[&R] (((((216_7:0,216_8:0)176_4:1.403,(216_5:0,216_6:0)179_3:1.403)122_2:4.212,((216_3:0.045,216_4:1.045)185_2:2.411,216_2:2.456)127_1:1.159)70_1:0.899,(((216_11:0,216_12:0)187_9:0,(216_9:0,216_10:0)192_8:0)135_5:4.837,(216_13:0.175,216_14:1.175)190_11:3.662)81_3:2.677)24_1:2.486)I0;
I0,0,0,0,0,0,0,0,0,0,0
24_1,0,0,0,0:0.17/2:0.83,0:0.17/2:0.83,0:0.17/1:0.83,0,0,0,0
81_3,0,0,0:0.41/1:0.59,0:0.07/2:0.93,0:0.07/2:0.93,0:0.07/1:0.93,0:0.41/2:0.59,0:0.41/2:0.59,0,0:0.41/1:0.59
190_11,0:0.05/2:0.95,0,0:0.02/1:0.98,2,2,1,0:0.02/2:0.98,0:0.02/2:0.98,0:0.05/1:0.95,0:0.02/1:0.98
216_14,2,1,1,2,2,1,2,2,1,1
216_13,2,0,1,2,2,1,2,2,1,1
135_5,1,1,1,2,2,1,2,2,2,1
192_8,1,1,1,2,2,1,2,2,2,1
216_10,1,1,1,2,2,1,2,2,2,1
216_9,1,1,1,2,2,1,2,2,2,1
187_9,1,1,1,2,2,1,2,2,2,1
216_12,1,1,1,2,2,1,2,2,2,1
216_11,1,1,1,2,2,1,2,2,2,1
70_1,0,0,0,0:0.07/2:0.93,0:0.07/2:0.93,0:0.07/1:0.93,0,0,0:0.41/2:0.59,0
127_1,0,0,0,0:0.02/2:0.98,0:0.02/2:0.98,0:0.02/1:0.98,0,0:0.28/1:0.72,0:0.11/2:0.89,0
216_2,2,2,0,2,2,1,0,1,2,0
185_2,0,0,0,2,2,1,0:0.02/2:0.98,0:0.01/1:0.99,2,0:0.02/2:0.98
216_4,0,1,0,2,2,1,2,1,2,2
216_3,0,0,0,2,2,1,2,1,2,2
122_2,0:0.09/2:0.91,0:0.09/1:0.91,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.09/2:0.91,0,0:0.04/2:0.96,0:0.09/2:0.91
179_3,2,1,0,2,2,1,2,1,2,2
216_6,2,1,0,2,2,1,2,1,2,2
216_5,2,1,0,2,2,1,2,1,2,2
176_4,2,1,2,2,2,1,2,0,2,2
216_8,2,1,2,2,2,1,2,0,2,2
216_7,2,1,2,2,2,1,2,0,2,2
