[&R] (((((216_7:1.049,216_8:0.049)176_4:1.121,(216_5:0,216_6:0)179_3:1.17)122_2:2.043,((216_3:2.04,216_4:0.04)185_2:0.041,216_2:3.081)127_1:1.133)70_1:0.99,(((216_11:0,216_12:0)187_9:2.152,(216_9:0,216_10:0)192_8:0.152)135_5:1.731,(216_13:0.099,216_14:1.099)190_11:4.785)81_3:1.319)24_1:2.797)I0;
I0,0,0,0,0,0,0,0,0,0,0
24_1,0,0,0,0,0,0,0:0.07/2:0.93,0:0.07/1:0.93,0:0.07/1:0.93,0
81_3,0,0,0,0,0,0:0.4/1:0.6,0:0.03/2:0.97,0:0.03/1:0.97,0:0.03/1:0.97,0:0.4/1:0.6
190_11,0:0.02/1:0.98,0:0.02/1:0.98,0:0.02/1:0.98,0:0.02/1:0.98,0,0:0.01/1:0.99,2,1,1,0:0.01/1:0.99
216_14,1,1,1,1,2,1,2,1,1,1
216_13,1,1,1,1,0,1,2,1,1,1
135_5,0,0,0:0.08/2:0.92,0,0,0:0.03/1:0.97,2,1,1,0:0.03/1:0.97
192_8,0,0,2,0,0,1,2,1,1,1
216_10,0,0,2,0,0,1,2,1,1,1
216_9,0,0,2,0,0,1,2,1,1,1
187_9,2,0,2,0,1,1,2,1,1,1
216_12,2,0,2,0,1,1,2,1,1,1
216_11,2,0,2,0,1,1,2,1,1,1
70_1,0,0,0,0:0.18/1:0.82,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0
127_1,0,0,0,0:0.01/1:0.99,0,0:0.07/2:0.93,2,1,1,0
216_2,2,2,0,1,0,2,2,1,1,1
185_2,0,0,0,0:0.01/1:0.99,0,0:0.03/2:0.97,2,1,1,0
216_4,0,0,0,1,0,2,2,1,1,0
216_3,0,0,2,1,0,2,2,1,1,1
122_2,0,0:0.08/2:0.92,0,0:0.01/1:0.99,0,0:0.08/1:0.92,2,1,1,0
179_3,0,2,0,1,0,1,2,1,1,2
216_6,0,2,0,1,0,1,2,1,1,2
216_5,0,2,0,1,0,1,2,1,1,2
176_4,0,2,0,1,0:0.04/1:0.96,1,2,1,1,0
216_8,0,2,0,1,1,1,2,1,1,0
216_7,0,2,1,1,1,1,2,1,1,0
