[&R] (((((216_6:0,216_7:0)200_4:0.095,(216_4:0,216_5:0)206_4:1.095)157_2:3.788,(216_1:0,216_2:0)204_1:1.883)90_1:1.392,(((216_12:1,216_13:0)191_7:0,(216_14:1,216_15:0)193_9:0)142_4:1.111,((216_10:0,216_11:0)194_6:1.018,(216_8:2.016,216_9:0.016)195_5:0.002)150_3:1.093)91_3:1.163)33_1:3.725)I0;
I0,0,0,0,0,0,0,0,0,0,0
33_1,0,0,0:0.07/2:0.93,0:0.07/2:0.93,0:0.07/1:0.93,0:0.07/2:0.93,0,0,0,0
91_3,0:0.09/2:0.91,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0,0
150_3,2,0,2,2,1,2,0,0,0,0:0.02/2:0.98
195_5,2,0,2,2,1,2,0,0,0,0:0.01/2:0.99
216_9,2,0,2,2,1,2,0,0,0,2
216_8,2,1,2,2,1,2,0,0,1,2
194_6,2,0,2,2,1,2,0,1,0,2
216_11,2,0,2,2,1,2,0,1,0,2
216_10,2,0,2,2,1,2,0,1,0,2
142_4,2,0,2,2,1,2,1,0,0,0
193_9,2,0,2,2,1,2,1,0,0,0
216_15,2,0,2,2,1,2,1,0,0,0
216_14,2,0,2,2,1,2,1,0,2,0
191_7,2,0,2,2,1,2,1,0,0,0
216_13,2,0,2,2,1,2,1,0,0,0
216_12,2,0,2,2,1,2,1,0,0,1
90_1,0,0,0:0.03/2:0.97,0:0.03/2:0.97,0:0.03/1:0.97,0:0.03/2:0.97,0,0,0:0.39/2:0.61,0:0.39/2:0.61
204_1,0,0,2,2,1,2,0,1,2,2
216_2,0,0,2,2,1,2,0,1,2,2
216_1,0,0,2,2,1,2,0,1,2,2
157_2,0:0.02/2:0.98,0:0.02/2:0.98,2,2,1,2,0:0.02/2:0.98,0,0:0.01/2:0.99,0:0.01/2:0.99
206_4,2,2,2,2,1,2,2,1,2,2
216_5,2,2,2,2,1,2,2,1,2,2
216_4,2,2,2,2,1,2,2,1,2,2
200_4,2,2,2,2,1,2,2,0,2,2
216_7,2,2,2,2,1,2,2,0,2,2
216_6,2,2,2,2,1,2,2,0,2,2
